	Vitamin D
Australia	18.57594901634802
Austria	24.673007712082264
Belgium	19.07798861480076
Brazil	52.4
Cameroon	52.7
Canada	67.7
China	16.034075967859753
Czech Republic	58.2
Denmark	25.5
Estonia	43.7
Fidji Islands	76.0
Finland	21.568178017634537
France	34.49157608695652
Gambia	91.3
Germany	42.5
Greece	24.365170278637773
Iceland	46.1
India	36.4
Iran	16.04116379310345
Ireland	37.1
Israel	55.1
Italy	39.9
Japan	59.1
Jordan	25.6
Korea (South)	46.1
Lebanon	13.325691699604741
Malaysia	44.4
Netherlands	10.37147863107909
New Zealand	39.8
Norway	14.831606513665363
Poland	33.5
Russia	29.1
Saudi Arabia	31.623435294117648
South Africa	37.0
Spain	16.876381578947367
Sweden	8.51435409408899
Switzerland	50.0
Taiwan	76.5
Thailand	11.781683620239958
Tunisia	40.3
USA	11.255905456039324
United Kingdom	8.314980732177265
Vietnam	27.233115060804487
