BinID	MAG
shHC7_metabat_12	MAG001
shRTF3_metabat_034	MAG002
shHF5_metabat_30	MAG003
shRTC8_metabat_029	MAG004
shHF6_metabat_016	MAG005
shHC4_metabat_017	MAG006
shRTF2_metabat_57_sub	MAG007
shRTF3_maxbin_017	MAG008
shRTC7_metabat_09	MAG009
shRTC5_metabat_15_sub	MAG010
shRTC1_metabat_20	MAG011
shHF8_metabat_27_sub	MAG012
shRTF4_metabat_10_sub	MAG013
shHF6_maxbin_011	MAG014
shHF1_metabat_27	MAG015
shHF7_metabat_13	MAG016
shHF8_metabat_09	MAG017
shHF1_metabat_17	MAG018
shHF6_metabat_020	MAG019
shHF8_metabat_43	MAG020
shHF8_metabat_54	MAG021
shHC4_metabat_022	MAG022
shHF4_metabat_024	MAG023
shRTC4_maxbin_06	MAG024
shHF6_metabat_072	MAG025
shRTC3_metabat_39	MAG026
shHF1_metabat_57	MAG027
shRTF3_metabat_042	MAG028
shHF3_metabat_27	MAG029
shRTF2_metabat_01	MAG030
shRTC2_metabat_07	MAG031
shRTF6_metabat_05_sub	MAG032
shRTC2_metabat_28	MAG033
shHF5_metabat_35	MAG034
shRTF4_metabat_13	MAG035
shRTC2_metabat_10	MAG036
shHF1_metabat_40	MAG037
shRTF1_maxbin_005	MAG038
shRTC2_metabat_47	MAG039
shHC8_maxbin_008_sub	MAG040
shHF6_metabat_024	MAG041
shHF8_metabat_26_sub	MAG042
shHC4_metabat_041	MAG043
shRTF5_metabat_061	MAG044
shHF1_metabat_19	MAG045
shHC3_maxbin_002	MAG046
shHF8_maxbin_014	MAG047
shHF6_metabat_023	MAG048
shHC4_metabat_011	MAG049
shHF8_metabat_58	MAG050
shHC3_metabat_27_sub	MAG051
shHF6_metabat_045_sub	MAG052
shRTC3_maxbin_001	MAG053
shHC4_metabat_028	MAG054
shHC3_metabat_04	MAG055
shHF4_metabat_011	MAG056
shRTC8_metabat_012	MAG057
shHF7_metabat_23	MAG058
shHC4_maxbin_024	MAG059
shHF5_metabat_12	MAG060
shHF8_metabat_33	MAG061
shHF2_metabat_53	MAG062
shRTF6_metabat_14_sub	MAG063
shHF7_maxbin_004	MAG064
shRTF5_metabat_023	MAG065
shRTF5_maxbin_003	MAG066
shRTC2_metabat_45	MAG067
shRTC8_metabat_044_sub	MAG068
shRTF2_metabat_23_sub	MAG069
shRTC2_metabat_37	MAG070
shRTF5_metabat_006_sub	MAG071
shRTF3_maxbin_004	MAG072
shHF3_metabat_16	MAG073
shHF6_maxbin_023_sub	MAG074
shRTF1_metabat_41	MAG075
shHC4_metabat_054	MAG076
shRTC2_metabat_30_sub	MAG077
shRTF4_metabat_07	MAG078
shHC8_metabat_26	MAG079
shHC4_metabat_019	MAG080
shHF6_metabat_075	MAG081
shRTF6_maxbin_31_sub	MAG082
shHF6_maxbin_022_sub	MAG083
shHF6_metabat_036_sub	MAG084
shHF2_metabat_34	MAG085
shHF7_metabat_44	MAG086
shRTF3_metabat_063	MAG087
shHC2_maxbin_007	MAG088
shRTC4_maxbin_08	MAG089
shRTF3_metabat_036	MAG090
shHF2_metabat_56_sub	MAG091
shRTC8_metabat_035_sub	MAG092
shHF5_metabat_29	MAG093
shHF5_metabat_52	MAG094
shHC8_metabat_01	MAG095
shHF3_maxbin_010	MAG096
shHF3_metabat_47	MAG097
shRTF5_maxbin_022_sub	MAG098
shRTF3_metabat_057	MAG099
shRTF3_metabat_021	MAG100
shHF4_metabat_038	MAG101
shHF6_metabat_015_sub	MAG102
shHF4_metabat_043	MAG103
shRTF3_metabat_026	MAG104
shHF7_metabat_32	MAG105
shHC7_maxbin_013	MAG106
shHC4_maxbin_020	MAG107
shHF4_metabat_026	MAG108
shHC1_metabat_25	MAG109
shHF8_metabat_13	MAG110
shRTC7_metabat_18	MAG111
shHF6_metabat_009	MAG112
shRTC8_metabat_017	MAG113
shHF4_metabat_070_sub	MAG114
shHF4_metabat_045	MAG115
shHC4_metabat_008	MAG116
shHC2_metabat_41	MAG117
shHC8_metabat_32	MAG118
shHF7_maxbin_001_sub	MAG119
shRTF3_metabat_033	MAG120
shHF5_metabat_11	MAG121
shRTF8_metabat_29	MAG122
shHF1_metabat_31	MAG123
shHF6_metabat_064	MAG124
shHC6_metabat_04	MAG125
shRTF3_metabat_007	MAG126
shHF6_metabat_068	MAG127
shHF5_metabat_55_sub	MAG128
shHF2_metabat_35	MAG129
shRTC8_metabat_021	MAG130
shHC4_maxbin_042	MAG131
shRTF8_metabat_33	MAG132
shHC1_metabat_14	MAG133
shHF1_maxbin_033	MAG134
shHF4_metabat_036	MAG135
shHF4_metabat_042	MAG136
shHC1_metabat_18_sub	MAG137
shHF4_maxbin_006	MAG138
shRTF3_metabat_043	MAG139
shRTF6_metabat_10	MAG140
shRTF3_metabat_061	MAG141
shHF7_metabat_27	MAG142
shRTF5_metabat_010	MAG143
shHC4_metabat_046	MAG144
shHF8_metabat_01_sub	MAG145
shHF8_metabat_17	MAG146
shHC4_metabat_062	MAG147
