	MAG001	MAG002	MAG003	MAG004	MAG005	MAG006	MAG007	MAG008	MAG009	MAG010	MAG011	MAG012	MAG013	MAG014	MAG015	MAG016	MAG017	MAG018	MAG019	MAG020	MAG021	MAG022	MAG023	MAG024	MAG025	MAG026	MAG027	MAG028	MAG029	MAG030	MAG031	MAG032	MAG033	MAG034	MAG035	MAG036	MAG037	MAG038	MAG039	MAG040	MAG041	MAG042	MAG043	MAG044	MAG045	MAG046	MAG047	MAG048	MAG049	MAG050	MAG051	MAG052	MAG053	MAG054	MAG055	MAG056	MAG057	MAG058	MAG059	MAG060	MAG061	MAG062	MAG063	MAG064	MAG065	MAG066	MAG067	MAG068	MAG069	MAG070	MAG071	MAG072	MAG073	MAG074	MAG075	MAG076	MAG077	MAG078	MAG079	MAG080	MAG081	MAG082	MAG083	MAG084	MAG085	MAG086	MAG087	MAG088	MAG089	MAG090	MAG091	MAG092	MAG093	MAG094	MAG095	MAG096	MAG097	MAG098	MAG099	MAG100	MAG101	MAG102	MAG103	MAG104	MAG105	MAG106	MAG107	MAG108	MAG109	MAG110	MAG111	MAG112	MAG113	MAG114	MAG115	MAG116	MAG117	MAG118	MAG119	MAG120	MAG121	MAG122	MAG123	MAG124	MAG125	MAG126	MAG127	MAG128	MAG129	MAG130	MAG131	MAG132	MAG133	MAG134	MAG135	MAG136	MAG137	MAG138	MAG139	MAG140	MAG141	MAG142	MAG143	MAG144	MAG145	MAG146	MAG147
shHC1	34.54	10.13	0.0	1.1	9.6	1.45	0.1	5.24	0.0	0.0	7.5	9.835	0.0	2.8	0.0	0.31	1.49	0.0	1.86	0.2	11.43	6.83	29.65	5.15	0.0	1.25	3.03	4.16	0.0	1.28	17.28	13.395	0.42	9.73	0.0	7.71	19.45	7.75	8.67	1.96	43.86	1.15	3.1	6.835	4.5	2.2	0.9	0.82	8.25	10.81	2.76	9.36	0.0	1.93	0.0	27.38	4.03	4.15	0.1	0.0	1.23	0.93	3.78	0.4	8.96	7.77	0.0	0.22	0.0	0.2	7.5	0.23	4.17	2.36	10.64	0.0	0.67	1.37	12.035	0.4	2.64	2.73	11.305	0.495	0.72	4.33	6.4	9.86	6.82	14.18	0.3	0.0	3.65	0.0	0.0	0.21	3.11	0.49	4.5	0.0	0.95	0.4	0.0	8.52	0.3	0.0	7.75	1.5	0.0	1.5	11.485	14.16	0.0	1.16	1.05	0.0	1.38	2.47	12.84	8.4	1.4249999999999998	0.0	3.67	0.23	0.9	47.27	0.0	0.0	0.0	4.91	2.43	11.19	0.0	2.71	6.23	28.24	29.39	4.325	6.03	0.11	2.62	3.67	5.84	0.0	4.18	3.16	0.0
shHC2	24.76	8.3	0.0	0.13	1.01	3.84	0.25	0.0	0.23	0.0	0.1	19.795	7.31	8.105	0.0	0.0	3.88	0.0	0.64	0.0	9.11	1.44	21.04	2.54	0.0	2.09	3.58	3.03	0.0	2.65	40.16	0.0	0.2	12.29	1.07	2.0	20.92	0.0	5.21	6.48	47.6	1.16	1.27	41.135000000000005	0.0	1.83	5.72	0.47	5.39	7.14	1.49	12.52	3.8	1.0	0.0	0.0	18.16	9.54	2.6	0.0	0.31	0.59	8.1	1.06	3.89	2.63	2.11	3.76	0.3	1.0	2.44	0.0	0.0	3.51	10.8	0.0	0.5	5.37	7.24	0.3	1.67	1.96	19.64	0.925	0.0	2.01	14.04	16.69	0.42	1.59	0.79	0.0	2.13	6.63	2.42	11.86	12.28	0.17	13.45	0.0	0.42	0.2	0.0	5.75	1.77	0.0	0.0	2.12	0.13	2.19	2.48	14.27	0.4	0.0	1.05	0.0	0.3	5.7	5.305	0.2	0.0	1.05	0.0	0.0	0.2	35.805	5.85	0.0	0.0	2.68	1.07	3.75	0.0	2.165	8.71	23.23	44.67	1.54	9.81	0.0	1.88	0.0	4.68	0.0	3.19	5.43	0.2
shHC3	36.42	9.65	0.0	0.2	4.94	0.2	0.0	0.0	0.0	0.4	0.0	5.35	0.0	7.47	0.0	0.78	2.9	0.0	1.0750000000000002	7.83	11.95	2.77	0.6	1.68	0.1	3.39	2.34	2.03	0.0	0.2	25.695	10.17	2.15	3.47	5.68	7.06	9.36	0.0	3.2	3.28	26.47	1.91	2.27	29.9	5.25	1.24	0.0	0.35	4.64	4.28	1.49	23.1	0.0	0.0	0.2	58.78	3.17	2.43	1.91	0.0	13.29	0.1	1.4	0.2	5.08	5.87	0.0	0.37	0.0	0.0	2.92	0.49	0.0	3.47	1.19	0.0	0.45	6.56	1.25	0.66	3.19	2.57	12.15	5.49	0.0	3.16	2.59	19.11	1.08	3.45	0.58	0.0	2.37	0.0	0.0	0.4	2.63	0.1	4.59	0.0	0.72	0.59	0.0	4.585	0.8	0.3	0.0	1.415	0.0	0.5	3.1	5.38	5.66	0.19	0.0	0.0	0.77	12.07	5.19	1.64	3.21	0.0	0.0	0.0	0.92	27.18	0.0	0.0	0.24	4.42	0.0	1.63	0.0	1.4	0.0	18.92	41.86	9.22	7.22	2.12	1.98	1.43	2.48	0.0	2.59	0.78	0.0
shHC4	30.76	22.5	0.0	1.65	4.91	2.15	0.0	0.0	0.0	0.0	0.0	37.34	1.27	10.015	0.0	0.0	3.355	0.0	3.325	0.19	18.18	4.355	13.94	7.01	0.0	12.18	1.11	5.63	0.0	1.2	71.36500000000001	0.0	0.0	48.67	17.09	6.05	28.49	0.19	4.7	26.61	61.19	1.76	0.88	46.765	3.93	5.44	4.7	7.8	12.74	14.52	3.0	24.0	7.55	19.7	0.0	0.0	8.19	10.22	3.07	0.0	73.76	0.38	0.4	5.69	12.075	9.29	0.0	0.0	1.66	2.79	6.84	3.94	0.2	4.78	21.14	12.55	1.09	7.41	9.69	5.09	2.87	1.13	59.09	13.555	0.1	9.335	19.16	19.14	4.24	3.03	1.1	0.0	2.29	0.0	0.38	5.16	2.25	1.19	12.0	0.0	1.23	0.9	0.0	10.74	10.015	0.5	0.0	9.305	0.0	28.11	10.81	15.18	0.0	0.0	8.12	0.0	1.68	20.11	11.875	26.375	0.0	0.24	0.0	0.03	3.85	57.675	13.65	0.2	1.48	0.0	0.52	8.93	0.0	6.08	1.36	36.08	45.72	4.73	14.53	0.2	0.0	0.0	23.56	0.0	9.92	10.44	0.0
shHC5	24.87	7.43	0.2	0.4	4.52	0.4	0.9	0.0	0.0	0.0	0.0	4.165	10.89	7.57	0.0	0.0	0.84	0.0	0.99	0.0	13.03	0.78	1.35	1.32	0.4	1.5	1.87	3.35	0.0	0.0	25.715	0.0	0.44	5.66	5.64	2.98	13.4	0.0	5.93	2.56	26.49	3.18	0.6	9.14	0.3	1.55	4.13	2.43	3.85	4.69	2.89	61.32	2.85	0.0	0.12	0.0	2.17	1.61	0.31	0.0	0.0	0.88	1.27	0.1	6.52	7.2	0.0	3.77	0.0	0.55	2.74	5.18	0.0	1.48	0.0	0.0	0.65	0.6	3.7	0.0	1.42	5.08	12.87	2.275	0.1	0.81	1.49	3.1	1.4	1.55	0.6	1.7	1.91	0.0	3.86	0.17	5.62	0.2	1.85	3.49	0.68	0.55	0.0	4.62	0.4	0.24	0.05	0.2	0.3	0.2	0.0	4.995	0.6	0.0	0.2	0.0	11.61	0.79	5.84	0.13	0.2	0.94	1.32	0.2	0.4	20.4	0.0	50.97	0.0	0.0	0.1	2.89	0.0	1.22	4.41	26.87	21.51	4.2	3.51	0.22	2.03	1.0	0.56	0.0	3.51	0.39	0.2
shHC6	25.59	14.24	0.0	0.59	3.95	0.77	1.61	0.0	0.0	1.59	0.59	4.36	4.29	8.75	0.0	0.0	2.895	0.0	1.16	0.0	8.37	0.76	0.0	3.46	14.24	1.91	3.21	5.36	0.0	5.16	18.28	16.73	0.0	6.79	17.77	3.42	6.72	0.19	5.8149999999999995	3.07	22.57	0.895	0.36	29.060000000000002	1.76	0.61	10.51	0.0	6.9	9.27	1.27	20.91	0.4	3.72	3.225	0.0	1.75	3.86	0.0	0.0	0.53	0.85	4.305	0.42	10.62	8.01	0.0	1.65	0.0	2.65	2.87	7.09	2.34	2.3	0.0	1.41	0.96	2.31	2.15	0.05	6.59	1.59	4.88	3.1950000000000003	2.37	1.59	3.19	12.9	1.29	1.01	0.37	2.18	0.89	0.0	1.8	0.1	21.29	0.44	1.25	10.35	2.46	0.0	0.0	3.79	1.99	0.3	1.38	0.19	0.0	2.54	11.03	3.53	0.12	0.07	0.69	0.0	3.54	4.55	9.16	0.6	2.45	4.05	4.69	0.0	0.45	28.35	0.0	0.0	0.0	0.0	0.18	3.83	5.17	1.29	8.33	33.17	47.69	3.7	3.22	0.4	2.33	0.2	1.38	0.0	1.63	0.0	0.1
shHC7	26.85	8.03	1.37	0.2	4.0	1.1	1.29	0.0	0.0	5.57	0.0	5.14	0.2	4.01	0.0	0.0	2.43	0.0	0.9	4.28	8.995000000000001	0.5	5.15	1.77	2.41	11.69	1.83	3.86	0.0	0.4	38.71	23.14	6.01	6.18	0.2	1.91	9.08	0.0	4.0	5.85	25.4	1.0	1.65	27.08	1.1	6.98	0.51	1.2	5.35	4.62	2.04	20.94	2.89	1.31	0.02	0.0	1.43	3.36	0.27	0.0	0.0	2.03	0.76	0.2	5.05	2.93	0.0	3.41	0.0	0.8	1.67	0.93	1.23	4.27	0.0	0.0	0.68	2.86	2.27	0.2	1.07	2.99	25.045	7.29	1.43	1.2	3.9	16.24	1.36	0.69	0.8	1.18	0.735	0.0	0.0	0.2	10.5	0.1	3.12	0.82	1.34	0.0	0.0	3.61	4.03	0.0	0.89	0.2	0.98	0.0	0.0	2.94	0.0	0.0	0.0	0.175	1.26	1.9649999999999999	2.78	0.4	0.95	4.53	0.6	0.0	0.85	29.700000000000003	0.0	0.0	0.0	0.0	0.9	3.87	3.49	0.94	8.13	23.58	19.35	2.51	1.51	11.76	3.19	0.0	1.19	0.0	1.59	0.0	0.0
shHC8	11.57	38.48	0.1	1.35	2.02	0.0	0.0	0.0	0.0	0.0	5.61	4.48	0.0	1.06	0.0	0.0	0.38	0.0	0.71	0.2	3.76	1.0	0.0	2.46	0.0	3.75	1.38	1.46	0.08499999999999999	0.1	7.21	0.0	5.37	0.48	2.64	1.59	7.68	0.2	3.05	0.36	24.18	1.55	0.27	7.995	7.41	0.51	0.09	2.08	2.16	3.96	0.3	5.88	0.0	1.43	0.3	0.0	1.07	0.69	0.42	0.0	0.0	0.0	0.67	0.1	3.565	2.97	0.0	5.875	3.94	0.0	1.44	0.0	0.78	0.4	0.0	2.81	0.58	0.0	1.66	0.22	1.0	0.99	4.37	6.36	5.97	0.61	3.96	8.76	4.62	3.19	0.0	1.39	1.54	0.0	0.0	0.2	4.81	0.65	0.8	0.0	0.62	0.7	0.0	1.41	0.96	12.27	0.0	0.11	0.35	1.17	0.0	2.37	0.0	0.0	0.2	14.62	4.34	0.0	5.36	2.41	0.12	0.0	0.77	0.0	0.97	10.61	0.5	105.07	0.1	0.0	0.0	4.43	0.0	1.37	0.1	16.24	16.02	2.13	0.88	0.0	1.98	1.2	0.65	0.0	2.96	0.0	0.0
shHF1	82.11	10.95	0.0	2.87	17.79	10.155000000000001	0.33	7.8	0.0	0.0	5.51	14.565000000000001	0.0	4.08	0.0	0.1	1.04	0.0	4.01	0.24	27.83	9.84	68.73	10.26	0.0	2.25	5.27	8.83	0.0	1.49	86.1	7.49	0.15	7.74	0.0	19.04	39.63	10.25	25.93	2.95	34.11	2.71	1.61	10.19	1.23	4.53	0.65	1.2	15.24	13.4	5.3	21.85	0.0	2.98	0.0	30.32	12.64	2.42	0.49	0.0	1.79	0.6	2.58	0.59	18.325	7.84	0.0	0.0	0.0	0.2	15.15	0.35	2.35	3.15	11.26	0.0	0.5	1.11	22.66	1.07	1.75	6.03	17.835	0.365	1.32	0.93	2.9	12.91	4.89	24.03	0.61	0.0	7.39	0.0	0.0	0.2	1.62	1.27	3.465	0.0	2.63	0.59	0.0	18.195	0.5	0.0	3.63	0.7	0.0	0.2	13.07	34.4	0.0	1.28	3.02	0.0	3.63	1.54	15.864999999999998	6.91	1.69	0.0	2.81	0.44	1.07	58.605000000000004	0.1	0.0	0.0	2.8	1.04	24.87	0.0	4.64	17.97	39.99	39.25	9.23	14.59	0.0	3.42	7.8	5.39	0.0	10.89	2.55	0.0
shHF2	58.47	17.19	0.06	0.2	2.18	13.33	0.5	0.0	0.13	0.0	0.25	53.375	5.45	19.345	0.0	0.0	10.74	0.0	0.91	0.0	20.57	3.09	48.28	4.24	0.0	3.32	7.61	8.05	0.0	2.8	144.49	0.0	0.355	29.85	1.41	3.73	46.11	0.0	12.77	13.96	35.1	2.55	1.33	86.875	0.0	4.18	6.07	0.96	11.765	14.09	3.06	27.81	8.25	0.7	0.0	0.0	40.89	29.15	9.77	0.0	0.61	0.33	5.68	1.75	8.97	1.78	5.9	2.98	0.37	1.83	5.415	0.08	0.0	5.28	4.77	0.0	0.39	9.05	16.25	0.37	1.63	4.52	51.34	1.07	0.0	3.94	23.78	41.27	0.385	3.11	1.19	0.0	5.015	3.26	1.88	12.11	15.83	0.2	36.9	0.0	0.87	0.0	0.0	13.895	3.04	0.0	0.0	2.66	0.3	2.16	3.63	30.63	1.34	0.0	1.42	0.0	0.79	8.14	9.44	0.23	0.0	3.57	0.0	0.1	0.2	74.485	7.24	0.0	0.1	2.42	1.82	8.49	0.0	4.76	4.18	39.08	87.1	3.55	22.11	0.1	3.2	0.0	3.1	0.0	7.33	6.36	0.2
