Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
shRTF8	raw	32659316.0	6531863200	32659316.0	6531863200	0	0	2018-12-01-07:17:22
shRTF8	deduplicated	29709188.0	5941837600	29709188.0	5941837600	0	0	2018-12-01-08:38:33
shRTF8	filtered	29654631.0	5903240350	29492100.0	5887095373	162531	16144977	2018-12-01-09:21:00
shRTF8	clean	28995121.0	5787988075	28995121.0	5787988075	0	0	2018-12-01-21:09:11
shRTF8	QC	29300759.0	5833685913	29148032.0	5818517529	152727	15168384	2018-12-01-21:11:16
shRTF2	raw	32593028.0	6518605600	32593028.0	6518605600	0	0	2018-12-01-07:16:21
shRTF2	deduplicated	29977547.0	5995509400	29977547.0	5995509400	0	0	2018-12-01-08:38:33
shRTF2	filtered	29950295.0	5959669451	29779541.0	5942664547	170754	17004904	2018-12-01-09:17:00
shRTF2	clean	29390629.0	5865132844	29390629.0	5865132844	0	0	2018-12-01-21:14:51
shRTF2	QC	29691272.0	5908722011	29527074.0	5892370062	164198	16351949	2018-12-01-21:16:18
shHF7	raw	27845047.0	5569009400	27845047.0	5569009400	0	0	2018-12-01-07:24:20
shHF7	deduplicated	25866582.0	5173316400	25866582.0	5173316400	0	0	2018-12-01-08:56:34
shHF7	filtered	25811099.0	5112500598	25437091.0	5075256200	374008	37244398	2018-12-01-09:17:33
shHF7	clean	15324095.0	3059036250	15324095.0	3059036250	0	0	2018-12-01-22:11:10
shHF7	QC	15510384.0	3085661606	15404952.0	3075180594	105432	10481012	2018-12-01-22:12:47
shRTC3	raw	45094456.0	9018891200	45094456.0	9018891200	0	0	2018-12-01-06:35:24
shRTC3	deduplicated	41583246.0	8316649200	41583246.0	8316649200	0	0	2018-12-01-07:49:04
shRTC3	filtered	41509977.0	8220765837	40895221.0	8159482405	614756	61283432	2018-12-01-08:13:34
shRTC3	clean	28333573.0	5629859239	28078079.0	5604395119	255494	25464120	2018-12-01-14:18:02
shRTC3	QC	28470532.0	5657121165	28214232.0	5631576748	256300	25544417	2018-12-01-15:21:53
shHF5	raw	42053493.0	8410698600	42053493.0	8410698600	0	0	2018-12-01-06:50:24
shHF5	deduplicated	37812736.0	7562547200	37812736.0	7562547200	0	0	2018-12-01-07:49:04
shHF5	filtered	37728731.0	7494630450	37398091.0	7461754291	330640	32876159	2018-12-01-08:52:33
shHF5	clean	32576627.0	6481466742	32376515.0	6461585089	200112	19881653	2018-12-01-13:52:07
shHF5	QC	32753844.0	6516780183	32553137.0	6496839447	200707	19940736	2018-12-01-14:58:07
shRTF7	raw	30422097.0	6084419400	30422097.0	6084419400	0	0	2018-12-01-07:24:20
shRTF7	deduplicated	28259445.0	5651889000	28259445.0	5651889000	0	0	2018-12-01-08:44:34
shRTF7	filtered	28197429.0	5581548940	27762399.0	5538169060	435030	43379880	2018-12-01-09:19:00
shRTF7	clean	15396496.0	3073436303	15396496.0	3073436303	0	0	2018-12-01-22:03:18
shRTF7	QC	15580146.0	3100495818	15484027.0	3090910441	96119	9585377	2018-12-01-22:11:10
shHF3	raw	30870327.0	6174065400	30870327.0	6174065400	0	0	2018-12-01-07:18:21
shHF3	deduplicated	28977291.0	5795458200	28977291.0	5795458200	0	0	2018-12-01-08:40:34
shHF3	filtered	28927918.0	5753953134	28737181.0	5734931755	190737	19021379	2018-12-01-09:15:00
shHF3	clean	27448368.0	5478006393	27448368.0	5478006393	0	0	2018-12-01-21:33:23
shHF3	QC	27756535.0	5523350469	27594645.0	5507204864	161890	16145605	2018-12-01-21:35:50
shHC7	raw	24543749.0	4908749800	24543749.0	4908749800	0	0	2018-12-01-07:26:21
shHC7	deduplicated	22260581.0	4452116200	22260581.0	4452116200	0	0	2018-12-01-09:21:34
shHC7	filtered	22214061.0	4394202202	21839983.0	4356939982	374078	37262220	2018-12-01-09:30:00
shHC7	clean	12440396.0	2472233756	12336100.0	2461859960	104296	10373796	2018-12-01-22:01:32
shHC7	QC	12502226.0	2484523817	12397422.0	2474099446	104804	10424371	2018-12-01-22:11:10
shHF1	raw	29628650.0	5925730000	29628650.0	5925730000	0	0	2018-12-01-07:21:21
shHF1	deduplicated	27293338.0	5458667600	27293338.0	5458667600	0	0	2018-12-01-08:40:00
shHF1	filtered	27195089.0	5404945647	26973179.0	5382830426	221910	22115221	2018-12-01-09:17:33
shHF1	clean	25835719.0	5155999130	25835719.0	5155999130	0	0	2018-12-01-22:02:40
shHF1	QC	26161690.0	5201573577	25966687.0	5182141640	195003	19431937	2018-12-01-22:03:17
shRTC2	raw	34946041.0	6989208200	34946041.0	6989208200	0	0	2018-12-01-07:02:24
shRTC2	deduplicated	31599248.0	6319849600	31599248.0	6319849600	0	0	2018-12-01-08:16:04
shRTC2	filtered	31560930.0	6266585859	31244104.0	6235011004	316826	31574855	2018-12-01-09:04:00
shRTC2	clean	26790254.0	5328576342	26602145.0	5309832540	188109	18743802	2018-12-01-18:51:12
shRTC2	QC	26918003.0	5354043369	26729513.0	5335261599	188490	18781770	2018-12-01-19:05:03
shHF6	raw	37076692.0	7415338400	37076692.0	7415338400	0	0	2018-12-01-06:55:24
shHF6	deduplicated	33718129.0	6743625800	33718129.0	6743625800	0	0	2018-12-01-07:58:26
shHF6	filtered	33480942.0	6653764353	33199849.0	6625805593	281093	27958760	2018-12-01-09:00:34
shHF6	clean	32201013.0	6426827079	32201013.0	6426827079	0	0	2018-12-01-18:35:15
shHF6	QC	32612187.0	6483030868	32353854.0	6457337421	258333	25693447	2018-12-01-18:37:15
shRTC7	raw	35179280.0	7035856000	35179280.0	7035856000	0	0	2018-12-01-07:06:20
shRTC7	deduplicated	33039552.0	6607910400	33039552.0	6607910400	0	0	2018-12-01-08:19:33
shRTC7	filtered	32977020.0	6529409330	32477145.0	6479554472	499875	49854858	2018-12-01-08:53:33
shRTC7	clean	19001416.0	3780936876	18880600.0	3768888151	120816	12048725	2018-12-01-14:10:56
shRTC7	QC	19094050.0	3799359436	18972505.0	3787237948	121545	12121488	2018-12-01-21:14:03
shRTF6	raw	30622683.0	6124536600	30622683.0	6124536600	0	0	2018-12-01-07:22:22
shRTF6	deduplicated	28653658.0	5730731600	28653658.0	5730731600	0	0	2018-12-01-08:41:33
shRTF6	filtered	28610852.0	5689242709	28395571.0	5667771553	215281	21471156	2018-12-01-09:27:00
shRTF6	clean	26207600.0	5231711852	26207600.0	5231711852	0	0	2018-12-01-22:00:37
shRTF6	QC	26511229.0	5276440666	26352182.0	5260576741	159047	15863925	2018-12-01-22:02:25
shHC6	raw	40615434.0	8123086800	40615434.0	8123086800	0	0	2018-12-01-06:44:24
shHC6	deduplicated	37561372.0	7512274400	37561372.0	7512274400	0	0	2018-12-01-07:53:27
shHC6	filtered	37428088.0	7388859594	36624877.0	7308811407	803211	80048187	2018-12-01-08:12:33
shHC6	clean	13867858.0	2753844886	13726989.0	2739826947	140869	14017939	2018-12-01-15:01:06
shHC6	QC	13941427.0	2768383407	13799077.0	2754217765	142350	14165642	2018-12-01-21:19:06
shRTC4	raw	33869095.0	6773819000	33869095.0	6773819000	0	0	2018-12-01-07:14:21
shRTC4	deduplicated	30959779.0	6191955800	30959779.0	6191955800	0	0	2018-12-01-08:24:34
shRTC4	filtered	30889596.0	6107440441	30337665.0	6052417093	551931	55023348	2018-12-01-09:01:00
