Sample	Source	Group
shHC1	Cecum	Hot
shHC2	Cecum	Hot
shHC3	Cecum	Hot
shHC4	Cecum	Hot
shHC5	Cecum	Hot
shHC6	Cecum	Hot
shHC7	Cecum	Hot
shHC8	Cecum	Hot
shHF1	Feces	Hot
shHF2	Feces	Hot
shHF3	Feces	Hot
shHF4	Feces	Hot
shHF5	Feces	Hot
shHF6	Feces	Hot
shHF7	Feces	Hot
shHF8	Feces	Hot
shRTC1	Cecum	RT
shRTC2	Cecum	RT
shRTC3	Cecum	RT
shRTC4	Cecum	RT
shRTC5	Cecum	RT
shRTC6	Cecum	RT
shRTC7	Cecum	RT
shRTC8	Cecum	RT
shRTF1	Feces	RT
shRTF2	Feces	RT
shRTF3	Feces	RT
shRTF4	Feces	RT
shRTF5	Feces	RT
shRTF6	Feces	RT
shRTF7	Feces	RT
shRTF8	Feces	RT
