"rab.all"	"rab.win.trH"	"rab.win.trRT"	"rab.sample.B121"	"rab.sample.B122"	"rab.sample.B123"	"rab.sample.B124"	"rab.sample.B125"	"rab.sample.B126"	"rab.sample.B127"	"rab.sample.B128"	"rab.sample.B137"	"rab.sample.B138"	"rab.sample.B139"	"rab.sample.B140"	"rab.sample.B141"	"rab.sample.B142"	"rab.sample.B143"	"rab.sample.B144"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Akkermansiaceae"	3.83432218474328	5.40885008418124	2.35498240178111	5.24558276752528	4.91587576100942	4.89503258870475	6.46933731099508	5.84563906936384	6.61811632985386	5.6344880746113	3.68777434678368	3.43429774269257	3.14389903772472	3.987510693226	-1.20450272715656	1.1858897830478	-0.744941870474117	2.88520683363324	-0.0925541433842474	3.62813913744772	2.25707423680108	1.63492584832177	0.0136747388918296	0.000848789224579402	0.0213676212191194	0.000358148795648796	0.0101398601398601	"Significant"
"Anaeroplasmataceae"	-0.906144392635919	-5.12411462193295	0.486200915227911	-1.33335424328829	-0.302439493897569	-8.50467196949424	-9.24422632423427	-8.49914875574351	-8.47712047508057	-4.12539443660982	-3.84942136289107	0.754367696527181	1.2332895241663	-8.22713461033406	1.36743466777177	-0.0700793500148684	-0.120654992772385	-0.0143393628365676	1.43503783488795	-5.19153818044655	5.32355994110138	-0.955637835903969	0.0937503800015545	0.0252117632287149	0.132213163220314	0.00736572455322455	0.0606592655030155	"Significant"
"Atopobiaceae"	-8.31488486604523	-7.92377243957907	-8.80948689657437	-9.24991261882025	-8.47054149288905	-8.30613983506207	-8.49484817513678	-2.83605853501944	-4.32361171566051	-9.12732423517928	-9.30272477121225	-9.76214703554068	-5.17419323872654	-8.35159895690967	-9.19194960725999	-8.6400794657787	-9.2371988731226	-9.55821588401506	-9.5199456867014	0.952191241790761	4.94557442983325	0.198653390545306	0.403508803665971	0.509885788452371	0.698345775580877	0.545229943667444	0.698456259906898	"Not significant"
"Bacteria.other"	-3.11314205011077	-3.11527166489391	-3.0774103453688	-3.34243163406	-1.56071734950804	-8.81353906488397	-4.71050549097257	-3.26638728897565	-1.35822191686047	-1.97928828955067	-3.22062973966032	-2.48075259727839	-1.10949803098257	-8.65251362564484	-8.97504420572003	-1.64302964103269	-9.03462557645409	-3.92148851388656	-1.38505533297308	0.329908920557925	4.84435698878266	0.0607575777246156	0.45898438812683	0.518383977514899	0.729062589506646	0.817677981740482	0.897949800597928	"Not significant"
"Bacteroidaceae"	4.81633854001138	5.10369573378826	4.56624670992354	5.60530530736923	5.42645800679111	4.85267160259091	5.77490034452916	4.57963048782759	4.51318437370683	5.35053555888193	4.68137998623197	4.14049441799462	3.82964598472389	5.45711280127134	4.5637439840345	4.88765206662577	5.68400700463329	4.28974927874036	4.52907062339169	0.373836561768624	0.881073535483653	0.457315534111064	0.310546945321452	0.218800670414394	0.481358381210585	0.222857177544678	0.437156833602472	"Not significant"
"Burkholderiaceae"	2.99258859858995	3.32496229250376	2.25783800146249	2.04626715438796	4.06803781612447	2.82421891761627	3.1939808740525	4.1826173790019	4.11235092667954	3.44004569433523	2.63866275326078	1.60246205293834	2.11495742649136	4.38839855726945	2.33293220048706	3.61069935640673	1.81332231326597	1.96968510359629	3.17900254815186	0.800681196741652	1.33705434040868	0.591727224704949	0.277343838288176	0.172225607040627	0.447643430057676	0.172106886169386	0.398990640359613	"Not significant"
"Christensenellaceae"	-2.32009762033104	-2.13154576778865	-2.5816374852874	-2.59583730971402	-1.32202635368492	-2.59520420653849	-1.61606194021855	-1.672153439919	-1.99073007011365	-2.34089705706492	-4.57228115580419	-3.41387131651853	-3.45538116937384	-0.346697349479057	-3.50983240889634	-0.986131498076789	-2.83286781598707	-2.48252436205997	-1.94355171401924	0.251307349931358	1.63873712784204	0.110960242774304	0.45224173066165	0.804677426743038	0.906040897857007	0.724294628982129	0.839012651416759	"Not significant"
"Clostridiaceae_1"	-7.46283666415524	-7.82798416114337	-6.98822758319328	-9.42436215170329	-9.11928542917703	-2.69006977054133	-0.881461704302075	-9.11778522358066	-8.59913823050148	-8.43097154025027	-8.83780426943103	-3.35814171166655	-4.39707399899453	-8.40924551161272	-3.27238001592232	-8.72319891159457	-8.68164937326397	-10.0780562583222	-9.21212600180723	-0.434659529760086	6.03795061499201	-0.0689987655917934	0.476562507466978	0.653492932625689	0.815364828766207	0.67949324980575	0.804589112292263	"Not significant"
"Clostridiales.other"	-1.45378135518532	-1.51752114695239	-1.4370541500786	-2.61406581112319	-1.91052271868494	0.0441773119607971	-2.94929814705977	-2.63511810767224	-0.844043580273159	-1.09244661799772	-1.05815971428916	-1.69487697462372	-1.37616584910137	-0.358535265683931	-0.50304623713546	-1.28494473305982	-1.94998026474961	-1.44076163018576	-2.75836863158329	-0.249804985639751	1.46041129060382	-0.166768537191066	0.432748559699417	0.654418926628102	0.828526504153243	0.724078525641026	0.842234296005765	"Not significant"
"Clostridiales_vadinBB60_group"	1.90804198720422	1.58209315847308	2.57252639383302	0.0991468558775477	1.64312266067055	2.86628911174756	0.0764381703179646	1.60173670868383	1.91997868240737	1.71107369567087	1.38520877916748	2.46432378338728	2.72860850079191	2.77003117349203	3.68011065780234	1.62143496161638	1.35480782301056	2.92493787869156	2.02925155248358	-1.05076142290821	1.31981452776025	-0.795476240326819	0.195312654068659	0.036969943380261	0.178635293676346	0.0627974456099456	0.226106107449294	"Not significant"
"Deferribacteraceae"	-0.0241537605054232	-0.328691194314515	0.11608607912731	0.479561565265138	-0.814423862525823	3.01712658506814	-0.869348063448556	-1.74481283118146	-0.34059812722135	-0.405401110580991	3.67107047730866	1.68553006178878	1.64748134501745	-0.0696590957992989	-0.787590391320323	-0.211910873711468	0.0126651438086238	0.624598785078337	-0.0682738966884653	-0.373296697945051	1.86703361828663	-0.165635797627363	0.406250030888192	0.897255650295935	0.945335578269845	0.568161179098679	0.743660705920073	"Not significant"
"Defluviitaleaceae"	-1.40934668228555	-0.646980563454699	-1.84883064181265	-1.31516673240134	-0.240671442282921	-8.99989789182611	-0.81514363634129	-0.260139725498326	-0.403324004033356	-0.121054600112706	-1.25563749418025	-1.62346168715942	-4.36997029686865	1.64502093593163	-1.7819198306785	-8.36094231388152	-1.91868757286271	-1.94500349790475	-1.57698339510972	1.19193486083172	3.26164700917481	0.339356939464681	0.244140735188899	0.595225850836327	0.780593709922426	0.106239073426573	0.327141957340395	"Not significant"
"Desulfovibrionaceae"	-0.551019149672507	-0.635048969952928	-0.505911298808133	-1.13000043030503	-0.939077212246229	1.37058722659402	-0.829574820477245	-1.38011986986826	-0.626561491874727	0.515782581197763	1.29382583663617	-0.128236970200681	-0.0549021307680784	-0.712772433907483	0.321412408848087	-1.06159420874809	-0.662186244601505	-0.522859474639012	-1.28227637297088	0.0663226751470853	1.31632879060642	0.0487712426365936	0.468750009973051	0.543120635453502	0.749024091101657	0.798546765734266	0.876521061522698	"Not significant"
"Eggerthellaceae"	-3.90334497652678	-3.10673931169624	-4.2836965823681	-2.32882374068331	-3.05086111868862	-2.11793558703309	-3.80797253427346	-2.86738731158618	-8.67641992350903	-9.10417981216756	-2.94568190312075	-4.05662552975375	-4.7259822237485	-3.66405069056503	-3.89313636254136	-8.55719268176468	-4.55656582357055	-3.65056040080239	-4.90518896596753	1.10913365982113	2.39974100122985	0.295113410211902	0.29434705693789	0.676372870173967	0.82032182434451	0.203166278166278	0.428978917868254	"Not significant"
