	diff.btw	diff.btw	diff.win	diff.win	effect	effect	label	label	overlap	overlap	rab.all	rab.all	rab.sample.B121	rab.sample.B122	rab.sample.B123	rab.sample.B124	rab.sample.B125	rab.sample.B126	rab.sample.B127	rab.sample.B128	rab.sample.B137	rab.sample.B138	rab.sample.B139	rab.sample.B140	rab.sample.B141	rab.sample.B142	rab.sample.B143	rab.sample.B144	rab.sample.B169	rab.sample.B170	rab.sample.B171	rab.sample.B172	rab.sample.B173	rab.sample.B174	rab.sample.B175	rab.sample.B176	rab.sample.B184	rab.sample.B185	rab.sample.B186	rab.sample.B187	rab.sample.B188	rab.sample.B189	rab.sample.B190	rab.sample.B191	rab.win.H	rab.win.RT	rab.win.trH	rab.win.trRT	we.eBH	we.eBH	we.ep	we.ep	wi.eBH	wi.eBH	wi.ep	wi.ep
	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	TempTransplanted	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted
Akkermansiaceae	1.03859474728314	3.6281391374477203	1.93963510499379	2.2570742368010803	0.424496865342813	1.6349258483217701	Not significant	Significant	0.376953166637119	0.0136747388918296	4.8774319032269196	3.83432218474328	5.24558276752528	4.915875761009421	4.89503258870475	6.469337310995081	5.845639069363839	6.61811632985386	5.6344880746113	3.68777434678368	3.43429774269257	3.1438990377247205	3.987510693226	-1.20450272715656	1.1858897830478001	-0.7449418704741171	2.8852068336332404	-0.0925541433842474	5.764796900953191	5.587749611036901	4.982239426526509	4.46587266846739	5.6060688002960894	5.361224970327481	4.66146064496644	4.4843927094571105	4.37112700988975	3.6283882065764903	6.115691783829269	6.5713410226503495	1.4659956901191598	3.0833239107001003	5.92993441248337	1.5572689276697098	5.20652425458275	4.05013296376075	5.408850084181241	2.35498240178111	0.282006427041635	0.0213676212191194	0.209899313807475	0.0008487892245794019	0.539159323920939	0.0101398601398601	0.454630439005439	0.000358148795648796
Anaeroplasmataceae	-2.6507856034082597	-5.19153818044655	5.28284164024901	5.32355994110138	-0.477011287856225	-0.9556378359039691	Not significant	Significant	0.289062581573385	0.0937503800015545	-8.36866265916516	-0.906144392635919	-1.33335424328829	-0.30243949389756897	-8.50467196949424	-9.244226324234269	-8.49914875574351	-8.47712047508057	-4.125394436609819	-3.8494213628910696	0.7543676965271809	1.2332895241663	-8.227134610334058	1.3674346677717701	-0.0700793500148684	-0.12065499277238499	-0.0143393628365676	1.4350378348879498	-9.3720120867136	-9.640436517567359	-9.40757366953794	-9.552655119545461	-9.7137398888213	-9.5560630130606	-9.071272433680331	-8.31578161408876	-9.08989885243712	-8.09656761261778	-0.874528462738284	-1.24673247290778	-7.211189422345259	-7.93782089859969	-8.04773416734505	-8.54997566963011	-9.35235276665549	-7.1139689307531295	-5.12411462193295	0.48620091522791103	0.27503236307476303	0.132213163220314	0.21568667645534	0.0252117632287149	0.322326364647023	0.0606592655030155	0.262394376456876	0.00736572455322455
Atopobiaceae	-2.03096077958255	0.9521912417907611	5.45054751030517	4.9455744298332505	-0.354549180684795	0.198653390545306	Not significant	Not significant	0.330078186069789	0.403508803665971	-7.27054877574801	-8.314884866045231	-9.24991261882025	-8.47054149288905	-8.30613983506207	-8.49484817513678	-2.8360585350194403	-4.32361171566051	-9.127324235179278	-9.30272477121225	-9.76214703554068	-5.174193238726541	-8.351598956909669	-9.191949607259989	-8.6400794657787	-9.2371988731226	-9.55821588401506	-9.5199456867014	-9.11049704677349	-9.15829326796163	-4.31658477996179	-9.77532236249846	-9.82823040634069	-4.23265678772633	-9.28975849555817	-8.733303610321421	-8.63273147101429	-7.9670817798277405	-1.79339353952878	-3.4040197094722795	-8.19450698003807	-7.283725295479571	-8.61912585460495	-3.4034560565510397	-8.24979141495531	-6.185258200868809	-7.9237724395790705	-8.80948689657437	0.40563717073982797	0.6983457755808771	0.340377524133083	0.5098857884523711	0.401806372644731	0.698456259906898	0.32808614996115004	0.545229943667444
Bacteria.other	-1.14359445513902	0.329908920557925	4.38102149822196	4.8443569887826605	-0.21003517560195603	0.0607575777246156	Not significant	Not significant	0.38281253941814897	0.45898438812683	-8.273948900742491	-3.11314205011077	-3.3424316340599995	-1.56071734950804	-8.81353906488397	-4.7105054909725705	-3.26638728897565	-1.35822191686047	-1.9792882895506698	-3.22062973966032	-2.48075259727839	-1.1094980309825702	-8.65251362564484	-8.975044205720028	-1.64302964103269	-9.03462557645409	-3.92148851388656	-1.38505533297308	-10.087946768187699	-8.55309035996639	-9.07713531166648	-9.42046861532415	-6.37296788833725	-9.50155828895566	-8.95297715316866	-8.97050307460641	-9.07054086180762	-7.88705783440498	-5.11256734572651	-8.22034056820367	-7.41916249622674	-7.183544957373541	-8.12598691653067	-9.028257986342538	-8.76085768532991	-7.74260912111209	-3.1152716648939105	-3.0774103453687998	0.49117785545434794	0.7290625895066459	0.43267356069713503	0.518383977514899	0.502102500423341	0.8979498005979281	0.437701534576535	0.817677981740482
Bacteroidaceae	-1.32955288477448	0.37383656176862395	0.868147678351796	0.881073535483653	-1.5017082632705603	0.457315534111064	Significant	Not significant	0.0585943859309574	0.31054694532145194	4.42247773704659	4.81633854001138	5.605305307369231	5.42645800679111	4.8526716025909105	5.7749003445291605	4.57963048782759	4.51318437370683	5.35053555888193	4.68137998623197	4.140494417994621	3.8296459847238906	5.4571128012713395	4.5637439840345	4.88765206662577	5.68400700463329	4.28974927874036	4.52907062339169	3.07592163444125	3.43669656980023	3.8187073873444803	3.33018495997758	2.79826168814921	4.174672385655549	4.2494224359607	4.54609352202962	5.1803748509055305	5.1012476285424695	4.470929484533901	4.52251740947568	5.433143619623831	5.40757584525477	4.5162168188887994	5.27561291286031	3.6702101128178297	5.09172812553146	5.10369573378826	4.56624670992354	0.00607444341758755	0.481358381210585	0.0010822639039925	0.218800670414394	0.009687580937580941	0.43715683360247204	0.0020541958041958	0.22285717754467801
Bifidobacteriaceae	5.44868616513381		5.11552937173549		0.9497515371932371		Significant		0.167968938810957		-6.63754242159166																		-4.4164732401087194	-3.94794941950085	0.31210768246605897	-0.275009596741658	1.07654428068784	-4.77074095885843	-8.984876120130789	-9.3011532401431	-8.92179943276356	-8.56647828040565	-8.80831173083867	-8.42251760397642	-7.98655306026286	-7.3854534729540395	-7.83169801603558	-8.20261340903614	-4.0541563811214	-8.31641274766155			0.0799273828771007		0.0481736982500181		0.0638366650836025		0.0333126942501942	
Burkholderiaceae	-0.323282194498252	0.8006811967416521	0.8417677970459899	1.33705434040868	-0.300088756942761	0.591727224704949	Not significant	Not significant	0.376953166637119	0.27734383828817605	4.12530482190817	2.99258859858995	2.04626715438796	4.068037816124471	2.82421891761627	3.1939808740525	4.1826173790019	4.11235092667954	3.4400456943352298	2.6386627532607796	1.60246205293834	2.11495742649136	4.388398557269451	2.33293220048706	3.61069935640673	1.8133223132659702	1.9696851035962901	3.1790025481518596	3.92698193601955	4.04823370683781	4.2267999938342795	3.80074193430792	3.77854070965976	3.7806945109252297	4.43979010823238	4.31124162075422	4.1434597421794	4.09681848669658	4.973667580932781	5.54552323845042	3.2352857506285	4.6302481742650095	4.622366308629201	3.15046238635954	4.01418595920928	4.40522454124686	3.32496229250376	2.25783800146249	0.514067581597311	0.44764343005767604	0.44479700749966494	0.17222560704062698	0.510686551361409	0.398990640359613	0.434995386557886	0.172106886169386
Caldicoprobacteraceae	-0.0748048340835883		2.41656731821912		-0.0298590140446608		Not significant		0.48538012159245403		-1.35024806504863																		-1.71878742685444	-1.5693967274312202	0.0491338760266871	-2.22155890477495	-2.09317683681465	-2.33750857506331	-0.646197284467783	1.21308610069695	-0.31675525999098697	-0.415112391098288	0.757833509647734	-1.6160758116909502	-4.695658717897481	-1.3837080711268601	0.0855569981387108	-4.805925619106611	-1.60007679541042	-0.8555593168435129			0.7358980924536089		0.6824558245801179		0.883740290602777		0.852449980574981	
Christensenellaceae	-1.0006682838660501	0.251307349931358	0.9930605828695992	1.63873712784204	-1.00318273385157	0.110960242774304	Significant	Not significant	0.11111142281282699	0.45224173066165	0.501056555100307	-2.32009762033104	-2.5958373097140197	-1.32202635368492	-2.59520420653849	-1.6160619402185499	-1.672153439919	-1.9907300701136499	-2.34089705706492	-4.57228115580419	-3.4138713165185295	-3.45538116937384	-0.34669734947905706	-3.50983240889634	-0.9861314980767891	-2.8328678159870697	-2.48252436205997	-1.9435517140192398	-0.216809795448395	-0.109773465627248	0.37293945600153605	0.0589795131923267	-1.3909053510087201	-1.32351805018018	0.678918506152273	0.49686629935388105	1.15639689446564	0.462729240161307	0.743043625502472	0.404611116179716	1.19059257684026	1.7427634211896301	0.669268042648956	1.14151610228407	0.0213120281331207	0.9278430948237171	-2.13154576778865	-2.5816374852874	0.0286993717948233	0.906040897857007	0.0109675148932284	0.804677426743038	0.028906054138771002	0.8390126514167591	0.0113551379176379	0.7242946289821292
