	Akkermansiaceae	Anaeroplasmataceae	Atopobiaceae	Bacteria other	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Caldicoprobacteraceae	Christensenellaceae	Clostridiaceae_1	Clostridiales other	Clostridiales_vadinBB60_group	Deferribacteraceae	Defluviitaleaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Family_XIII	Gastranaerophilales other	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Mollicutes_RF39 other	Muribaculaceae	Peptococcaceae	Peptostreptococcaceae	Prevotellaceae	Rhodospirillales other	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Tannerellaceae
B121	7314	75	0	18	9315	0	788	0	32	0	31	203	268	76	88	38	0	857	69	128	5623	156	69	720	32904	77	0	4081	710	8487	11820	0	686
B122	2734	73	0	31	3907	0	1501	0	35	0	24	282	51	77	46	11	0	398	19	0	5060	155	32	111	26520	29	0	2726	187	6009	4283	0	286
B123	2489	0	0	0	2416	0	599	0	14	13	85	611	670	0	219	20	0	228	38	0	9616	277	460	383	32130	103	0	1696	352	7779	6358	0	223
B124	7330	0	0	3	4555	0	756	0	27	45	11	87	46	49	45	6	0	306	25	0	3853	175	16	221	25822	47	0	3354	2608	6816	4356	0	392
B125	5078	0	12	9	2131	0	1604	0	28	0	14	264	26	73	34	12	0	1186	38	0	3783	250	186	234	31514	19	0	2428	342	5524	3789	0	290
B126	8620	0	4	33	1985	0	1507	0	21	0	48	328	68	65	54	0	0	1473	34	0	11453	102	58	46	30779	73	0	2075	1081	3235	3651	0	394
B127	4084	5	0	21	3364	0	898	0	16	0	40	270	62	77	117	0	0	452	63	0	6104	74	106	72	28423	74	0	2649	806	6447	7341	0	406
B128	1818	10	0	15	3634	0	878	0	6	0	66	368	1819	58	346	18	0	372	66	0	16575	73	137	142	37836	147	0	4057	304	8692	13112	3	274
B129	110	21	0	6	3323	0	1286	0	14	0	50	465	175	55	63	0	0	209	23	0	9983	21	656	309	37510	90	0	4207	517	10000	4551	0	85
B130	293	0	0	3	6873	0	1008	0	13	0	13	646	507	42	16	5	0	448	52	0	7274	95	522	1706	27935	47	0	3644	335	10050	6259	0	189
B131	26	0	0	0	3231	0	509	0	3	0	113	213	1330	9	134	2	0	687	43	0	32284	109	169	106	17068	173	0	1932	78	4240	5798	0	17
B132	721	149	7	2	7514	4	1215	0	0	0	48	185	3640	0	63	0	0	236	5	0	22173	73	9	0	10716	64	0	36	15	3410	1958	6	268
B133	849	70	0	15	2094	0	1149	0	19	0	106	538	211	78	213	11	0	283	44	0	9821	70	419	115	34717	105	0	2540	473	3513	5069	0	91
B134	2703	0	9	45	1401	0	1470	0	31	0	50	238	47	77	29	11	0	930	67	0	4442	530	510	228	37308	39	0	3005	734	5593	5610	0	120
B135	2176	0	6	3	1444	0	1046	0	22	0	59	258	61	11	76	0	0	1025	27	0	7950	137	298	91	38003	44	0	795	292	3658	4170	0	206
B136	99	0	0	0	3317	0	1351	0	26	0	16	318	55	60	25	8	0	1760	66	67	7675	233	784	383	34648	68	0	3811	765	6654	4592	0	156
B137	2050	322	0	34	3355	0	574	0	17	19	58	1049	618	62	173	12	0	406	75	0	21364	199	438	521	17860	148	0	3364	650	8234	9806	0	313
B138	2245	588	7	117	3563	0	1094	0	22	12	96	1662	783	12	240	9	0	511	53	0	26625	151	627	316	32708	153	0	2706	1272	14265	11096	0	381
B139	1054	0	0	0	2946	0	1418	0	52	0	53	458	64	207	40	5	0	850	57	0	3629	252	666	99	40597	0	0	4702	174	10835	5386	0	241
B140	55	335	0	0	3071	0	645	0	11	13	92	1642	75	36	156	8	0	202	54	0	13837	182	1053	602	25729	76	0	2077	109	18279	8085	5	188
B141	185	77	0	25	2405	0	978	0	41	0	33	248	69	0	38	0	0	467	18	58	2925	598	499	218	35750	13	0	2521	233	10507	4883	0	188
B142	77	120	0	0	6767	0	461	0	19	0	34	340	130	34	80	5	0	300	68	142	8194	483	334	951	22665	63	0	4986	262	16331	6838	2	199
B143	1315	176	0	11	3499	0	696	0	31	0	66	1358	275	48	124	14	0	266	63	68	7617	218	202	309	27995	61	0	3510	350	13279	7005	3	218
B144	138	401	0	55	3461	0	1332	0	37	0	22	603	139	50	60	5	0	411	75	0	8174	496	1212	438	44202	60	0	2085	250	12518	7729	7	141
B169	8940	0	0	0	1377	8	2520	50	142	1300	0	155	0	100	1929	5	7	1966	139	143	8159	1719	455	582	41485	50	287	5047	880	4737	6920	10	390
B170	5928	0	0	0	1341	8	2051	42	116	1704	1	172	0	117	324	7	0	1758	97	262	3593	999	652	511	26413	18	266	5219	2225	5586	6330	0	647
B171	3910	0	6	0	1750	157	2306	129	163	812	7	306	0	32	286	0	0	2855	43	174	2755	1075	724	312	29088	17	110	9166	767	4966	2523	0	336
B172	4793	0	0	0	2162	177	2998	46	226	1118	403	106	0	130	989	12	8	1852	77	299	3033	1991	829	551	33549	25	29	6206	504	6134	6588	9	655
B173	9261	0	0	2	1321	403	2605	44	72	909	15	152	0	196	1540	1	4	1559	87	845	4093	1739	1022	561	20267	34	466	2686	1205	3921	6701	0	702
B174	5968	0	8	0	2641	5	2000	28	58	38	38	198	0	77	2321	0	8	1740	58	453	6569	571	610	815	27852	75	246	5789	1792	5580	6709	0	227
B175	2958	0	0	0	2231	0	2508	73	187	221	0	156	0	150	623	0	7	1204	92	187	2939	1611	478	596	27094	78	313	7062	1065	4900	8546	8	621
