"rab.all"	"rab.win.H"	"rab.win.RT"	"rab.sample.B169"	"rab.sample.B170"	"rab.sample.B171"	"rab.sample.B172"	"rab.sample.B173"	"rab.sample.B174"	"rab.sample.B175"	"rab.sample.B176"	"rab.sample.B184"	"rab.sample.B185"	"rab.sample.B186"	"rab.sample.B187"	"rab.sample.B188"	"rab.sample.B189"	"rab.sample.B190"	"rab.sample.B191"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"A2"	-0.120089780924285	0.421179613731159	-0.315871505598985	1.20254843274722	-0.512492077680686	-0.540786436503967	2.43176126612369	-2.82019561337927	0.844500613978534	-1.12040846431506	1.50301931287891	-0.263709222290455	2.11584417980503	-6.28721460130075	-1.52091823437732	0.424914256766913	-0.464655856520642	-5.51371365568648	0.236773181383881	1.05702604748766	3.19804832543138	0.252327723890526	0.359375048543257	0.256537788957856	0.461150339562754	0.386920891608392	0.576800337466658	"Not significant"
"ASF356"	0.556188222706335	0.223871688540914	0.883876806398422	0.510595593771678	-6.15780046885728	0.831489224124151	-6.40030509527051	1.20997798873808	-0.444583206361199	0.128687875787395	0.478737858445216	0.535851689620992	0.148179272563215	0.382875657974252	0.937338983283206	3.05146776801868	0.637940371228616	1.59532192826535	3.01258025759318	-1.40322007335531	2.5654267473574	-0.418136326187953	0.228070297712318	0.0799572966916643	0.258731176471024	0.103191773504273	0.26476403592968	"Not significant"
"Acetatifactor"	1.66444650018822	1.25728385705656	2.70357151255728	0.592554564663183	0.947522853553924	0.506602334198393	1.06213934147082	2.01992518992201	1.59426315728695	1.4180464505324	1.55634659476704	3.16412056122788	3.52891216836186	2.39477900316415	0.663805944478068	2.88102427886446	2.76745871120313	1.22910403416317	2.68110960744759	-1.43591763505719	1.0970177086933	-1.0841184628215	0.15625020721677	0.0180548231843211	0.114616854423025	0.0274560508935509	0.138707103236769	"Not significant"
"Akkermansia"	7.53880680575184	7.84592845626128	5.66526316224714	8.12154445328532	8.74459562509124	8.12175734704597	7.57831948547684	8.45005889113326	7.41296400041014	7.36295282710464	7.18879426187937	6.23033718365177	4.29374358526488	8.04825209246587	9.51520108220884	1.91240876569358	4.84308916103909	8.31655328716975	2.10830087579598	2.39170188122458	2.74762611117842	0.673081681572524	0.285156333761906	0.0678868859102707	0.240730979154502	0.194989559052059	0.404211592306246	"Not significant"
"Alistipes"	7.84846606619826	7.97966330106101	7.67010288815485	7.17233395770815	8.64765022004265	8.44784604334116	7.92093693145561	7.19758128947674	7.28657785760221	8.05442554503017	8.66006669597325	8.7365694167781	7.37491868267421	7.17892924303677	7.98252382809696	7.10459011327751	7.96512174716768	8.18011999177272	7.07728247579362	0.203434082144391	0.962247715710481	0.210689096151915	0.395711535499906	0.524133608984503	0.681391122900778	0.545522533022533	0.688541817841506	"Not significant"
"Alloprevotella"	8.03510761414345	7.82282364263319	8.20099106284369	7.04050471294967	8.22026648016936	9.0455856962931	7.43571040345701	6.38067276543535	6.99043405575614	8.3786046829201	8.67007861643439	9.30198663212081	7.89102729804611	7.48922058257285	8.63008262389249	6.68285600462983	8.57726052581734	8.46640604583371	6.60468987242553	-0.177345105080578	1.52520287450876	-0.13039154082616	0.425781274125035	0.693617192257864	0.813945576526449	0.738377768065268	0.826285803356779	"Not significant"
"Anaeroplasma"	-6.25058305054927	-6.59416223795584	-5.90724202740687	-6.91599786322778	-5.86135426292169	-6.00194515694884	-7.35067565193524	-7.21938600988485	-7.50630477548922	-6.12190778655143	-5.90947385826934	-7.47189892488162	-7.268570780126	1.06498926690365	1.77871959153564	-7.48500111860235	-5.38222744720133	-6.4186143497578	-8.55165219985272	-1.49272454063351	6.10344256907693	-0.227785137563324	0.38791426738973	0.404525271465142	0.569635956137915	0.507425213675214	0.64536361071368	"Not significant"
"Anaerosporobacter"	-6.32447309650673	-6.49694429800917	-6.13512717730555	-7.33402338930999	-5.38899254711397	-5.91266014678489	-6.80186963032607	-6.67658371521137	-6.63490486822825	-6.45641829247089	-6.49669727440745	-6.99354361411922	-1.95185869764034	-6.00255670082882	-6.24626394182512	-7.58038459368273	-5.85702367248152	-5.7151674985544	-7.76444225977046	-0.552155806362411	4.69911091830008	-0.110809951524351	0.445312517595153	0.528452214218924	0.674161716773503	0.586652583527583	0.707420626789847	"Not significant"
"Anaerotruncus"	2.28250157981689	0.992892373091019	2.93555061356622	1.66785277128811	-5.20245735286339	1.44248129921562	-0.762647037381049	-2.23198618529681	2.70125942785506	1.73926980227339	0.518908001369902	3.10639373447575	3.94292814968433	2.72032603758464	3.09848365620061	2.95297472960789	2.40578175786833	2.1080746851702	3.05650628902981	-2.14606353222985	2.00054696500577	-1.09592655865545	0.0351573389654088	0.0236564792385333	0.131174631212594	0.00133789821289821	0.0289397514137097	"Significant"
"Anaerovorax"	-2.96757151096117	-4.33113358793069	-2.21001301027429	-1.56975678304043	-6.34421777624509	-5.71188823285561	-7.19535765371038	-2.00729742141639	-0.869864098624859	-6.09797515045093	-5.84336192307959	-2.62469344416233	-0.010572107911476	-5.54858574516478	-1.48885952403597	-1.48408994587379	-5.90332110207809	-5.57640453705247	-1.08525035446528	-1.3121687572253	4.7018909695606	-0.273332926650767	0.349609427563166	0.409594605858231	0.573062161346255	0.395382915695416	0.571127384704429	"Not significant"
