"rab.all"	"rab.win.trH"	"rab.win.trRT"	"rab.sample.B121"	"rab.sample.B122"	"rab.sample.B123"	"rab.sample.B124"	"rab.sample.B125"	"rab.sample.B126"	"rab.sample.B127"	"rab.sample.B128"	"rab.sample.B137"	"rab.sample.B138"	"rab.sample.B139"	"rab.sample.B140"	"rab.sample.B141"	"rab.sample.B142"	"rab.sample.B143"	"rab.sample.B144"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"A2"	-1.18799022470955	-3.03347829986623	2.37760024614304	-8.0878252600278	-5.74122988988538	-0.9226398167246	-2.73567722301649	-5.90544647166992	-3.54502984662148	-1.56579011320274	-2.33644661550771	2.29159577187317	3.43015214879181	0.426181924644182	3.00448145457883	3.75774276497797	1.49498704807471	-2.34917859485884	2.45850684635284	-5.34650488529429	3.56659436934373	-1.50341985507811	0.0468758059650558	0.0017174030265281	0.0439530789187475	0.00114971833721834	0.0430434958559959	"Significant"
"ASF356"	-1.00802826751596	-0.802323043816867	-1.14887752541212	0.294628042562684	-0.999802837328466	0.0107332097626678	-6.22617242005617	0.235707200398145	-2.1303365503536	-0.67456121485813	-1.3434616309057	-3.46442852353646	-8.47521922219478	-0.254670030978599	-0.456912200493012	-0.624343252515188	-1.06323783888715	-1.17275554634913	-1.57648629507066	0.49177443252657	2.51061441845749	0.13196676873153	0.395711535499906	0.564070273983664	0.807431128331368	0.497722416472416	0.750447701076088	"Not significant"
"Acetatifactor"	0.72329761047534	0.706559361123959	0.793945624473726	-1.79969809271059	1.23877923016496	0.507062771072368	1.08522935397117	-6.43399939852157	1.00743971614833	-0.923896028353445	1.21450329054271	1.13254053412221	2.36971915810984	-0.75991344629147	1.86559731055586	-2.24267186105069	0.282783998031355	-0.980525545499275	1.29568586757616	-0.421944113747935	2.67648291101064	-0.140256769590701	0.402343782275243	0.463174930684126	0.765381833200115	0.564538412975913	0.813000679666955	"Not significant"
"Akkermansia"	5.44721866974564	7.47383759264802	4.31009974753759	7.19149647908608	7.56146693083667	6.29288495333895	8.65434054137556	8.51117858803275	8.58966249208913	7.32989303950716	4.79449400936745	4.79125870576813	4.78731632330109	6.04910988544057	0.144053550451265	3.6814780128952	1.17365369553566	4.65612362787457	1.45993616301668	3.78741422692551	2.64452717960415	1.53682524208271	0.0410165522939441	0.000813346918249733	0.0367602593174837	0.000922688422688423	0.0408300958300958	"Significant"
"Alistipes"	7.96072037598828	7.86319496155395	8.13617669245756	7.00792692269951	8.48239432592725	7.84608497701186	8.47518739382393	8.49835377761614	7.03124368490297	7.89627786936449	6.93092131673202	6.61063575505224	7.3029169505388	9.14040477259812	8.34407564762608	9.32664647609919	8.57846046588885	7.86101467316228	7.75102155145679	-0.386222335068676	1.26020175132597	-0.316559488628208	0.384765663686849	0.426719034962965	0.752798505881439	0.505894279331779	0.782570327114101	"Not significant"
"Alloprevotella"	-7.00367650099653	-6.93516118172581	-7.10461035338402	-7.63503424495897	-5.94429058713346	-7.3014254180412	-6.57501623317168	-5.70965159744851	-6.88967936420349	-6.63128414475102	-8.51727223307558	-8.42702448611506	-8.50533972377743	-6.23887572561329	-7.50570513970677	-5.82158094039813	-7.43968249339587	-7.98876009717566	-2.4627080747687	-0.100726714127672	4.74345202473573	-0.0157231332938139	0.489278755833123	0.533203476895682	0.769931128768691	0.577978098290598	0.77750300038829	"Not significant"
"Anaeroplasma"	1.20199200136278	-3.35805161655312	2.25797794536678	0.544879295419067	2.35665741787435	-6.99040067750909	-6.22689453643573	-6.30024861783156	-6.52490078241692	-2.20308093100839	-2.74656645225021	2.13410445869401	2.85921000668029	-6.53401786625774	2.72523936326328	2.44389726254005	1.79614095807253	1.73624958692238	2.97575369324539	-5.3266292858848	5.34062825111747	-0.894916354287878	0.148148368857356	0.0419199427422825	0.248722100423683	0.0186346639471639	0.173485013337837	"Not significant"
"Anaerosporobacter"	0.781973025457685	1.71704513765957	-0.130693859537763	-0.0313048054859406	1.72269085788401	2.2638087569277	1.95391548622128	-5.64171373363024	1.79382358326388	2.42369882684105	1.35139893859833	0.687776189274732	-0.784408802788279	0.695769837804111	1.71405337811698	-5.81744935382537	-7.8347464920015	0.66340138108205	-0.978812875443404	1.58863326899112	3.77534948618148	0.40144106874054	0.198830559023731	0.255190839513023	0.610291811774129	0.0492642773892774	0.286130633760858	"Not significant"
"Anaerotruncus"	2.39127267512634	2.78892205385929	1.74188116917433	2.85508815945934	2.77437143487712	2.90676416820878	2.1354120348869	2.48228761742778	1.53810393768632	3.42678963658626	3.22347867560264	2.37188891375621	1.7044774057441	2.61385285587663	1.56819123588247	0.946988449485544	1.70581609872287	2.8446540492434	1.35322212724328	0.792124255199379	0.968499229917971	0.805286320526227	0.2007798747093	0.0430235482119195	0.28090871160111	0.0555846930846931	0.289103081189668	"Not significant"
"Anaerovorax"	-2.7572448644351	-2.64602748747734	-2.77613539097062	-7.90867832934281	-5.71523564861193	-1.49809971333752	-6.45625123872149	-5.7980842266736	-1.06240611587532	-1.6092588429003	-1.54179834392932	-2.33010175397187	-1.78264182003778	-1.73684524040501	-3.33575412441764	-5.86773193930233	-3.02864589834047	-2.71283612659858	-7.84561923100546	0.138666432014255	4.44692507141925	0.0272479115368432	0.484375004971902	0.619105176087072	0.829192080510315	0.777378350815851	0.901809545836262	"Not significant"
"Angelakisella"	-5.81628079975018	-5.36699652018187	-6.44017201334592	0.173899382121683	-5.90082926933501	-7.13891200106289	-6.05542851395405	-5.8108830889409	-6.40827675614617	-6.64259504352875	0.275166999915297	0.619361508163072	-8.09606500168239	-6.29395751535887	-7.78158700170677	-6.19379206160318	0.410199795706967	-7.70811877084958	-7.56385339706794	0.401375587752953	6.81803111227889	0.0484521686324318	0.463937633311328	0.639179963827406	0.837908996899263	0.647964015151515	0.829260211248286	"Not significant"
"Bacteria.other"	-1.31063419957467	-1.12668036392392	-1.5645059932041	-1.45256728662888	1.13998153974397	-7.3312225531461	-2.55545525713958	-0.610980189282903	0.535243673993844	-0.212197469841662	-2.10402275876143	-1.12653405054963	0.539931940413487	-6.77235123761609	-8.02174371050481	0.849204873428473	-6.66255768708852	-2.23683239239874	0.162022728503127	0.724119770619211	4.80073408524686	0.131530482942893	0.42495129136866	0.46705812576044	0.761023392392883	0.659242667055167	0.850537272310308	"Not significant"
"Bacteroides"	6.77391865978475	7.16393095086127	6.09761257050362	7.53338713451928	8.07595798415179	6.25753282065332	7.97655681160381	7.25312199051327	6.46730176142422	7.05113394146681	5.77348025466619	5.5062908034639	5.4612396072916	7.51585498412466	5.91390255028664	7.40219937016817	7.58180779414021	6.06721417697093	6.09565621567102	0.601990514469165	1.43064226803062	0.498254339917388	0.296296373636616	0.200364977217144	0.57685268987974	0.213659430846931	0.530764567100711	"Not significant"
"Bilophila"	1.42382814415974	1.62982991113731	1.33959284340205	0.810304829563763	1.69226391510246	2.79718582426906	1.22603943956184	1.26741791249168	1.26179044270028	2.20466908596137	2.40310903250397	1.22139859985615	1.58824686111126	1.38092001839586	1.6284383324678	1.4592489261179	1.20458019078355	1.23845986167174	0.260814092425917	0.444882173421605	0.908930888075526	0.490720788314828	0.330078186069789	0.173265018001598	0.521512662126202	0.325627670940171	0.609525330050675	"Not significant"
"Butyricicoccus"	0.748348116236207	0.951496812987864	0.577815832293546	2.04268083388949	-5.57479995185533	1.01025150906168	0.612362577251104	0.721289604295446	1.28613261793828	0.370784742005778	1.85294554483364	0.253668984863237	-0.507928577125654	0.139953152385865	1.10140031623337	0.447552887849792	1.87062347704374	0.849609663582376	0.600288257347933	0.333312236440974	1.28897774539274	0.137147391884518	0.38791426738973	0.727310021463402	0.887225482835173	0.482402146464646	0.735570377461849	"Not significant"
