	diff.btw	diff.btw	diff.win	diff.win	effect	effect	label	label	overlap	overlap	rab.all	rab.all	rab.sample.B121	rab.sample.B122	rab.sample.B123	rab.sample.B124	rab.sample.B125	rab.sample.B126	rab.sample.B127	rab.sample.B128	rab.sample.B137	rab.sample.B138	rab.sample.B139	rab.sample.B140	rab.sample.B141	rab.sample.B142	rab.sample.B143	rab.sample.B144	rab.sample.B169	rab.sample.B170	rab.sample.B171	rab.sample.B172	rab.sample.B173	rab.sample.B174	rab.sample.B175	rab.sample.B176	rab.sample.B184	rab.sample.B185	rab.sample.B186	rab.sample.B187	rab.sample.B188	rab.sample.B189	rab.sample.B190	rab.sample.B191	rab.win.H	rab.win.RT	rab.win.trH	rab.win.trRT	we.eBH	we.eBH	we.ep	we.ep	wi.eBH	wi.eBH	wi.ep	wi.ep
	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	TempTransplanted	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted
A2	1.05702604748766	-5.34650488529429	3.1980483254313796	3.56659436934373	0.252327723890526	-1.5034198550781102	Not significant	Significant	0.359375048543257	0.0468758059650558	-0.120089780924285	-1.18799022470955	-8.087825260027799	-5.74122988988538	-0.9226398167246	-2.7356772230164905	-5.9054464716699195	-3.54502984662148	-1.5657901132027399	-2.33644661550771	2.29159577187317	3.43015214879181	0.42618192464418203	3.00448145457883	3.75774276497797	1.49498704807471	-2.3491785948588397	2.4585068463528397	1.20254843274722	-0.512492077680686	-0.5407864365039671	2.43176126612369	-2.82019561337927	0.844500613978534	-1.12040846431506	1.50301931287891	-0.263709222290455	2.11584417980503	-6.28721460130075	-1.5209182343773202	0.4249142567669129	-0.46465585652064206	-5.513713655686481	0.236773181383881	0.421179613731159	-0.31587150559898497	-3.0334782998662297	2.37760024614304	0.461150339562754	0.0439530789187475	0.256537788957856	0.0017174030265281	0.5768003374666579	0.0430434958559959	0.386920891608392	0.00114971833721834
ASF356	-1.40322007335531	0.49177443252657005	2.5654267473574	2.5106144184574903	-0.41813632618795293	0.13196676873153	Not significant	Not significant	0.22807029771231802	0.395711535499906	0.556188222706335	-1.00802826751596	0.294628042562684	-0.9998028373284659	0.0107332097626678	-6.22617242005617	0.235707200398145	-2.1303365503536003	-0.67456121485813	-1.3434616309057	-3.46442852353646	-8.47521922219478	-0.254670030978599	-0.456912200493012	-0.624343252515188	-1.06323783888715	-1.17275554634913	-1.5764862950706597	0.510595593771678	-6.15780046885728	0.8314892241241508	-6.40030509527051	1.2099779887380802	-0.44458320636119897	0.128687875787395	0.478737858445216	0.535851689620992	0.148179272563215	0.38287565797425205	0.937338983283206	3.0514677680186804	0.6379403712286159	1.5953219282653501	3.01258025759318	0.223871688540914	0.8838768063984219	-0.802323043816867	-1.1488775254121202	0.25873117647102395	0.807431128331368	0.0799572966916643	0.5640702739836639	0.26476403592968	0.7504477010760879	0.10319177350427301	0.497722416472416
Acetatifactor	-1.43591763505719	-0.421944113747935	1.0970177086933	2.6764829110106403	-1.0841184628215	-0.140256769590701	Not significant	Not significant	0.15625020721677	0.402343782275243	1.6644465001882198	0.72329761047534	-1.7996980927105901	1.23877923016496	0.507062771072368	1.08522935397117	-6.4339993985215695	1.00743971614833	-0.923896028353445	1.21450329054271	1.13254053412221	2.36971915810984	-0.75991344629147	1.86559731055586	-2.24267186105069	0.282783998031355	-0.9805255454992751	1.29568586757616	0.592554564663183	0.9475228535539241	0.506602334198393	1.06213934147082	2.01992518992201	1.5942631572869501	1.4180464505324	1.55634659476704	3.16412056122788	3.52891216836186	2.3947790031641496	0.663805944478068	2.88102427886446	2.7674587112031297	1.2291040341631698	2.6811096074475897	1.25728385705656	2.70357151255728	0.7065593611239591	0.793945624473726	0.114616854423025	0.765381833200115	0.0180548231843211	0.463174930684126	0.13870710323676902	0.813000679666955	0.0274560508935509	0.564538412975913
Akkermansia	2.3917018812245803	3.7874142269255096	2.74762611117842	2.64452717960415	0.6730816815725239	1.53682524208271	Not significant	Significant	0.28515633376190597	0.0410165522939441	7.53880680575184	5.44721866974564	7.19149647908608	7.56146693083667	6.29288495333895	8.654340541375559	8.51117858803275	8.58966249208913	7.32989303950716	4.79449400936745	4.79125870576813	4.78731632330109	6.04910988544057	0.14405355045126503	3.6814780128952003	1.17365369553566	4.65612362787457	1.4599361630166798	8.12154445328532	8.74459562509124	8.12175734704597	7.57831948547684	8.45005889113326	7.412964000410139	7.36295282710464	7.18879426187937	6.230337183651769	4.29374358526488	8.048252092465871	9.51520108220884	1.9124087656935802	4.84308916103909	8.31655328716975	2.10830087579598	7.845928456261281	5.665263162247139	7.47383759264802	4.310099747537589	0.24073097915450198	0.0367602593174837	0.0678868859102707	0.000813346918249733	0.40421159230624604	0.0408300958300958	0.19498955905205897	0.0009226884226884231
Alistipes	0.20343408214439102	-0.38622233506867604	0.962247715710481	1.26020175132597	0.210689096151915	-0.316559488628208	Not significant	Not significant	0.395711535499906	0.384765663686849	7.8484660661982595	7.960720375988281	7.00792692269951	8.48239432592725	7.846084977011861	8.47518739382393	8.49835377761614	7.03124368490297	7.89627786936449	6.930921316732019	6.61063575505224	7.302916950538799	9.140404772598119	8.344075647626081	9.326646476099189	8.578460465888849	7.8610146731622805	7.75102155145679	7.17233395770815	8.647650220042651	8.44784604334116	7.92093693145561	7.19758128947674	7.28657785760221	8.054425545030169	8.66006669597325	8.7365694167781	7.37491868267421	7.1789292430367695	7.9825238280969595	7.104590113277509	7.9651217471676805	8.18011999177272	7.07728247579362	7.97966330106101	7.67010288815485	7.86319496155395	8.136176692457559	0.6813911229007779	0.7527985058814392	0.524133608984503	0.42671903496296504	0.688541817841506	0.7825703271141009	0.545522533022533	0.505894279331779
Alloprevotella	-0.177345105080578	-0.10072671412767199	1.52520287450876	4.74345202473573	-0.13039154082616	-0.0157231332938139	Not significant	Not significant	0.42578127412503497	0.48927875583312297	8.03510761414345	-7.00367650099653	-7.63503424495897	-5.94429058713346	-7.301425418041201	-6.57501623317168	-5.70965159744851	-6.88967936420349	-6.631284144751019	-8.51727223307558	-8.42702448611506	-8.50533972377743	-6.2388757256132905	-7.505705139706769	-5.82158094039813	-7.439682493395869	-7.9887600971756605	-2.4627080747687002	7.040504712949669	8.22026648016936	9.0455856962931	7.435710403457009	6.38067276543535	6.99043405575614	8.3786046829201	8.67007861643439	9.30198663212081	7.891027298046111	7.48922058257285	8.63008262389249	6.68285600462983	8.577260525817339	8.466406045833711	6.60468987242553	7.82282364263319	8.20099106284369	-6.935161181725809	-7.104610353384019	0.813945576526449	0.769931128768691	0.693617192257864	0.533203476895682	0.826285803356779	0.77750300038829	0.738377768065268	0.577978098290598
Anaeroplasma	-1.4927245406335101	-5.3266292858848	6.103442569076929	5.34062825111747	-0.22778513756332397	-0.894916354287878	Not significant	Not significant	0.38791426738973	0.148148368857356	-6.25058305054927	1.20199200136278	0.544879295419067	2.35665741787435	-6.99040067750909	-6.22689453643573	-6.300248617831559	-6.524900782416919	-2.2030809310083903	-2.7465664522502102	2.13410445869401	2.85921000668029	-6.534017866257741	2.7252393632632796	2.44389726254005	1.79614095807253	1.73624958692238	2.97575369324539	-6.91599786322778	-5.861354262921691	-6.00194515694884	-7.35067565193524	-7.2193860098848495	-7.50630477548922	-6.12190778655143	-5.90947385826934	-7.4718989248816206	-7.268570780126	1.06498926690365	1.7787195915356397	-7.48500111860235	-5.3822274472013305	-6.4186143497578	-8.55165219985272	-6.59416223795584	-5.90724202740687	-3.3580516165531202	2.25797794536678	0.5696359561379151	0.248722100423683	0.404525271465142	0.0419199427422825	0.6453636107136801	0.173485013337837	0.507425213675214	0.0186346639471639
Anaerosporobacter	-0.552155806362411	1.5886332689911202	4.6991109183000805	3.77534948618148	-0.110809951524351	0.40144106874054	Not significant	Not significant	0.44531251759515295	0.198830559023731	-6.32447309650673	0.781973025457685	-0.0313048054859406	1.72269085788401	2.2638087569277006	1.9539154862212802	-5.64171373363024	1.79382358326388	2.4236988268410498	1.35139893859833	0.687776189274732	-0.7844088027882791	0.695769837804111	1.71405337811698	-5.81744935382537	-7.8347464920015	0.66340138108205	-0.978812875443404	-7.334023389309991	-5.388992547113969	-5.91266014678489	-6.80186963032607	-6.67658371521137	-6.63490486822825	-6.4564182924708895	-6.49669727440745	-6.99354361411922	-1.95185869764034	-6.00255670082882	-6.24626394182512	-7.58038459368273	-5.857023672481519	-5.7151674985544005	-7.76444225977046	-6.49694429800917	-6.13512717730555	1.71704513765957	-0.130693859537763	0.674161716773503	0.6102918117741291	0.5284522142189241	0.255190839513023	0.707420626789847	0.286130633760858	0.586652583527583	0.0492642773892774
Anaerotruncus	-2.14606353222985	0.792124255199379	2.00054696500577	0.9684992299179709	-1.0959265586554499	0.8052863205262271	Significant	Not significant	0.0351573389654088	0.20077987470929998	2.28250157981689	2.39127267512634	2.85508815945934	2.7743714348771205	2.9067641682087797	2.1354120348868997	2.48228761742778	1.53810393768632	3.4267896365862596	3.22347867560264	2.37188891375621	1.7044774057441001	2.61385285587663	1.5681912358824701	0.9469884494855442	1.70581609872287	2.8446540492434003	1.35322212724328	1.66785277128811	-5.20245735286339	1.4424812992156202	-0.7626470373810491	-2.23198618529681	2.70125942785506	1.73926980227339	0.518908001369902	3.1063937344757497	3.94292814968433	2.7203260375846403	3.0984836562006097	2.9529747296078903	2.40578175786833	2.1080746851702	3.05650628902981	0.9928923730910191	2.9355506135662206	2.78892205385929	1.74188116917433	0.131174631212594	0.28090871160111	0.0236564792385333	0.0430235482119195	0.0289397514137097	0.28910308118966804	0.00133789821289821	0.0555846930846931
