	A2	ASF356	Acetatifactor	Akkermansia	Alistipes	Alloprevotella	Anaeroplasma	Anaerosporobacter	Anaerotruncus	Anaerovorax	Angelakisella	Bacteria other	Bacteroides	Bifidobacterium	Bilophila	Butyricicoccus	Butyrivibrio	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Saccharimonas	Candidatus_Stoquefichus	Caproiciproducens	Christensenellaceae other	Christensenellaceae_R-7_group	Clostridiales other	Clostridiales_vadinBB60_group other	Clostridium_sensu_stricto_1	DNF00809	Defluviitaleaceae_UCG-011	Desulfovibrionaceae other	Dubosiella	Eggerthellaceae other	Eisenbergiella	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae other	Escherichia/Shigella	Faecalibaculum	Family_XIII other	Family_XIII_AD3011_group	Family_XIII_UCG-001	Flavonifractor	GCA-900066225	GCA-900066575	Gastranaerophilales other	Harryflintia	Herbinix	Hydrogenoanaerobacterium	Intestinimonas	Lachnoclostridium	Lachnospiraceae other	Lachnospiraceae_FCS020_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-002	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillus	Marvinbryantia	Mollicutes_RF39 other	Mucispirillum	Muribaculaceae other	Muribaculum	Odoribacter	Olsenella	Oscillibacter	Parabacteroides	Parasutterella	Peptococcaceae other	Phocea	Prevotellaceae_UCG-001	Rhodospirillales other	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae other	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Shuttleworthia	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3
B121	0	60	15	7314	6450	0	75	49	360	0	56	18	9315	0	88	207	0	0	0	0	94	0	32	0	31	203	0	0	76	0	0	38	624	0	538	212	0	13	24	15	30	13	37	116	128	53	0	34	409	250	831	25	1434	957	0	6	24	13	156	53	720	268	32433	471	69	0	553	686	788	77	0	4081	710	2037	0	1146	511	1016	493	509	613	134	0	0	150	162	16	3	6275	216	0	0	9	0	0	0
B122	0	6	34	2734	5187	0	73	49	99	0	0	31	3907	0	46	0	0	0	0	0	7	0	35	0	24	282	0	0	77	0	0	11	12	0	51	103	0	237	9	0	10	0	0	87	0	0	0	0	108	386	1099	42	2997	27	0	0	16	0	155	109	111	51	25447	1073	32	0	198	286	1501	29	0	2726	187	822	0	176	155	99	219	302	221	0	0	0	10	83	16	0	2736	37	0	0	20	0	0	0
B123	17	32	46	2489	7289	0	0	153	235	11	0	0	2416	0	219	63	0	0	13	0	3	0	14	0	85	611	0	7	0	0	0	13	0	0	36	76	0	113	24	0	3	0	29	139	0	47	0	27	348	585	1788	30	6055	141	5	4	39	7	277	42	383	670	31148	982	460	0	703	223	599	103	0	1696	352	490	0	510	373	80	533	605	444	51	10	0	74	238	15	20	2383	80	0	0	23	0	0	0
B124	3	0	39	7330	6501	0	0	69	81	0	0	3	4555	0	45	28	0	0	45	0	14	0	27	0	11	87	0	0	49	0	0	6	39	0	84	59	0	149	8	14	3	0	8	84	0	0	0	31	175	396	644	5	2361	62	0	0	29	4	175	0	221	46	25318	504	16	0	194	392	756	47	0	3354	2608	315	0	97	217	49	224	254	203	19	0	0	21	73	28	0	2462	289	3	0	18	0	0	0
B125	0	16	0	5078	4983	0	0	0	77	0	0	9	2131	0	34	23	0	0	0	0	0	0	28	0	14	264	0	0	73	0	0	12	0	0	27	86	0	1073	21	11	6	0	9	46	0	0	0	21	116	261	1251	0	1604	430	0	6	33	4	250	87	234	26	30823	691	186	12	161	290	1604	19	0	2428	342	541	0	45	83	119	166	157	120	0	0	0	15	43	58	2	2439	180	0	0	0	0	0	0
B126	2	5	47	8620	2944	0	0	78	65	11	0	33	1985	0	54	55	0	0	0	0	0	0	21	0	48	328	0	0	65	0	0	0	0	0	91	80	0	1302	8	15	0	9	14	184	0	0	0	37	94	884	3733	22	6145	130	0	18	64	0	102	25	46	68	29952	827	58	4	330	394	1507	73	0	2074	1081	291	0	56	73	126	550	292	218	12	0	0	45	75	48	0	1462	142	15	0	45	0	0	0
B127	8	16	13	4084	5969	0	5	132	267	8	0	21	3364	0	117	32	0	0	0	0	0	0	16	0	40	270	0	0	77	0	0	0	88	0	0	76	0	376	37	9	9	0	24	89	0	0	0	20	312	382	1546	14	3372	13	14	0	40	4	74	41	72	62	27876	547	106	0	390	406	898	74	0	2649	806	478	0	298	346	197	774	447	437	44	0	0	47	174	30	0	3632	168	5	0	24	0	0	0
B128	13	27	155	1818	8042	0	10	168	619	23	80	15	3634	0	346	239	0	0	0	3	0	0	6	0	66	368	0	0	58	0	0	18	848	0	15	100	0	257	31	4	8	35	53	205	0	56	0	51	604	1039	3547	12	9442	261	47	19	31	14	73	42	142	1819	37179	657	137	0	1272	274	878	147	0	4055	304	650	0	602	1245	1027	598	1591	1527	121	14	0	136	436	28	25	3235	120	11	0	92	0	0	0
B129	163	0	180	110	8855	0	21	0	106	0	0	6	3323	0	63	25	0	0	0	0	0	0	14	0	50	465	0	0	55	0	0	0	0	0	40	143	0	26	4	6	13	0	20	68	0	9	0	91	166	844	3434	111	3454	1170	9	0	34	5	21	175	309	175	36488	1022	656	0	566	85	1286	90	37	4207	517	1145	0	329	278	322	179	518	473	45	0	0	9	146	45	0	1424	75	0	0	7	0	17	0
B130	7	45	81	293	8457	0	0	25	68	0	0	3	6873	0	16	30	0	0	0	0	58	0	13	0	13	646	0	0	42	0	0	5	0	0	181	185	0	24	17	27	8	0	0	53	0	0	0	33	140	543	1972	88	3396	141	0	20	54	0	95	162	1706	507	26892	1043	522	0	274	189	1008	47	51	3644	335	1593	0	662	149	62	35	283	204	13	0	0	57	62	64	0	4691	28	8	0	17	0	15	0
