	Akkermansiaceae	Anaeroplasmataceae	Atopobiaceae	Bacteria other	Bacteroidaceae	Bacteroidales other	Bacteroidia other	Bifidobacteriaceae	Burkholderiaceae	Caldicoprobacteraceae	Chloroplast other	Christensenellaceae	Clostridiaceae_1	Clostridiales other	Clostridiales_vadinBB60_group	Coriobacteriales other	Corynebacteriaceae	Deferribacteraceae	Defluviitaleaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XIII	Firmicutes other	Fusobacteriaceae	Gastranaerophilales other	Izimaplasmatales other	Kallotenuales other	Lachnospiraceae	Lactobacillaceae	Lactobacillales other	Marinifilaceae	Mitochondria	Mollicutes_RF39 other	Moraxellaceae	Muribaculaceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Proteobacteria other	Pseudomonadaceae	Rhodospirillales other	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Sphingomonadaceae	Streptococcaceae	Tannerellaceae	Veillonellaceae
B121	7314	75	0	18	9315	3	0	0	788	0	0	32	0	31	203	0	0	268	76	88	38	0	0	857	0	69	0	0	128	0	0	5623	156	0	69	12	720	0	32904	0	77	0	0	4081	0	0	710	8487	11820	0	0	0	686	0
B122	2734	73	0	31	3907	0	0	0	1501	0	3	35	0	24	282	0	0	51	77	46	11	0	0	398	0	19	0	0	0	0	0	5060	155	0	32	8	111	0	26520	0	29	0	0	2726	0	0	187	6009	4283	0	0	0	286	0
B123	2489	0	0	0	2416	0	0	0	599	0	0	14	13	85	611	0	0	670	0	219	20	0	0	228	0	38	0	0	0	0	0	9616	277	0	460	0	383	0	32130	0	103	0	0	1696	0	0	352	7779	6358	0	0	0	223	0
B124	7330	0	0	3	4555	2	0	0	756	0	0	27	45	11	87	0	0	46	49	45	6	0	0	306	0	25	0	0	0	0	2	3853	175	0	16	0	221	0	25822	0	47	0	0	3354	0	0	2608	6816	4356	0	0	0	392	0
B125	5078	0	12	9	2131	0	0	0	1604	0	0	28	0	14	264	0	0	26	73	34	12	0	0	1186	0	38	0	0	0	0	0	3783	250	0	186	0	234	0	31514	0	19	0	0	2428	0	0	342	5524	3789	0	0	0	290	0
B126	8620	0	4	33	1985	0	0	0	1507	0	10	21	0	48	328	0	0	68	65	54	0	0	0	1473	0	34	0	0	0	0	0	11453	102	0	58	4	46	0	30779	0	73	0	0	2075	0	0	1081	3235	3651	0	0	0	394	0
B127	4084	5	0	21	3364	0	0	0	898	0	0	16	0	40	270	0	0	62	77	117	0	0	0	452	0	63	0	0	0	0	0	6104	74	0	106	0	72	0	28423	0	74	0	0	2649	0	0	806	6447	7341	0	0	0	406	0
B128	1818	10	0	15	3634	3	0	0	878	0	0	6	0	66	368	0	0	1819	58	346	18	0	0	372	0	66	0	0	0	0	0	16575	73	0	137	0	142	0	37836	0	147	0	0	4057	0	0	304	8692	13112	3	0	0	274	0
B129	110	21	0	6	3323	0	0	0	1286	0	0	14	0	50	465	0	0	175	55	63	0	0	0	209	0	23	0	0	0	0	0	9983	21	0	656	0	309	0	37510	0	90	0	0	4207	0	0	517	10000	4551	0	0	0	85	0
B130	293	0	0	3	6873	0	0	0	1008	0	0	13	0	13	646	0	0	507	42	16	5	0	0	448	0	52	0	0	0	0	0	7274	95	0	522	0	1706	0	27935	0	47	0	0	3644	0	0	335	10050	6259	0	0	0	189	0
B131	26	0	0	0	3231	0	0	0	509	0	0	3	0	113	213	0	0	1330	9	134	2	0	0	687	3	43	0	0	0	0	0	32284	109	0	169	0	106	0	17068	0	173	0	0	1932	0	0	78	4240	5798	0	0	0	17	0
B132	721	149	7	2	7514	0	0	4	1215	0	0	0	0	48	185	0	0	3640	0	63	0	0	0	236	0	5	0	0	0	0	0	22173	73	0	9	0	0	0	10716	0	64	0	0	36	0	0	15	3410	1958	6	0	0	268	0
B133	849	70	0	15	2094	2	0	0	1149	0	0	19	0	106	538	0	0	211	78	213	11	0	0	283	0	44	0	0	0	0	0	9821	70	0	419	0	115	0	34717	0	105	0	0	2540	0	0	473	3513	5069	0	0	0	91	0
B134	2703	0	9	45	1401	0	2	0	1470	0	0	31	0	50	238	0	0	47	77	29	11	0	0	930	0	67	0	0	0	0	0	4442	530	0	510	0	228	0	37308	0	39	0	0	3005	0	0	734	5593	5610	0	0	0	120	0
B135	2176	0	6	3	1444	0	0	0	1046	0	0	22	0	59	258	0	0	61	11	76	0	0	0	1025	0	27	0	0	0	0	0	7950	137	0	298	0	91	0	38003	0	44	0	0	795	0	0	292	3658	4170	0	0	0	206	0
B136	99	0	0	0	3317	0	0	0	1351	0	2	26	0	16	318	0	0	55	60	25	8	0	0	1760	0	66	0	0	67	0	0	7675	233	0	784	4	383	0	34648	0	68	0	0	3811	0	0	765	6654	4592	0	0	0	156	0
B137	2050	322	0	34	3355	0	0	0	574	0	0	17	19	58	1049	0	0	618	62	173	12	0	0	406	0	75	0	0	0	0	0	21364	199	0	438	0	521	0	17860	0	148	0	0	3364	0	0	650	8234	9806	0	0	0	313	0
B138	2245	588	7	117	3563	0	0	0	1094	0	0	22	12	96	1662	0	0	783	12	240	9	0	0	511	0	53	0	0	0	0	0	26625	151	0	627	0	316	0	32708	13	153	0	0	2706	0	0	1272	14265	11096	0	0	0	381	0
B139	1054	0	0	0	2946	0	0	0	1418	0	0	52	0	53	458	0	0	64	207	40	5	0	0	850	0	57	0	0	0	0	0	3629	252	0	666	0	99	0	40597	0	0	0	0	4702	0	0	174	10835	5386	0	0	0	241	0
B140	55	335	0	0	3071	0	0	0	645	0	0	11	13	92	1642	0	0	75	36	156	8	0	0	202	0	54	0	0	0	0	0	13837	182	0	1053	4	602	0	25729	0	76	0	0	2077	0	0	109	18279	8085	5	0	0	188	0
B141	185	77	0	25	2405	0	0	0	978	0	9	41	0	33	248	0	0	69	0	38	0	0	0	467	0	18	0	0	58	0	0	2925	598	0	499	0	218	0	35750	0	13	0	0	2521	0	0	233	10507	4883	0	0	0	188	0
B142	77	120	0	0	6767	0	0	0	461	0	0	19	0	34	340	0	0	130	34	80	5	0	0	300	0	68	3	0	142	0	0	8194	483	0	334	3	951	0	22665	0	63	0	0	4986	0	0	262	16331	6838	2	0	0	199	0
B143	1315	176	0	11	3499	0	0	0	696	0	0	31	0	66	1358	0	0	275	48	124	14	0	0	266	0	63	0	0	68	0	0	7617	218	0	202	0	309	0	27995	0	61	0	0	3510	0	0	350	13279	7005	3	0	0	218	0
B144	138	401	0	55	3461	0	0	0	1332	0	0	37	0	22	603	0	0	139	50	60	5	0	0	411	0	75	0	0	0	0	0	8174	496	0	1212	0	438	0	44202	0	60	0	0	2085	0	0	250	12518	7729	7	0	0	141	0
B145	5186	0	48	101	1404	0	0	0	1298	0	0	73	0	73	970	0	0	562	81	439	5	0	0	1352	0	38	0	0	505	0	0	9871	311	0	493	0	575	0	23830	0	106	0	0	1811	0	0	206	7078	8172	0	0	0	327	0
B146	6515	34	46	0	2261	0	0	0	1457	0	0	69	0	103	2716	0	0	865	153	562	15	0	0	876	0	74	0	0	338	0	0	16306	641	0	396	0	1250	0	29763	0	183	0	0	1194	0	0	372	7049	10861	5	0	0	333	0
B147	2627	389	46	0	1281	0	0	8	1992	0	0	13	0	34	1630	3	0	1318	82	246	0	0	0	5902	0	70	4	0	251	0	0	7790	787	0	418	0	136	0	26240	0	48	0	0	889	0	0	426	4273	7115	0	0	0	621	0
B148	2230	11	28	0	1675	0	0	17	1295	0	0	25	0	49	1755	0	0	1830	89	875	0	0	0	2775	0	57	0	0	327	0	0	13111	434	0	350	0	208	3	24693	0	88	0	0	1114	0	0	211	7414	7589	0	0	0	633	0
B149	113	201	0	0	2370	0	0	0	811	0	0	12	0	66	1117	0	0	1816	0	514	11	0	0	442	0	22	0	0	193	0	0	17919	240	0	59	0	5	0	25460	0	58	0	0	472	0	0	186	3905	4378	0	0	0	149	1
B150	24	286	13	0	1797	0	0	0	425	0	0	19	0	100	1950	0	0	652	0	635	13	0	0	1779	0	26	0	0	174	0	0	21789	488	0	669	0	20	0	23443	0	88	0	0	33	0	0	329	4722	5483	0	0	0	137	0
B151	3657	2232	9	0	1628	0	0	0	757	0	0	14	0	40	1394	0	0	1359	41	365	9	0	0	810	0	53	2	0	517	0	0	11334	681	0	354	0	27	0	21818	0	104	0	0	1064	0	0	192	4494	6089	0	0	0	464	0
B152	2488	508	68	18	1066	0	0	0	1318	0	0	33	0	71	847	0	0	213	136	526	13	0	0	1755	0	39	0	0	356	0	0	11353	633	0	658	0	175	0	20864	0	112	0	0	1059	0	0	276	5841	7649	0	0	0	247	0
