	A2	ASF356	Acetatifactor	Acinetobacter	Adlercreutzia	Akkermansia	Alistipes	Alloprevotella	Anaerofustis	Anaeroplasma	Anaerosporobacter	Anaerotruncus	Anaerovorax	Angelakisella	Bacteria other	Bacteroidales other	Bacteroides	Bacteroidia other	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyrivibrio	CAG-873	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Saccharimonas	Candidatus_Soleaferrea	Candidatus_Stoquefichus	Caproiciproducens	Chloroplast other	Christensenellaceae other	Christensenellaceae_R-7_group	Clostridiales other	Clostridiales_vadinBB60_group other	Clostridium_sensu_stricto_1	Coriobacteriales other	Corynebacterium	DNF00809	Defluviitaleaceae_UCG-011	Desulfovibrionaceae other	Dialister	Dubosiella	Eggerthellaceae other	Eisenbergiella	Enhydrobacter	Enterococcus	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae other	Escherichia/Shigella	Faecalibaculum	Family_XIII other	Family_XIII_AD3011_group	Family_XIII_UCG-001	Firmicutes other	Flavonifractor	Fusobacterium	GCA-900066225	GCA-900066575	Gardnerella	Gastranaerophilales other	Haemophilus	Harryflintia	Herbinix	Hydrogenoanaerobacterium	Intestinimonas	Izimaplasmatales other	Kallotenuales other	Lachnoclostridium	Lachnospiraceae other	Lachnospiraceae_FCS020_group	Lachnospiraceae_NC2004_group	Lachnospiraceae_NK3A20_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_NK4B4_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-002	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillales other	Lactobacillus	Lactonifactor	Lawsonella	Marvinbryantia	Megasphaera	Mitochondria other	Mollicutes_RF39 other	Mucispirillum	Muribaculaceae other	Muribaculum	Novosphingobium	Odoribacter	Olsenella	Oscillibacter	Oscillospira	Parabacteroides	Parasutterella	Pasteurellaceae other	Peptococcaceae other	Phocea	Porphyromonadaceae other	Prevotella_9	Prevotellaceae other	Prevotellaceae_UCG-001	Proteobacteria other	Pseudoflavonifractor	Pseudomonas	Rhodospirillales other	Rikenellaceae other	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae other	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Senegalimassilia	Shuttleworthia	Streptococcus	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3	XBB1006
B121	0	60	15	0	0	7314	6450	0	0	75	49	360	0	56	18	3	9315	0	0	88	11	207	0	0	0	0	0	0	94	0	0	32	0	31	203	0	0	0	0	76	0	0	0	38	624	0	0	0	538	212	0	13	24	15	30	0	13	0	37	116	0	128	0	53	0	34	409	0	0	250	831	25	0	0	1434	0	957	0	6	24	13	0	156	0	0	53	0	12	720	268	32433	471	0	69	0	553	0	686	788	0	77	0	0	0	0	4081	0	0	0	710	0	2037	0	1146	511	1016	493	509	613	134	0	0	150	162	16	3	6275	216	0	0	0	0	9	0	0	0	0
B122	0	6	34	0	0	2734	5187	0	0	73	49	99	0	0	31	0	3907	0	0	46	0	0	0	0	0	0	0	0	7	0	3	35	0	24	282	0	0	0	0	77	0	0	0	11	12	0	0	0	51	103	0	237	9	0	10	0	0	0	0	87	0	0	0	0	0	0	108	0	0	386	1099	42	0	0	2997	0	27	0	0	16	0	0	155	0	0	109	0	8	111	51	25447	1073	0	32	0	198	0	286	1501	0	29	0	0	0	0	2726	0	0	0	187	0	822	0	176	155	99	219	302	221	0	0	0	10	83	16	0	2736	37	0	0	0	0	20	0	0	0	0
B123	17	32	46	0	0	2489	7289	0	0	0	153	235	11	0	0	0	2416	0	0	219	0	63	0	0	0	13	0	0	3	0	0	14	0	85	611	0	0	0	7	0	0	0	0	13	0	0	0	0	36	76	0	113	24	0	3	0	0	0	29	139	0	0	0	47	0	27	348	0	0	585	1788	30	0	0	6055	0	141	5	4	39	7	0	277	0	0	42	0	0	383	670	31148	982	0	460	0	703	0	223	599	0	103	0	0	0	0	1696	0	0	0	352	0	490	0	510	373	80	533	605	444	51	10	0	74	238	15	20	2383	80	0	0	0	0	23	0	0	0	0
B124	3	0	39	0	0	7330	6501	0	0	0	69	81	0	0	3	2	4555	0	0	45	0	28	0	0	0	45	0	0	14	0	0	27	0	11	87	0	0	0	0	49	0	0	0	6	39	0	0	0	84	59	0	149	8	14	3	0	0	0	8	84	0	0	0	0	0	31	175	0	2	396	644	5	0	0	2361	0	62	0	0	29	4	0	175	0	0	0	0	0	221	46	25318	504	0	16	0	194	0	392	756	0	47	0	0	0	0	3354	0	0	0	2608	0	315	0	97	217	49	224	254	203	19	0	0	21	73	28	0	2462	289	0	3	0	0	18	0	0	0	0
B125	0	16	0	0	0	5078	4983	0	0	0	0	77	0	0	9	0	2131	0	0	34	0	23	0	0	0	0	0	0	0	0	0	28	0	14	264	0	0	0	0	73	0	0	0	12	0	0	0	0	27	86	0	1073	21	11	6	0	0	0	9	46	0	0	0	0	0	21	116	0	0	261	1251	0	0	0	1604	0	430	0	6	33	4	0	250	0	0	87	0	0	234	26	30823	691	0	186	12	161	0	290	1604	0	19	0	0	0	0	2428	0	0	0	342	0	541	0	45	83	119	166	157	120	0	0	0	15	43	58	2	2439	180	0	0	0	0	0	0	0	0	0
B126	2	5	47	0	0	8620	2944	0	0	0	78	65	11	0	33	0	1985	0	0	54	0	55	0	0	0	0	0	0	0	0	10	21	0	48	328	0	0	0	0	65	0	0	0	0	0	0	0	0	91	80	0	1302	8	15	0	0	9	0	14	184	0	0	0	0	0	37	94	0	0	884	3733	22	0	0	6145	0	130	0	18	64	0	0	102	0	0	25	0	4	46	68	29952	827	0	58	4	330	4	394	1507	0	73	0	0	1	0	2074	0	0	0	1081	0	291	0	56	73	126	550	292	218	12	0	0	45	75	48	0	1462	142	0	15	0	0	45	0	0	0	0
B127	8	16	13	0	0	4084	5969	0	0	5	132	267	8	0	21	0	3364	0	0	117	5	32	0	0	0	0	0	0	0	0	0	16	0	40	270	0	0	0	0	77	0	0	0	0	88	0	0	0	0	76	0	376	37	9	9	0	0	0	24	89	0	0	0	0	0	20	312	0	0	382	1546	14	0	0	3372	0	13	14	0	40	4	0	74	0	0	41	0	0	72	62	27876	547	0	106	0	390	0	406	898	0	74	0	0	0	0	2649	0	0	0	806	0	478	0	298	346	197	774	447	437	44	0	0	47	174	30	0	3632	168	0	5	0	0	24	0	0	0	0
B128	13	27	155	0	0	1818	8042	0	0	10	168	619	23	80	15	3	3634	0	0	346	0	239	0	0	0	0	3	0	0	0	0	6	0	66	368	0	0	0	0	58	0	0	0	18	848	0	0	0	15	100	0	257	31	4	8	0	35	0	53	205	0	0	0	56	0	51	604	0	0	1039	3547	12	0	0	9442	0	261	47	19	31	14	0	73	0	0	42	0	0	142	1819	37179	657	0	137	0	1272	0	274	878	0	147	0	0	2	0	4055	0	0	0	304	0	650	0	602	1245	1027	598	1591	1527	121	14	0	136	436	28	25	3235	120	0	11	0	0	92	0	0	0	0
B129	163	0	180	0	0	110	8855	0	0	21	0	106	0	0	6	0	3323	0	0	63	0	25	0	0	0	0	0	0	0	0	0	14	0	50	465	0	0	0	0	55	0	0	0	0	0	0	0	0	40	143	0	26	4	6	13	0	0	0	20	68	0	0	0	9	0	91	166	0	0	844	3434	111	0	0	3454	0	1170	9	0	34	5	0	21	0	0	175	0	0	309	175	36488	1022	0	656	0	566	0	85	1286	0	90	37	0	0	0	4207	0	0	0	517	0	1145	0	329	278	322	179	518	473	45	0	0	9	146	45	0	1424	75	0	0	0	0	7	0	17	0	0
B130	7	45	81	0	0	293	8457	0	0	0	25	68	0	0	3	0	6873	0	0	16	0	30	0	0	0	0	0	0	58	0	0	13	0	13	646	0	0	0	0	42	0	0	0	5	0	0	0	0	181	185	0	24	17	27	8	0	0	0	0	53	0	0	0	0	0	33	140	0	0	543	1972	88	0	0	3396	0	141	0	20	54	0	0	95	0	0	162	0	0	1706	507	26892	1043	0	522	0	274	0	189	1008	0	47	51	0	0	0	3644	0	0	0	335	0	1593	0	662	149	62	35	283	204	13	0	0	57	62	64	0	4691	28	0	8	0	0	17	0	15	0	0
