	raw	filtered
B121	98281	94923
B122	64908	62364
B123	81179	77150
B124	71165	68148
B125	70962	67499
B126	81651	78034
B127	73163	69945
B128	110108	104899
B129	93521	89733
B130	83720	79722
B131	83218	80074
B132	62884	60393
B133	75984	72253
B134	77578	74082
B135	72124	69230
B136	80021	76294
B137	83741	80379
B138	122947	116993
B139	89678	85742
B140	90280	86918
B141	76145	73174
B142	83875	80197
B143	83818	79341
B144	101483	96991
B145	74983	72330
B146	99858	96204
B147	76109	72556
B148	81014	77343
B149	71389	68467
B150	74982	72532
B151	68376	65956
B152	68303	65496
B153	83125	79347
B154	106923	102344
B155	61909	59803
B156	79870	76165
B157	62751	59923
B158	74513	72140
B159	83285	80209
B160	77317	74600
B161	72905	70215
B162	97761	93703
B163	80901	77277
B164	77353	74595
B165	76009	73282
B166	99274	95228
B167	55459	52884
B168	68898	66154
B169	106696	101861
B170	75580	72804
B171	76128	72883
B172	88475	84767
B173	72527	69113
B174	83985	80686
B175	79117	75051
B176	76034	73020
B177	98307	94619
B178	77617	74606
B179	66754	63849
B180	78679	75709
B181	77820	74681
B182	74946	71766
B183	44679	42892
B184	134593	129165
B185	91378	87500
B186	74330	71101
B187	73006	69799
B188	80282	77116
B189	73437	70440
B190	84755	80841
B191	113593	109252
B192	1013	808
