	Project	SampleID	Nreads	oldCode	Group
C1	Claire Exp J-feces	OVA_t-H6	320164.0	C1	OVA_t-H
C14	Claire Exp J-feces	SH-R1	300048.0	C10	SH-R
C26	Claire Exp J-feces	SH-R2	276290.0	C11	SH-R
C38	Claire Exp J-feces	SH-R3	347214.0	C12	SH-R
C50	Claire Exp J-feces	SH-R4	293564.0	C13	SH-R
C62	Claire Exp J-feces	SH-R5	304766.0	C14	SH-R
C74	Claire Exp J-feces	SH-R6	322910.0	C15	SH-R
C86	Claire Exp J-feces	SH-R7	264640.0	C16	SH-R
C3	Claire Exp J-feces	SH-R8	299224.0	C17	SH-R
C15	Claire Exp J-feces	SH-H1	294858.0	C18	SH-H
C27	Claire Exp J-feces	SH-H2	227980.0	C19	SH-H
C39	Claire Exp J-feces	SH-H3	270414.0	C20	SH-H
C51	Claire Exp J-feces	SH-H4	267560.0	C21	SH-H
C63	Claire Exp J-feces	SH-H5	289744.0	C22	SH-H
C75	Claire Exp J-feces	SH-H6	332502.0	C23	SH-H
C87	Claire Exp J-feces	SH-H7	301616.0	C24	SH-H
C4	Claire Exp J-feces	SH-H8	284936.0	C25	SH-H
C16	Claire Exp J-feces	OVA-R1	323280.0	C26	OVA-R
C28	Claire Exp J-feces	OVA-R2	282936.0	C27	OVA-R
C40	Claire Exp J-feces	OVA-R3	290440.0	C28	OVA-R
C52	Claire Exp J-feces	OVA-R4	350368.0	C29	OVA-R
C64	Claire Exp J-feces	OVA-R5	227174.0	C30	OVA-R
C76	Claire Exp J-feces	OVA-R6	304580.0	C31	OVA-R
C88	Claire Exp J-feces	OVA-R7	343940.0	C32	OVA-R
C5	Claire Exp J-feces	OVA-R8	328820.0	C33	OVA-R
C17	Claire Exp J-feces	OVA-H1	284916.0	C34	OVA-H
C29	Claire Exp J-feces	OVA-H2	487036.0	C35	OVA-H
C41	Claire Exp J-feces	OVA-H3	293518.0	C36	OVA-H
C53	Claire Exp J-feces	OVA-H4	312504.0	C37	OVA-H
C65	Claire Exp J-feces	OVA-H5	396170.0	C38	OVA-H
C77	Claire Exp J-feces	OVA-H6	302820.0	C39	OVA-H
C89	Claire Exp J-feces	OVA-H7	330852.0	C40	OVA-H
C6	Claire Exp J-feces	OVA-H8	294176.0	C41	OVA-H
C18	Claire Exp J-feces	OVA_t-H1	294374.0	C42	OVA_t-H
C30	Claire Exp J-feces	OVA_t-H2	283504.0	C43	OVA_t-H
C42	Claire Exp J-feces	OVA_t-H3	254672.0	C44	OVA_t-H
C54	Claire Exp J-feces	OVA_t-H4	283998.0	C45	OVA_t-H
C66	Claire Exp J-feces	OVA_t-H5	351898.0	C46	OVA_t-H
C78	Claire Exp J-feces	OVA_t-H7	322048.0	C47	OVA_t-H
C90	Claire Exp J-feces	OVA_t-H8	289132.0	C48	OVA_t-H
C7	Claire Exp J-feces	OVA_t-H9	338476.0	C49	OVA_t-H
C19	Claire Exp J-feces	OVA_t-RT1	265840.0	C50	OVA_t-RT
C31	Claire Exp J-feces	OVA_t-RT2	265378.0	C51	OVA_t-RT
C43	Claire Exp J-feces	OVA_t-RT3	295840.0	C52	OVA_t-RT
C55	Claire Exp J-feces	OVA_t-RT4	279380.0	C53	OVA_t-RT
C67	Claire Exp J-feces	OVA_t-RT5	245576.0	C54	OVA_t-RT
C79	Claire Exp J-feces	OVA_t-RT6	308830.0	C55	OVA_t-RT
C91	Claire Exp J-feces	OVA_t-RT7	314276.0	C56	OVA_t-RT
C8	Claire Exp J-feces	OVA_t-RT8	312268.0	C57	OVA_t-RT
C20	Claire Exp J-feces	OVA_t-RT9	304690.0	C58	OVA_t-RT
C32	Claire Exp J-feces	OVA_t-RT10	321124.0	C59	OVA_t-RT
