"rab.all"	"rab.win.OVA_t.H"	"rab.win.OVA_t.RT"	"rab.sample.C1"	"rab.sample.C18"	"rab.sample.C30"	"rab.sample.C42"	"rab.sample.C54"	"rab.sample.C66"	"rab.sample.C78"	"rab.sample.C90"	"rab.sample.C7"	"rab.sample.C19"	"rab.sample.C31"	"rab.sample.C43"	"rab.sample.C55"	"rab.sample.C67"	"rab.sample.C79"	"rab.sample.C91"	"rab.sample.C8"	"rab.sample.C20"	"rab.sample.C32"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Akkermansiaceae"	6.14203480920232	6.16090654252434	6.12106080414616	6.02831551207842	6.33569622910268	6.1048215099475	7.74518081070029	7.91062146303733	5.70484165004648	6.70478405096388	2.26441672249969	4.62163693522088	6.08518666593333	7.56686619551848	7.07471766032862	6.5053849968621	3.60513571844791	3.39503736542397	-3.15923065087696	6.16144353781276	5.7647152977008	6.35271097513288	0.334016420690858	2.79197486119222	0.0897772732884332	0.428819462692929	0.396021623782803	0.672870729993082	0.658964898298296	0.897449173168554	"Not significant"
"Atopobiaceae"	-8.40976447006957	-7.68679088645477	-8.98935506774075	-10.1360871574138	-4.41494812263234	-9.31412166922649	-8.37423914387205	-9.39308827049789	-9.91390730643266	-9.04852114970568	-4.84372006233071	-4.52491339567711	-9.24384348282564	-9.43501125633356	-9.2230597277408	-9.45434355365113	-3.05511916191219	-9.52097939031453	-9.37372855045129	-9.10046306282811	-9.10378494551929	-9.26910543396355	1.20343507458187	5.14992890789351	0.19065734137965	0.412478358821251	0.518474367166671	0.722947327887501	0.498030172227154	0.762933357592064	"Not significant"
"Bacteria.other"	-4.93037704254249	-5.71453482787976	-4.42765525533105	-9.88728332218408	-3.88743824794288	-9.28356090433278	-3.13816275908526	-4.47959318544957	-9.15542836276181	-8.73590110319838	-4.26809508707297	-5.77855268247513	-6.04801026948217	-4.77174128110523	-8.84877373349674	-3.69244335169793	-3.9428236735816	-4.03647369601955	-1.97580651205488	-6.0185969272932	-3.14023540491029	-5.6887755749626	-1.36204634866187	3.8390323430453	-0.2962555683856	0.341421187979488	0.244493504442735	0.598960151146418	0.283815884193206	0.668236641040416	"Not significant"
"Bacteroidaceae"	3.75755583685239	4.01691721098857	3.51760749093804	3.52389493895861	4.62891914605112	4.39441014696444	3.83582871767181	4.26567069042295	3.67607956076072	3.83139112022012	4.08768365957713	3.97622969700872	3.84337135275302	3.88264878434938	3.17610398971286	3.15413294298441	2.58346190244761	3.84896567063907	3.61895684203151	3.52881639854257	3.55994141919426	3.26361333595795	0.529463009572	0.609980748682748	0.890815323831791	0.169844167323137	0.0190816752390392	0.144907811453579	0.0270830176015935	0.187303787821515	"Not significant"
"Bacteroidales.other"	-5.23505390637292	-4.77890599181684	-5.82974871923526	-5.60869047112366	-4.4958267837476	-6.68601092990165	-5.71532543813478	-9.01181008251066	-4.43432529205591	-4.16101842972538	-3.71043097775243	-3.75636019307446	-4.03167449590909	-8.9665195818828	-9.14895517370526	-6.25403675267002	-4.3752024643068	-4.80528592992772	-9.20296464619347	-9.1452373281262	-4.42430815468085	-5.49709244567073	0.911273428054386	3.42140718205923	0.232478588446572	0.347222264547568	0.340616881563046	0.630384396956503	0.329258927991513	0.672044905482304	"Not significant"
"Bacteroidia.other"	-8.29508828908778	-7.36469295262597	-9.08578933484765	-5.96644836310238	-4.68831492988156	-9.00645414353482	-9.12453611860764	-5.99978785604659	-9.58002176759046	-9.40048840529351	-9.3644493647779	-6.84534265276787	-9.71293653953058	-9.21877907643962	-9.06278061580683	-9.41144625393397	-9.45503040933727	-9.80695839450071	-4.87401318428629	-8.93224646678003	-9.52693704173453	-9.69793859106158	1.36031199216267	4.48577595215783	0.238518747372084	0.363951509913101	0.398126677730117	0.659207413533866	0.376583676578839	0.692064284522635	"Not significant"
"Bifidobacteriaceae"	-0.0276106640635625	0.138127680685661	-0.276389496201664	0.0403647507292382	1.85085122656875	1.1311451634817	-0.0518564607898035	1.19227392283563	0.0192807299291529	0.255413093346734	-0.586017265797606	-1.10927794732145	0.338562372726215	1.50134628494167	-0.0445927316618269	0.423378064258121	-1.4694306153583	-9.98146742989947	-0.0808586302799901	-0.442605434965713	-0.611602789781074	-0.692691174653197	0.574872587683312	1.54009503318625	0.228575341228036	0.354166706701855	0.216122723564705	0.611514791579282	0.269757139145684	0.665930942255154	"Not significant"
"Burkholderiaceae"	4.38484945659841	4.4697769067653	4.21198627873782	3.52569078520036	4.45074821713985	4.54376472528751	4.58088376151929	4.91022597608871	4.48614514228213	4.67658579735737	4.37327774060061	4.35293339406245	4.09725314461195	4.98883220579218	4.00176129932716	4.3289528244078	3.56480234580063	3.67683888789652	3.69246142338	4.38488426875536	4.99741612866713	4.51399643443641	0.261383262761118	0.733374555560981	0.346334680815216	0.355286001405868	0.402331905225794	0.694256291737353	0.381659289820087	0.726625485285544	"Not significant"
"Caldicoprobacteraceae"	-8.94884277365257	-9.10145317951972	-8.83700653603222	-3.90651800051307	-8.99638388478482	-9.30881448305353	-9.10145317951972	-9.3773636236994	-9.67586632770966	-8.7654310962242	-9.72944625727516	-10.5758082709089	-8.72950791875786	-8.42797714575003	-8.81156098644805	-3.74753964615222	-9.65946102566267	-9.32074691954855	-9.43703363980227	-9.20985035978089	-9.00730552861391	-9.12341202016323	-0.0965446428198806	4.8578883345634	-0.0214752300512063	0.490467939995094	0.545450069163851	0.751918669994355	0.580327059743662	0.819943795094032	"Not significant"
"Christensenellaceae"	-0.309742021608744	-0.430114171203767	-0.199697568358792	-1.34340724639565	-0.15335903479045	0.534241323072079	0.234179371135411	-0.418778920699459	-0.277835653062973	-0.606838862531029	-1.26077276757412	-1.49802328089927	0.308373451102372	0.0461444331669707	-0.232160057543821	-1.61650203269395	0.294876011896257	-0.597668656165879	0.479847973084452	-0.211387166633112	-0.35691567596044	-0.999200543016146	-0.261286303229026	1.07042178862735	-0.22404384166391	0.407986135032666	0.514889256168378	0.719261779168899	0.533034786421009	0.809094418600338	"Not significant"
