Group	OVA_t-RT	OVA_t-RT	OVA_t-RT	OVA_t-RT	OVA_t-RT	OVA_t-RT	OVA_t-H	OVA_t-H	OVA_t-H	OVA_t-H	OVA_t-H	OVA_t-H	median_diff	P_values	P Benjamini-Hochberg	Description	log2FC
	N	mean	std	Q1	median	Q3	N	mean	std	Q1	median	Q3	OVA_t-RT <-> OVA_t-H	OVA_t-RT <-> OVA_t-H	OVA_t-RT <-> OVA_t-H	Description	log2FC
Akkermansiaceae	10.0	0.07692279694034826	0.05177902914256004	0.03033484597437806	0.08807802015125407	0.11425534744679089	9.0	0.1051530960449643	0.08811452082062671	0.06145583753035711	0.07649167642778547	0.10096221106465002	-0.011586343723468603	0.8064959405073364	0.9349253116420776	Akkermansiaceae	-0.20346496318830942
Atopobiaceae	10.0	2.0565129765968825e-05	6.503265043738697e-05	0.0	0.0	0.0	9.0	1.9753262275899053e-05	3.22603019830139e-05	0.0	0.0	3.2598242954704744e-05	0.0	0.3029008069810062	0.6259950010940795	Atopobiaceae	0.0
Bacteria other	10.0	7.558600084360369e-05	7.755567244523343e-05	1.929316330664827e-05	5.7086641088879034e-05	0.00010877981437026177	9.0	3.787534171126914e-05	4.448430962749358e-05	0.0	3.034763212600337e-05	5.059491183836612e-05	-2.6739008962875665e-05	0.28422302438884084	0.6259950010940795	Bacteria other	-0.7993969774278984
Bacteroidaceae	10.0	0.013398356294718014	0.003955774584155433	0.011742046195333863	0.01233574520689831	0.013085784699822474	9.0	0.02037260674321405	0.006397614301041355	0.015190544180637944	0.018646194970091113	0.023391190146594257	0.006310449763192803	0.017892267613019267	0.18488676533453244	Bacteroidaceae	0.5958081774107136
Bacteroidales other	10.0	3.071560330748548e-05	3.352259993402025e-05	0.0	2.0231816923723245e-05	5.3419039079511394e-05	9.0	5.0897234896082034e-05	5.011161877434613e-05	1.890144785090538e-05	3.2598242954704744e-05	5.151831844208605e-05	1.2366426030981499e-05	0.3648670914591149	0.63568529464247	Bacteroidales other	0.561337213498998
Bacteroidia other	10.0	3.102121851346321e-06	9.809770629632644e-06	0.0	0.0	0.0	9.0	8.867152973215961e-06	1.0888357116747765e-05	0.0	0.0	1.6864970612788706e-05	0.0	0.15503035487665942	0.570067684959595	Bacteroidia other	0.0
Bifidobacteriaceae	10.0	0.0010551790190437237	0.0006774601298366477	0.0006965654895144499	0.0008642636911104773	0.001539458242575195	9.0	0.0016228977974459102	0.0007641487114932273	0.001001776736097985	0.0012070006035003018	0.0024402797004223903	0.00034273691238982445	0.050043521248705196	0.3878372896774653	Bifidobacteriaceae	0.4791644836696314
Burkholderiaceae	10.0	0.022920451476046017	0.006280099692451932	0.01904538846647975	0.023703223585061745	0.026270707891686576	9.0	0.026971325000823974	0.008083768683076342	0.021103032452562513	0.025920207290668372	0.03490205668316623	0.0022169837056066274	0.2529990614746813	0.6033054542857785	Burkholderiaceae	0.12896396016115563
Caldicoprobacteraceae	10.0	9.579461634256155e-06	3.029291752244831e-05	0.0	0.0	0.0	9.0	1.1226659343430418e-05	3.367997803029125e-05	0.0	0.0	0.0	0.0	0.8782751784478063	0.9349253116420776	Caldicoprobacteraceae	0.0
