"rab.all"	"rab.win.OVA.H"	"rab.win.OVA.R"	"rab.sample.C17"	"rab.sample.C29"	"rab.sample.C41"	"rab.sample.C53"	"rab.sample.C65"	"rab.sample.C77"	"rab.sample.C89"	"rab.sample.C6"	"rab.sample.C16"	"rab.sample.C28"	"rab.sample.C40"	"rab.sample.C52"	"rab.sample.C64"	"rab.sample.C76"	"rab.sample.C88"	"rab.sample.C5"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Bifidobacteriaceae"	-0.715762428337557	-1.47161727516449	0.541017171690638	-1.15256251782386	-1.39453274383023	-0.893095983152122	-4.05879130958217	-4.23505428666021	-1.58231995185097	-4.65291181246451	-0.889943105681332	-0.675363120720795	0.745628781525526	-0.32868103381738	0.120232228722967	0.098435901356388	1.71271884985689	1.60386861063145	1.11935092715004	-2.57567977316332	2.05909983439756	-1.37485968867576	0.00391628806195076	0.00142436973817503	0.0219512779757227	0.000263451825951826	0.00693129208754209	"Significant"
"Burkholderiaceae"	3.41682563275259	2.9179885653865	3.95911315149855	2.98120090768424	2.79784273351434	2.6593966816781	1.97127105239946	3.30181756477504	3.29131660457999	2.16109119092003	3.95863184123688	3.28738253492568	4.08593833630015	3.38542927954714	3.57906118080001	3.61984887616593	4.51249964022747	4.69782656136991	4.50090913251159	-1.11552940980666	0.984158086652107	-1.09207001789129	0.109375318684054	0.00614179295374671	0.0372775645137309	0.00857978826728827	0.0397852880144547	"Significant"
"Caldicoprobacteraceae"	-5.31420424448358	-3.860043924998	-8.82222483501328	-3.13391461402105	-4.81569886708949	-3.63521671138606	-5.17232233716007	-3.99329249626609	-3.19724463021234	-10.0480135098195	-3.17240174877761	-10.081546748346	-9.6525977203549	-5.30253235542223	-10.2930845261143	-9.44739553124306	-4.13958522343024	-10.2280179281479	-9.58582317741426	4.47324120229968	4.39230457170929	0.955004094168578	0.136718994612017	0.0345647957141129	0.0980142304894427	0.0160268550893551	0.0599770909216021	"Significant"
"Christensenellaceae"	-0.684915228832873	-0.033727071443078	-1.19263794944786	0.23205398517293	0.643845579766634	-0.232804240202539	0.216932922396899	-0.382026308502754	-0.695372824633704	-0.924480612870441	0.0618874903731088	-0.941834766287521	-1.17921242711009	-1.89121687293554	-1.30565486365953	-1.35385873884213	-1.54000684775387	-0.721976001450527	-0.514527746474471	1.09271427160135	0.792763328012298	1.27873222269629	0.0800785780146337	0.00248743445431041	0.0236874953872044	0.00416788073038073	0.0246014272186147	"Significant"
"Clostridiaceae_1"	1.76319156643677	2.44262928519336	-1.48932387239366	2.48502339379575	2.2403745998464	2.28593091421691	1.18445806802197	2.84521057968312	2.69475569649008	2.20658894251374	2.63279853968938	1.76464250464692	1.74899418593221	1.33763886553769	0.519133353272976	-9.5158688822125	-4.56398674314158	-9.32110712092147	-3.88418042635022	3.47670583261051	5.18535103339511	0.926975916411903	0.0449227178997418	0.0255552896846699	0.0872678146631088	0.00120920745920746	0.0137951530529656	"Significant"
"Clostridiales_vadinBB60_group"	0.270464651426869	-0.241054053580758	0.751008985022412	0.374909085406732	-1.04567614382742	-0.307372230403849	0.225502754764095	-0.374250655332836	-1.33253471799919	0.535560670908572	-0.358435715427862	0.52170529551663	0.666541795900722	-0.547366500606	1.100494251172	1.37839193002026	-0.169323903664409	1.43029994177868	0.794869651461007	-0.937594123152842	1.03886501998853	-0.88101918533037	0.164062694666672	0.0254529303943063	0.0851526947642362	0.0303115287490287	0.09370032539185	"Significant"
"Eggerthellaceae"	-4.80206474823061	-6.0163135529054	-4.05209142019768	-10.3389449313238	-5.96867085304839	-3.65352383139889	-6.06232473273417	-4.3388529002048	-10.0379775293188	-6.32658547661551	-5.57426157080118	-4.91505197909095	-3.729417682144	-4.01187364539247	-5.63982937507182	-3.51469667484614	-3.86375432704022	-2.95008520250083	-4.72781883879168	-1.91824205675594	2.26884750984458	-0.752263152087546	0.165692199240625	0.0453879597100339	0.124345223641196	0.0335275835275835	0.0992805890542269	"Significant"
"Erysipelotrichaceae"	2.92624026107686	2.23323436732818	3.43747946658457	3.02183475607629	2.26163542140768	2.95263442644503	1.9008337007352	2.11797797655769	2.78734687113424	1.5579971808501	1.99141106118771	2.52835480838086	3.73031005865255	3.22904539192484	3.04714065473904	3.02246248672405	3.87012801655281	4.05895442641348	3.55817649747654	-1.07246642311042	0.854661632798734	-1.23333657733249	0.0839848047518494	0.0029749331129337	0.0281579196667783	0.00566603535353535	0.0317917055937889	"Significant"
"Family_XIII"	-0.940105142576813	-0.592038927817863	-1.70620990287503	-1.37745290992071	-0.727246748813623	-0.446190310925348	-0.593674781684932	-0.00762894139658687	-1.2732507353866	-0.280686611855907	-0.559564405438159	-0.417296979190357	-2.40782495997375	-0.747018692196075	-2.61073609935983	-2.2005063941437	-1.99502171313362	-1.49635445126569	-1.35340517805823	1.04568359693463	0.989773689223158	0.978764982314271	0.15625020721677	0.0181505422259593	0.0715816020838647	0.0293074980574981	0.0918469749246264	"Significant"
"Muribaculaceae"	7.620079788048	7.24484018353448	8.03454089678816	7.44384019401807	6.96149739235107	7.1508723876247	6.42580942680958	7.20043189076561	7.88194464111583	7.12140066266583	7.620079788048	7.64340824980788	8.10492190730011	7.45531945403877	8.17611243597244	7.63595028777869	8.33482265371106	7.98954703119813	8.39094226721355	-0.744963569039241	0.636651976130227	-1.13288738363774	0.113281555960186	0.00814720417055934	0.0416316373900843	0.0106534090909091	0.0444052236505616	"Significant"
