"rab.all"	"rab.win.OVA.H"	"rab.win.OVA.R"	"rab.sample.C17"	"rab.sample.C29"	"rab.sample.C41"	"rab.sample.C53"	"rab.sample.C65"	"rab.sample.C77"	"rab.sample.C89"	"rab.sample.C6"	"rab.sample.C16"	"rab.sample.C28"	"rab.sample.C40"	"rab.sample.C52"	"rab.sample.C64"	"rab.sample.C76"	"rab.sample.C88"	"rab.sample.C5"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Akkermansiaceae"	5.27852809993865	5.46704669996087	4.5329769333261	5.37048070322174	5.52677460225999	4.70181778960457	6.2385192295288	6.35784919718024	6.58800874261317	5.149484842416	5.00683019858317	5.57415197227701	5.49637790860756	2.48469953756346	5.05039637927081	3.40748184392116	2.64565727588244	5.5657532586125	3.78341259920064	1.27593671051032	1.59711923879919	0.783988508129644	0.244140735188899	0.0289796480287134	0.0927012190323256	0.0791193181818182	0.188137396646771	"Not significant"
"Atopobiaceae"	-10.0472939067666	-10.4038271510274	-9.60100942293157	-9.8878916325674	-10.8950993754816	-10.535477890654	-10.3965467406711	-10.2891488501418	-10.3605929099549	-10.145601326668	-10.8212639870079	-10.5357961834873	-9.90925074041359	-10.0353000399528	-10.1838525180493	-9.7455518765221	-10.375627818471	-9.48102136735575	-5.61957638192827	-0.80997463551111	4.46028650279264	-0.163427100659196	0.406250030888192	0.449323260489086	0.565583910410453	0.468087121212121	0.588270992582509	"Not significant"
"Bacteria.other"	-5.16379629809986	-5.59303178813449	-4.78335354690453	-6.61087322856899	-6.07167211883085	-5.22982266555951	-5.41537815739689	-10.7899911503	-6.0924238655108	-3.06890287106446	-4.57253358241188	-4.5642600929868	-6.59387455990392	-4.51322337071818	-3.97380376693582	-3.41297099521936	-5.31385405241309	-5.59109032319966	-4.93092169434965	-0.852492316992588	2.20059856955967	-0.318540564582549	0.331384075838523	0.300927167497356	0.459057327639284	0.329291715229215	0.484834276788463	"Not significant"
"Bacteroidaceae"	3.45370439309039	3.37351703438438	3.75138757479332	3.79416883525143	3.08198109692992	2.99154592964457	2.94638457872478	3.52157073927499	3.6340849439699	4.40883332197186	3.14113868251504	3.19448764896373	3.17327026816286	3.16364125423427	3.17412723994219	4.71210313785589	3.93641009652772	5.59682900696824	4.32847823502862	-0.303694483463103	1.04029477341227	-0.269989113732698	0.335937558446692	0.256568700695131	0.426878027662625	0.36471081002331	0.52865043714304	"Not significant"
"Bacteroidales.other"	-5.88712762823345	-5.74863782655416	-6.00152694357487	-4.72632639894236	-4.74932174829017	-6.69215986200793	-6.00443333199699	-5.74351475968731	-9.76314364310004	-5.34222882558644	-6.43474343810704	-6.50518364103634	-4.6966514113838	-5.98683709604463	-5.40505306161135	-9.37936635116175	-5.73740963455539	-9.78142012222639	-5.68823408520672	0.347965017433959	2.4064076981721	0.101616578040956	0.430799242613462	0.573857956093259	0.682189649710538	0.636255584693085	0.74482903973451	"Not significant"
"Bacteroidia.other"	-8.70895535017882	-9.24580565493837	-8.21173325629364	-10.1746460412756	-10.871901427023	-10.8145710109924	-6.60302613054584	-6.60714643036608	-9.51948928059368	-9.77829458427076	-10.5647168073076	-6.46113674900346	-9.87638353282489	-9.84363383349543	-6.34196184155154	-9.34139466765519	-6.74222830371314	-9.34566215355628	-9.68163193251808	-0.733715213300813	4.23687207741009	-0.147830873445173	0.417968776798311	0.491232820801075	0.607707300731406	0.536954885392385	0.652377268831394	"Not significant"
"Bifidobacteriaceae"	-0.715762428337557	-1.47161727516449	0.541017171690638	-1.15256251782386	-1.39453274383023	-0.893095983152122	-4.05879130958217	-4.23505428666021	-1.58231995185097	-4.65291181246451	-0.889943105681332	-0.675363120720795	0.745628781525526	-0.32868103381738	0.120232228722967	0.098435901356388	1.71271884985689	1.60386861063145	1.11935092715004	-2.57567977316332	2.05909983439756	-1.37485968867576	0.00391628806195076	0.00142436973817503	0.0219512779757227	0.000263451825951826	0.00693129208754209	"Significant"
"Burkholderiaceae"	3.41682563275259	2.9179885653865	3.95911315149855	2.98120090768424	2.79784273351434	2.6593966816781	1.97127105239946	3.30181756477504	3.29131660457999	2.16109119092003	3.95863184123688	3.28738253492568	4.08593833630015	3.38542927954714	3.57906118080001	3.61984887616593	4.51249964022747	4.69782656136991	4.50090913251159	-1.11552940980666	0.984158086652107	-1.09207001789129	0.109375318684054	0.00614179295374671	0.0372775645137309	0.00857978826728827	0.0397852880144547	"Significant"
"Caldicoprobacteraceae"	-5.31420424448358	-3.860043924998	-8.82222483501328	-3.13391461402105	-4.81569886708949	-3.63521671138606	-5.17232233716007	-3.99329249626609	-3.19724463021234	-10.0480135098195	-3.17240174877761	-10.081546748346	-9.6525977203549	-5.30253235542223	-10.2930845261143	-9.44739553124306	-4.13958522343024	-10.2280179281479	-9.58582317741426	4.47324120229968	4.39230457170929	0.955004094168578	0.136718994612017	0.0345647957141129	0.0980142304894427	0.0160268550893551	0.0599770909216021	"Significant"
"Christensenellaceae"	-0.684915228832873	-0.033727071443078	-1.19263794944786	0.23205398517293	0.643845579766634	-0.232804240202539	0.216932922396899	-0.382026308502754	-0.695372824633704	-0.924480612870441	0.0618874903731088	-0.941834766287521	-1.17921242711009	-1.89121687293554	-1.30565486365953	-1.35385873884213	-1.54000684775387	-0.721976001450527	-0.514527746474471	1.09271427160135	0.792763328012298	1.27873222269629	0.0800785780146337	0.00248743445431041	0.0236874953872044	0.00416788073038073	0.0246014272186147	"Significant"
