Group	OVA-R	OVA-R	OVA-R	OVA-R	OVA-R	OVA-R	OVA-H	OVA-H	OVA-H	OVA-H	OVA-H	OVA-H	median_diff	P_values	P Benjamini-Hochberg	Description	log2FC
	N	mean	std	Q1	median	Q3	N	mean	std	Q1	median	Q3	OVA-R <-> OVA-H	OVA-R <-> OVA-H	OVA-R <-> OVA-H	Description	log2FC
Akkermansiaceae	8.0	0.047110060152152	0.03572293825668187	0.016136329357349773	0.04006242247634269	0.07372086339284306	8.0	0.11818347529410453	0.05280058185093407	0.0737066371210509	0.10035727799669442	0.16844775128518064	0.06029485552035173	0.020862582332765417	0.07186000581285866	Akkermansiaceae	1.3246989007832881
Atopobiaceae	8.0	3.798237617745366e-06	1.0743038304262345e-05	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31731050786290727	0.46841074970238694	Atopobiaceae	0.0
Bacteria other	8.0	7.266364127773963e-05	4.571126678994257e-05	3.802517997983273e-05	7.061240522916815e-05	9.668042685249616e-05	8.0	6.724067749378517e-05	7.335983387618326e-05	2.294100960281115e-05	4.8078696651267634e-05	7.556727387451713e-05	-2.253370857790052e-05	0.528612125255687	0.630268303189473	Bacteria other	-0.5043452549809295
Bacteroidaceae	8.0	0.03081266734219264	0.018700696886232642	0.018592332750187172	0.023790568789805077	0.03510799793199168	8.0	0.02460943511573728	0.007039689084787836	0.0204999879606299	0.021648951778379465	0.02492186582784329	-0.0021416170114256124	0.8336348830246775	0.8848997408649327	Bacteroidaceae	-0.13605799900342674
Bacteroidales other	8.0	2.8638016222088606e-05	2.2368494123965113e-05	1.6509278214356467e-05	3.174472026896711e-05	3.546940507437963e-05	8.0	4.2334311223874625e-05	2.9529915916844008e-05	2.560051092645532e-05	3.713113366338896e-05	5.273988825502155e-05	5.386413394421849e-06	0.292197741151204	0.45290649878436623	Bacteroidales other	0.193568947534823
Bacteroidia other	8.0	7.401828899951138e-06	1.0327852395149954e-05	0.0	0.0	1.7576449960776276e-05	8.0	5.113745769412782e-06	9.542750819379532e-06	0.0	0.0	4.559242800955617e-06	0.0	0.7016712444885906	0.7768503063980825	Bacteroidia other	0.0
Bifidobacteriaceae	8.0	0.0029872299634183734	0.0016414590279264986	0.0017337952702100236	0.002578207163902261	0.003746342363208945	8.0	0.0006749902302318755	0.0005222078240063861	0.00013920068396281412	0.0007454205873882065	0.0010351677863778168	-0.0018327865765140545	0.0011313264268228347	0.025052623337994424	Bifidobacteriaceae	-1.7823452438581775
Burkholderiaceae	8.0	0.029180605273422967	0.009049780291512126	0.020955781010569656	0.027574444352112128	0.03666757854479465	8.0	0.017811785843364045	0.008565806902870886	0.01445974451372338	0.01661311763839348	0.01835841835748959	-0.010961326713718647	0.011718685599768571	0.06054654226547095	Burkholderiaceae	-0.7308099201390785
Caldicoprobacteraceae	8.0	1.8699867310940625e-05	3.702129464949746e-05	0.0	0.0	1.2572079924902775e-05	8.0	0.0001431965129880414	8.78056982330724e-05	8.202259425032581e-05	0.00015496519984138716	0.00020505447939516214	0.00015496519984138716	0.006128862494315104	0.03920227571402769	Caldicoprobacteraceae	4.80046893210041
Christensenellaceae	8.0	0.000808480014647756	0.00020941926894414747	0.0006351964910960286	0.0007766085439628916	0.000916369829308101	8.0	0.0022059938738597787	0.0009976011926660622	0.001456739261936395	0.0022843572830773947	0.0025734331448252286	0.0015077487391145033	0.0032758974829085945	0.033850940656722145	Christensenellaceae	1.549491581216218
Clostridiaceae_1	8.0	0.002720073417105044	0.003158528903074673	5.5862223068201566e-05	0.001309413495638282	0.005693883469258596	8.0	0.011446169072507577	0.002947000058490135	0.010657040050482762	0.011692804598958214	0.013093168358605743	0.010383391103319931	0.001616298279870608	0.025052623337994424	Clostridiaceae_1	3.1529987636320964
Clostridiales other	8.0	0.00047713527865041443	0.0003333009647182471	0.0002754066575002504	0.00040907196895282076	0.000559936467187297	8.0	0.000552262730779078	0.00029109830883843936	0.0003889186393969585	0.0005462929268434868	0.0006894687997125766	0.00013722095789066606	0.528612125255687	0.630268303189473	Clostridiales other	0.4122726510040735
Clostridiales_vadinBB60_group	8.0	0.0029729727570170176	0.0010181719362366694	0.0024928197834176023	0.0030129475950949813	0.003800651532941698	8.0	0.001974683866799659	0.0008071475684924936	0.0015063220601189459	0.00194463250333822	0.002612898726512317	-0.0010683150917567613	0.05870740843120496	0.15166080511394617	Clostridiales_vadinBB60_group	-0.630164455292169
Desulfovibrionaceae	8.0	0.04793818009995121	0.02947922739350522	0.02044180040293656	0.0496820027191628	0.06518162349326712	8.0	0.06338001607771934	0.03324134677617839	0.03905875852446314	0.052603997129595	0.07382923596359917	0.0029219944104321993	0.3445623653256964	0.4855196965952995	Desulfovibrionaceae	0.0824397937488115
Eggerthellaceae	8.0	0.00011276443098705902	5.1589163078635845e-05	7.022387785216968e-05	0.000129120229675261	0.00014184918662535435	8.0	5.500842554207449e-05	6.573707187323626e-05	1.669585349203051e-05	3.9291918706379343e-05	5.662516498937799e-05	-8.982831096888166e-05	0.05852168107110158	0.15166080511394617	Eggerthellaceae	-1.5818492592630076
Erysipelotrichaceae	8.0	0.019514841086688123	0.005766057602040265	0.014273920473931232	0.019636286939070543	0.02455560827140993	8.0	0.011750728558850636	0.004546332447557964	0.009135657665626332	0.010894526700209437	0.013296103057694525	-0.008741760238861106	0.0157143497722189	0.06089310536734823	Erysipelotrichaceae	-0.8495787350551618
Family_XIII	8.0	0.0006784191578233675	0.0004777831258456659	0.0003533003212706461	0.000489734770045164	0.0007778832153327818	8.0	0.0014703471955992396	0.00048151784843014145	0.0013238825030304367	0.0015761001797736974	0.001751291707880687	0.0010863654097285334	0.006322947695810918	0.03920227571402769	Family_XIII	1.6746644867143363
Gastranaerophilales other	8.0	0.006091233599897247	0.004095727846885082	0.004243878276287081	0.005437832990601835	0.005825333734306228	8.0	0.012365751423739047	0.0073544361003882	0.008999536817314321	0.011241874628850953	0.013139108391429767	0.005804041638249118	0.027423154381354658	0.08501177858219944	Gastranaerophilales other	1.0469894425552457
Lachnospiraceae	8.0	0.08425992512186264	0.04168836725562946	0.05312518416489137	0.0813427139473525	0.10307438713349357	8.0	0.11387214474916439	0.03898886441981406	0.08645334264609997	0.11523156094266461	0.135854880082806	0.03388884699531211	0.17216723606659268	0.313952018709669	Lachnospiraceae	0.5024207974976305
Lactobacillaceae	8.0	0.003704159932818532	0.001478846398341538	0.002157469008538157	0.004140857513962046	0.0046776434165274015	8.0	0.004741557566103986	0.0023426841443715163	0.004032552014455231	0.00474329984286994	0.005582297865796145	0.0006024423289078939	0.2075784423356198	0.3574962062446786	Lactobacillaceae	0.19570660705625453
Marinifilaceae	8.0	0.017209360720896554	0.002641025447838277	0.01588437604550507	0.017360980580269567	0.01845791931864882	8.0	0.019254131502933647	0.006836387509728902	0.014523960492764464	0.016614032299332154	0.022493990171320703	-0.000746948280937413	1.0	1.0	Marinifilaceae	-0.06342462975734353
