"rab.all"	"rab.win.SH.H"	"rab.win.SH.R"	"rab.sample.C15"	"rab.sample.C27"	"rab.sample.C39"	"rab.sample.C51"	"rab.sample.C63"	"rab.sample.C75"	"rab.sample.C87"	"rab.sample.C4"	"rab.sample.C14"	"rab.sample.C26"	"rab.sample.C38"	"rab.sample.C50"	"rab.sample.C62"	"rab.sample.C74"	"rab.sample.C86"	"rab.sample.C3"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Akkermansiaceae"	3.65002657757592	5.64094321271961	2.27762847315144	4.95903885184671	5.55570195470766	5.72093222417181	5.82154177519321	6.05943668370099	3.66652989776123	5.03702787186669	6.35339986402488	0.473033987698913	-2.76259291543959	2.38640393348715	3.1005990274038	2.57989370277628	2.17025816762793	3.57070287579076	-1.03317970332993	3.4629690803649	2.02191781307795	1.73960337683253	0.0058660882265042	0.00102216716891246	0.00721185089766883	0.000200320512820513	0.00328421578421578	"Significant"
"Burkholderiaceae"	2.9651318561345	2.33774789350676	3.54593945789012	3.04641046984503	2.26651968300484	2.8675517873885	2.06243748284394	3.22492614018012	1.50988607339203	2.23675292316804	2.27678018373192	3.5689713319222	3.49646136356578	3.76103566581907	2.57162513139821	1.85903864656357	4.2587358554442	3.79119199970118	3.43589744502328	-1.01435616247006	0.96487984217966	-0.894893427336809	0.171875183209158	0.0261419272846355	0.071982113046936	0.0287004662004662	0.0701212033264976	"Significant"
"Caldicoprobacteraceae"	-7.18158221784741	-3.95522034400997	-8.9272385711701	-10.696173341833	-4.35394148971231	-4.04922998304594	-10.1092655918028	-3.85960011702644	-2.81888288821505	-3.57891689630347	-3.50787657469989	-9.37432126763509	-8.46542177193196	-9.45336795704547	-9.80131971119263	-4.91977248172853	-9.79628050090034	-9.31841581981198	-9.11614397007593	4.28254099944456	4.82857008642062	0.822168650670985	0.173489459011877	0.0887092385038205	0.15025618842209	0.0387881216006216	0.0816249322038334	"Significant"
"Clostridiaceae_1"	-1.58878447127762	1.61708219887332	-3.54906951910366	3.20781728321847	2.02066092899483	-1.24683062337652	2.07280077933645	-1.26194087503714	2.04483994637396	-10.5894202955195	0.527406741766556	-3.1405992834887	-1.67604437499133	-1.40133706720891	-2.36446429001932	-3.82823793603655	-9.17219663386289	-9.36063448345329	-9.3009502474085	4.7751310031304	5.73527225593463	0.82918546806663	0.120857982285373	0.0650952500113773	0.128252019279801	0.0110795454545455	0.0350382057522573	"Significant"
"Desulfovibrionaceae"	4.50275169848455	3.9054203092132	5.27335812769181	4.03367026551033	3.81904689200807	4.01003809287455	3.69700385752688	2.97066745763387	4.47246232279153	4.71587997587813	1.94207888981555	5.4875219999386	6.08840473244972	5.81601407260058	5.07962836718668	4.64678913590405	4.44115270651866	4.38855623666409	5.73065046430522	-1.42882200337102	1.08273877642507	-1.23570526740106	0.0662773579261915	0.00288485426300403	0.0138672982486466	0.00280084498834499	0.0132082182863433	"Significant"
"Eggerthellaceae"	-4.49174056176882	-5.50804124814627	-3.66813611119403	-3.48913172042059	-5.41666596820642	-5.8352459469444	-6.30857328147307	-5.38730464505784	-5.55026480516653	-4.49579266621045	-10.232208850136	-3.27417326339888	-3.69782568982161	-4.15302365388867	-3.74135470068036	-5.09180149984397	-4.20923454779554	-2.40135533578167	-2.4447269858818	-1.87705343877955	1.77437651143344	-0.940441133546632	0.107422200386984	0.034201311641722	0.0791239929536934	0.0128411519036519	0.03674921555327	"Significant"
"Lachnospiraceae"	6.00853601945397	5.22592756224563	6.73565605628159	5.98965490279143	4.84624321182803	4.79075534347534	5.37660087160885	4.36597380531247	6.10601944658753	5.91385758714847	4.1598627578839	7.21365700563704	7.71254786167039	7.40867713331199	6.47041105951543	6.22979130002807	6.0008483811202	5.5021443256767	6.94277650770418	-1.45902205189316	1.20972229497325	-1.21664259027516	0.0761723536427265	0.00242325164045083	0.0129448398851474	0.00446168414918415	0.0178256639194139	"Significant"
"Marinifilaceae"	3.38536820538548	2.53866011148423	3.81373201807939	2.42567200485237	2.36195691173635	2.49124901829177	2.36478011853076	2.21777398892142	2.77936144291198	4.75508515533553	3.42730148035206	3.91447738387159	4.64896140118476	3.59919068336435	2.94980486536992	3.88522760778698	3.74130208014084	3.40907605008717	4.02776926624465	-1.12581477832705	0.866733898883924	-1.00788015958197	0.154297085544634	0.0300247834391351	0.0798623996925926	0.0218142968142968	0.0578566592935037	"Significant"
"Muribaculaceae"	7.36786656646608	6.89645640537667	8.79844043436337	6.94014161152715	6.2845343353338	7.31726796710278	5.99581021355125	7.35205504919217	6.27378082091839	7.00290292289692	6.88963344837892	8.7971541345378	8.82324101264064	8.83296786149337	7.87950124006702	7.15403469835451	9.12526781027355	8.94831838972088	8.87368335036293	-1.85334650992561	0.906774613893174	-1.99711595524221	0.0332042805109939	9.42689513158506e-05	0.00151288954261204	0.000846202408702409	0.00653183621933622	"Significant"
"Peptococcaceae"	-0.755615580348855	-1.53757721434856	0.803608936644112	-1.43890520157166	-1.26315804640204	-1.82580059415498	-1.38369977389928	-3.30069399058876	-0.776540288929899	-1.55873296740881	-2.27608328414556	0.892445841415197	1.61405468384855	1.07820863339787	0.836036876218202	-0.02229552500238	0.133713914358301	-0.735471336981118	1.01188669174867	-2.34376113943686	1.09857015128448	-2.0220425982431	0.0078175341348832	6.37455409417097e-05	0.00117538173791923	0.000268308080808081	0.00356691919191919	"Significant"
