"rab.all"	"rab.win.SH.H"	"rab.win.SH.R"	"rab.sample.C15"	"rab.sample.C27"	"rab.sample.C39"	"rab.sample.C51"	"rab.sample.C63"	"rab.sample.C75"	"rab.sample.C87"	"rab.sample.C4"	"rab.sample.C14"	"rab.sample.C26"	"rab.sample.C38"	"rab.sample.C50"	"rab.sample.C62"	"rab.sample.C74"	"rab.sample.C86"	"rab.sample.C3"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Akkermansiaceae"	3.65002657757592	5.64094321271961	2.27762847315144	4.95903885184671	5.55570195470766	5.72093222417181	5.82154177519321	6.05943668370099	3.66652989776123	5.03702787186669	6.35339986402488	0.473033987698913	-2.76259291543959	2.38640393348715	3.1005990274038	2.57989370277628	2.17025816762793	3.57070287579076	-1.03317970332993	3.4629690803649	2.02191781307795	1.73960337683253	0.0058660882265042	0.00102216716891246	0.00721185089766883	0.000200320512820513	0.00328421578421578	"Significant"
"Atopobiaceae"	-8.62769063660556	-8.8069448344096	-8.51897407790329	-10.760585670146	-10.3328546580553	-6.20684386053486	-10.597530314109	-6.16078329595205	-11.301090496445	-6.46371862186738	-10.4184572434628	-4.07179009009916	-9.40271696481967	-9.19984207239499	-4.68622196471543	-10.5890048172386	-9.3372374066679	-9.6345118971624	-9.22991922739678	-0.778462971702986	4.98934841872301	-0.121580660391044	0.445312517595153	0.568868540701876	0.65658835133534	0.62545405982906	0.714974346532639	"Not significant"
"Bacteria.other"	-6.19836459989264	-7.17829186009328	-4.55543650071272	-6.21556317093145	-10.5125944714275	-10.0994127383898	-6.69849590316727	-10.5769677363424	-4.69111892722982	-6.58915768902544	-7.01336000120733	-9.14662207688373	-3.33539229533488	-9.56293840465428	-5.96203171259985	-5.29453458869854	-3.44005352773374	-3.83000570890256	-3.35323479368558	-2.49335322548348	4.02993843709687	-0.577101526856292	0.235867562407096	0.190669156601737	0.282038266128388	0.0961914821289821	0.165701795767523	"Not significant"
"Bacteroidaceae"	3.72422948592855	3.69377788068869	3.82943267615694	3.33832056668897	3.8100236669965	2.95656037913726	3.85776233529121	3.6642609838097	2.46870345234518	3.79263206288845	4.02950578355507	4.7570308443816	4.15613911749189	3.48573191157797	3.01452442506655	2.55273557144185	4.14146258402188	4.15530115059985	3.36202791957014	-0.263363733135962	0.994900212188938	-0.243766201467845	0.396484409380287	0.552899279081978	0.672445411438891	0.560885295260295	0.683705198759625	"Not significant"
"Bacteroidales.other"	-6.16011147257755	-5.8814608716171	-6.79922611313431	-4.52648171535909	-6.40549112016069	-4.71282802379226	-6.58254604412232	-6.06922086485644	-6.17255713248381	-4.39255179027939	-9.77743967202053	-5.39666353645217	-2.38033706306533	-9.84742675786858	-6.2944586693577	-10.2616069086953	-4.38060959992978	-8.53621444445366	-9.06928942353996	0.826192688137652	4.02140307309678	0.176387633433341	0.401559486619509	0.491042332635636	0.601377466947608	0.57020202020202	0.682787410422519	"Not significant"
"Bacteroidia.other"	-8.27451423441008	-8.7502672144789	-7.59349706765868	-9.83301645855141	-10.9429524715076	-10.4129056734867	-7.13099242748263	-10.2229867695517	-7.16773006003401	-7.07792847085651	-10.358978004024	-8.90230380494072	-8.6294635493864	-9.47918230596224	-9.76250978131991	-4.93267543728786	-9.89485846654911	-6.01129437465895	-4.51238936297608	-1.56058643525033	4.25876640099859	-0.317035754477142	0.351562551747701	0.418494115718793	0.516513132138626	0.417477661227661	0.513077970779164	"Not significant"
"Bifidobacteriaceae"	-2.68202785725075	-1.79875948040394	-3.05524399218106	-1.31294689835039	-2.84970284311635	-1.48102356943536	-3.42437709708619	-0.971839201456326	-5.06027660389655	-1.01813610680382	-2.5168084444874	-3.59360499051139	-2.42044585179199	-3.32415235751464	-2.51200463561723	-3.72697362330015	-2.255378658839	-4.12623174222271	-2.75969733915026	1.0128939191531	1.56212996926034	0.581069912843211	0.306042957286198	0.233162639239287	0.341176471521962	0.193913898601399	0.285882564752432	"Not significant"
"Burkholderiaceae"	2.9651318561345	2.33774789350676	3.54593945789012	3.04641046984503	2.26651968300484	2.8675517873885	2.06243748284394	3.22492614018012	1.50988607339203	2.23675292316804	2.27678018373192	3.5689713319222	3.49646136356578	3.76103566581907	2.57162513139821	1.85903864656357	4.2587358554442	3.79119199970118	3.43589744502328	-1.01435616247006	0.96487984217966	-0.894893427336809	0.171875183209158	0.0261419272846355	0.071982113046936	0.0287004662004662	0.0701212033264976	"Significant"
"Caldicoprobacteraceae"	-7.18158221784741	-3.95522034400997	-8.9272385711701	-10.696173341833	-4.35394148971231	-4.04922998304594	-10.1092655918028	-3.85960011702644	-2.81888288821505	-3.57891689630347	-3.50787657469989	-9.37432126763509	-8.46542177193196	-9.45336795704547	-9.80131971119263	-4.91977248172853	-9.79628050090034	-9.31841581981198	-9.11614397007593	4.28254099944456	4.82857008642062	0.822168650670985	0.173489459011877	0.0887092385038205	0.15025618842209	0.0387881216006216	0.0816249322038334	"Significant"
"Christensenellaceae"	-0.716155679866799	-0.658915752761978	-0.742930129353584	-0.967712226547857	0.266649879515274	-0.354482519467172	-0.493855064312167	0.115232161504769	-1.27012438472867	-1.8287367200839	-1.03451758683659	-0.825613006395661	0.161520837534656	-0.684266255482815	-0.307735849321249	-1.17212429073073	-1.534936184625	-0.876990223132838	-0.578276745948335	0.0103541438028776	0.948743518012473	0.00893143808588076	0.49707602431773	0.802952200085382	0.851740890483514	0.823313665501165	0.886144608864943	"Not significant"
