	diff.btw	diff.btw	diff.btw	diff.win	diff.win	diff.win	effect	effect	effect	label	label	label	overlap	overlap	overlap	rab.all	rab.all	rab.all	rab.sample.C1	rab.sample.C14	rab.sample.C15	rab.sample.C16	rab.sample.C17	rab.sample.C18	rab.sample.C19	rab.sample.C20	rab.sample.C26	rab.sample.C27	rab.sample.C28	rab.sample.C29	rab.sample.C3	rab.sample.C30	rab.sample.C31	rab.sample.C32	rab.sample.C38	rab.sample.C39	rab.sample.C4	rab.sample.C40	rab.sample.C41	rab.sample.C42	rab.sample.C43	rab.sample.C5	rab.sample.C50	rab.sample.C51	rab.sample.C52	rab.sample.C53	rab.sample.C54	rab.sample.C55	rab.sample.C6	rab.sample.C62	rab.sample.C63	rab.sample.C64	rab.sample.C65	rab.sample.C66	rab.sample.C67	rab.sample.C7	rab.sample.C74	rab.sample.C75	rab.sample.C76	rab.sample.C77	rab.sample.C78	rab.sample.C79	rab.sample.C8	rab.sample.C86	rab.sample.C87	rab.sample.C88	rab.sample.C89	rab.sample.C90	rab.sample.C91	rab.win.OVA.H	rab.win.OVA.R	rab.win.OVA_t.H	rab.win.OVA_t.RT	rab.win.SH.H	rab.win.SH.R	we.eBH	we.eBH	we.eBH	we.ep	we.ep	we.ep	wi.eBH	wi.eBH	wi.eBH	wi.ep	wi.ep	wi.ep
	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA-t	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA-t	TempSH	TempSH	TempOVA	TempOVA	TempSH	TempOVA-t	TempOVA-t	TempOVA-t	TempSH	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA-t	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA-t	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempSH	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH
Akkermansiaceae	1.27593671051032	0.334016420690858	3.4629690803649	1.59711923879919	2.7919748611922204	2.02191781307795	0.783988508129644	0.0897772732884332	1.7396033768325299	Not significant	Not significant	Significant	0.244140735188899	0.428819462692929	0.0058660882265042	5.27852809993865	6.142034809202321	3.6500265775759195	6.02831551207842	0.47303398769891297	4.95903885184671	5.57415197227701	5.370480703221741	6.3356962291026795	6.08518666593333	5.7647152977008	-2.7625929154395896	5.5557019547076605	5.496377908607559	5.52677460225999	-1.03317970332993	6.1048215099475005	7.566866195518481	6.35271097513288	2.38640393348715	5.72093222417181	6.35339986402488	2.48469953756346	4.70181778960457	7.74518081070029	7.074717660328621	3.7834125992006404	3.1005990274038	5.82154177519321	5.0503963792708095	6.238519229528801	7.91062146303733	6.505384996862099	5.00683019858317	2.5798937027762796	6.059436683700991	3.4074818439211603	6.35784919718024	5.704841650046481	3.60513571844791	4.62163693522088	2.1702581676279302	3.66652989776123	2.64565727588244	6.58800874261317	6.704784050963879	3.39503736542397	6.16144353781276	3.5707028757907597	5.03702787186669	5.5657532586125	5.149484842415999	2.26441672249969	-3.1592306508769603	5.46704669996087	4.5329769333261	6.16090654252434	6.12106080414616	5.640943212719611	2.2776284731514402	0.0927012190323256	0.672870729993082	0.00721185089766883	0.0289796480287134	0.396021623782803	0.00102216716891246	0.188137396646771	0.897449173168554	0.00328421578421578	0.0791193181818182	0.6589648982982961	0.00020032051282051298
Atopobiaceae	-0.8099746355111099	1.20343507458187	-0.778462971702986	4.4602865027926395	5.14992890789351	4.98934841872301	-0.163427100659196	0.19065734137965	-0.121580660391044	Not significant	Not significant	Not significant	0.406250030888192	0.412478358821251	0.44531251759515295	-10.0472939067666	-8.40976447006957	-8.627690636605559	-10.136087157413801	-4.07179009009916	-10.760585670146	-10.535796183487301	-9.887891632567401	-4.41494812263234	-9.24384348282564	-9.103784945519289	-9.40271696481967	-10.3328546580553	-9.90925074041359	-10.895099375481601	-9.22991922739678	-9.31412166922649	-9.435011256333562	-9.269105433963551	-9.19984207239499	-6.2068438605348595	-10.4184572434628	-10.0353000399528	-10.535477890654	-8.37423914387205	-9.2230597277408	-5.61957638192827	-4.68622196471543	-10.597530314109	-10.183852518049301	-10.3965467406711	-9.393088270497891	-9.454343553651132	-10.8212639870079	-10.5890048172386	-6.16078329595205	-9.7455518765221	-10.289148850141801	-9.913907306432659	-3.05511916191219	-4.52491339567711	-9.3372374066679	-11.301090496445001	-10.375627818471001	-10.360592909954901	-9.04852114970568	-9.52097939031453	-9.100463062828108	-9.634511897162401	-6.46371862186738	-9.48102136735575	-10.145601326668	-4.84372006233071	-9.37372855045129	-10.4038271510274	-9.60100942293157	-7.686790886454769	-8.98935506774075	-8.806944834409599	-8.51897407790329	0.565583910410453	0.7229473278875009	0.65658835133534	0.449323260489086	0.5184743671666711	0.568868540701876	0.588270992582509	0.7629333575920642	0.7149743465326389	0.46808712121212104	0.498030172227154	0.6254540598290601
Bacteria.other	-0.8524923169925881	-1.3620463486618701	-2.4933532254834803	2.20059856955967	3.8390323430452997	4.02993843709687	-0.318540564582549	-0.29625556838559997	-0.577101526856292	Not significant	Not significant	Not significant	0.33138407583852303	0.341421187979488	0.235867562407096	-5.163796298099861	-4.93037704254249	-6.19836459989264	-9.88728332218408	-9.14662207688373	-6.21556317093145	-4.5642600929868005	-6.61087322856899	-3.88743824794288	-6.0480102694821705	-3.1402354049102903	-3.33539229533488	-10.5125944714275	-6.59387455990392	-6.0716721188308505	-3.35323479368558	-9.283560904332779	-4.77174128110523	-5.688775574962599	-9.562938404654279	-10.0994127383898	-7.01336000120733	-4.51322337071818	-5.22982266555951	-3.13816275908526	-8.84877373349674	-4.93092169434965	-5.96203171259985	-6.698495903167269	-3.97380376693582	-5.41537815739689	-4.479593185449571	-3.6924433516979303	-4.57253358241188	-5.29453458869854	-10.5769677363424	-3.41297099521936	-10.7899911503	-9.15542836276181	-3.9428236735816	-5.778552682475129	-3.44005352773374	-4.69111892722982	-5.31385405241309	-6.0924238655108	-8.73590110319838	-4.0364736960195495	-6.0185969272932	-3.83000570890256	-6.58915768902544	-5.591090323199659	-3.0689028710644597	-4.26809508707297	-1.97580651205488	-5.59303178813449	-4.7833535469045305	-5.71453482787976	-4.427655255331049	-7.17829186009328	-4.5554365007127195	0.459057327639284	0.598960151146418	0.282038266128388	0.300927167497356	0.244493504442735	0.190669156601737	0.4848342767884629	0.668236641040416	0.165701795767523	0.329291715229215	0.28381588419320597	0.0961914821289821
Bacteroidaceae	-0.303694483463103	0.529463009572	-0.263363733135962	1.04029477341227	0.6099807486827479	0.994900212188938	-0.269989113732698	0.8908153238317909	-0.243766201467845	Not significant	Not significant	Not significant	0.335937558446692	0.169844167323137	0.39648440938028706	3.45370439309039	3.75755583685239	3.7242294859285496	3.52389493895861	4.7570308443816	3.3383205666889704	3.19448764896373	3.7941688352514302	4.62891914605112	3.84337135275302	3.5599414191942595	4.1561391174918905	3.8100236669965	3.1732702681628595	3.0819810969299195	3.3620279195701404	4.394410146964439	3.88264878434938	3.2636133359579502	3.4857319115779704	2.95656037913726	4.029505783555069	3.16364125423427	2.9915459296445697	3.8358287176718098	3.17610398971286	4.32847823502862	3.0145244250665497	3.8577623352912096	3.17412723994219	2.94638457872478	4.26567069042295	3.15413294298441	3.1411386825150402	2.55273557144185	3.6642609838097	4.71210313785589	3.5215707392749898	3.67607956076072	2.5834619024476098	3.97622969700872	4.14146258402188	2.46870345234518	3.93641009652772	3.6340849439699	3.83139112022012	3.84896567063907	3.52881639854257	4.15530115059985	3.7926320628884502	5.596829006968241	4.40883332197186	4.08768365957713	3.6189568420315097	3.37351703438438	3.75138757479332	4.01691721098857	3.51760749093804	3.69377788068869	3.82943267615694	0.426878027662625	0.144907811453579	0.672445411438891	0.256568700695131	0.0190816752390392	0.552899279081978	0.52865043714304	0.18730378782151502	0.683705198759625	0.36471081002330996	0.0270830176015935	0.5608852952602951
Bacteroidales.other	0.34796501743395897	0.9112734280543859	0.826192688137652	2.4064076981721003	3.4214071820592302	4.02140307309678	0.101616578040956	0.232478588446572	0.17638763343334102	Not significant	Not significant	Not significant	0.4307992426134621	0.34722226454756794	0.4015594866195089	-5.887127628233451	-5.23505390637292	-6.160111472577549	-5.608690471123659	-5.396663536452169	-4.52648171535909	-6.50518364103634	-4.72632639894236	-4.495826783747599	-4.03167449590909	-4.424308154680849	-2.38033706306533	-6.405491120160691	-4.6966514113838	-4.7493217482901695	-9.06928942353996	-6.68601092990165	-8.966519581882801	-5.49709244567073	-9.847426757868579	-4.71282802379226	-9.77743967202053	-5.9868370960446295	-6.69215986200793	-5.71532543813478	-9.148955173705259	-5.6882340852067195	-6.2944586693577005	-6.582546044122321	-5.4050530616113495	-6.0044333319969905	-9.01181008251066	-6.25403675267002	-6.43474343810704	-10.2616069086953	-6.069220864856441	-9.379366351161751	-5.743514759687309	-4.43432529205591	-4.3752024643068	-3.75636019307446	-4.380609599929779	-6.172557132483809	-5.73740963455539	-9.763143643100038	-4.16101842972538	-4.80528592992772	-9.1452373281262	-8.53621444445366	-4.3925517902793905	-9.781420122226391	-5.3422288255864405	-3.7104309777524302	-9.202964646193472	-5.74863782655416	-6.00152694357487	-4.778905991816839	-5.829748719235259	-5.881460871617099	-6.799226113134309	0.682189649710538	0.630384396956503	0.601377466947608	0.573857956093259	0.34061688156304604	0.49104233263563596	0.74482903973451	0.672044905482304	0.682787410422519	0.636255584693085	0.329258927991513	0.57020202020202
Bacteroidia.other	-0.733715213300813	1.3603119921626698	-1.56058643525033	4.23687207741009	4.48577595215783	4.25876640099859	-0.147830873445173	0.238518747372084	-0.317035754477142	Not significant	Not significant	Not significant	0.417968776798311	0.36395150991310105	0.351562551747701	-8.70895535017882	-8.295088289087781	-8.27451423441008	-5.96644836310238	-8.90230380494072	-9.83301645855141	-6.461136749003461	-10.1746460412756	-4.688314929881559	-9.71293653953058	-9.526937041734529	-8.6294635493864	-10.9429524715076	-9.87638353282489	-10.871901427023001	-4.51238936297608	-9.00645414353482	-9.218779076439619	-9.69793859106158	-9.47918230596224	-10.4129056734867	-10.358978004024	-9.84363383349543	-10.8145710109924	-9.12453611860764	-9.06278061580683	-9.68163193251808	-9.76250978131991	-7.13099242748263	-6.34196184155154	-6.603026130545841	-5.99978785604659	-9.41144625393397	-10.5647168073076	-4.932675437287861	-10.2229867695517	-9.341394667655189	-6.60714643036608	-9.58002176759046	-9.455030409337269	-6.8453426527678705	-9.89485846654911	-7.1677300600340095	-6.742228303713139	-9.51948928059368	-9.40048840529351	-9.806958394500711	-8.932246466780029	-6.0112943746589504	-7.077928470856509	-9.34566215355628	-9.77829458427076	-9.3644493647779	-4.87401318428629	-9.24580565493837	-8.21173325629364	-7.36469295262597	-9.08578933484765	-8.7502672144789	-7.59349706765868	0.607707300731406	0.6592074135338659	0.516513132138626	0.49123282080107505	0.398126677730117	0.41849411571879297	0.652377268831394	0.692064284522635	0.513077970779164	0.536954885392385	0.37658367657883896	0.417477661227661
Bifidobacteriaceae	-2.5756797731633196	0.574872587683312	1.0128939191531	2.05909983439756	1.54009503318625	1.56212996926034	-1.37485968867576	0.22857534122803602	0.5810699128432111	Significant	Not significant	Not significant	0.00391628806195076	0.354166706701855	0.306042957286198	-0.715762428337557	-0.0276106640635625	-2.68202785725075	0.0403647507292382	-3.59360499051139	-1.3129468983503898	-0.6753631207207951	-1.15256251782386	1.8508512265687502	0.33856237272621503	-0.611602789781074	-2.4204458517919902	-2.8497028431163502	0.7456287815255259	-1.39453274383023	-2.7596973391502595	1.1311451634817	1.50134628494167	-0.6926911746531971	-3.32415235751464	-1.4810235694353602	-2.5168084444874	-0.32868103381738	-0.893095983152122	-0.0518564607898035	-0.0445927316618269	1.11935092715004	-2.51200463561723	-3.42437709708619	0.120232228722967	-4.05879130958217	1.1922739228356298	0.423378064258121	-0.8899431056813321	-3.7269736233001503	-0.971839201456326	0.098435901356388	-4.23505428666021	0.0192807299291529	-1.4694306153582999	-1.10927794732145	-2.2553786588389997	-5.06027660389655	1.71271884985689	-1.58231995185097	0.25541309334673395	-9.981467429899471	-0.442605434965713	-4.126231742222711	-1.01813610680382	1.60386861063145	-4.6529118124645095	-0.5860172657976059	-0.0808586302799901	-1.47161727516449	0.5410171716906379	0.138127680685661	-0.276389496201664	-1.7987594804039402	-3.0552439921810604	0.0219512779757227	0.611514791579282	0.341176471521962	0.00142436973817503	0.216122723564705	0.233162639239287	0.00693129208754209	0.6659309422551539	0.285882564752432	0.00026345182595182597	0.269757139145684	0.193913898601399
Burkholderiaceae	-1.11552940980666	0.261383262761118	-1.0143561624700599	0.9841580866521071	0.7333745555609809	0.96487984217966	-1.09207001789129	0.346334680815216	-0.894893427336809	Significant	Not significant	Significant	0.109375318684054	0.355286001405868	0.17187518320915804	3.4168256327525897	4.38484945659841	2.9651318561344997	3.52569078520036	3.5689713319222003	3.04641046984503	3.28738253492568	2.9812009076842405	4.45074821713985	4.09725314461195	4.99741612866713	3.4964613635657797	2.2665196830048395	4.08593833630015	2.79784273351434	3.4358974450232798	4.5437647252875095	4.98883220579218	4.51399643443641	3.76103566581907	2.8675517873885	2.27678018373192	3.38542927954714	2.6593966816781003	4.58088376151929	4.0017612993271605	4.50090913251159	2.57162513139821	2.06243748284394	3.57906118080001	1.97127105239946	4.91022597608871	4.3289528244078	3.9586318412368797	1.8590386465635702	3.22492614018012	3.61984887616593	3.3018175647750403	4.48614514228213	3.5648023458006297	4.3529333940624495	4.2587358554442	1.50988607339203	4.51249964022747	3.2913166045799906	4.676585797357371	3.67683888789652	4.38488426875536	3.7911919997011805	2.23675292316804	4.697826561369911	2.1610911909200303	4.37327774060061	3.6924614233800006	2.9179885653864996	3.9591131514985496	4.4697769067653	4.21198627873782	2.3377478935067595	3.54593945789012	0.0372775645137309	0.694256291737353	0.071982113046936	0.00614179295374671	0.40233190522579404	0.0261419272846355	0.0397852880144547	0.726625485285544	0.0701212033264976	0.008579788267288271	0.381659289820087	0.0287004662004662
Caldicoprobacteraceae	4.47324120229968	-0.0965446428198806	4.28254099944456	4.39230457170929	4.8578883345634	4.82857008642062	0.9550040941685779	-0.0214752300512063	0.822168650670985	Significant	Not significant	Significant	0.136718994612017	0.490467939995094	0.17348945901187698	-5.31420424448358	-8.94884277365257	-7.18158221784741	-3.9065180005130697	-9.374321267635091	-10.696173341833001	-10.081546748346	-3.13391461402105	-8.99638388478482	-8.72950791875786	-9.00730552861391	-8.46542177193196	-4.35394148971231	-9.652597720354901	-4.81569886708949	-9.11614397007593	-9.30881448305353	-8.427977145750031	-9.123412020163231	-9.45336795704547	-4.04922998304594	-3.50787657469989	-5.302532355422231	-3.63521671138606	-9.101453179519721	-8.81156098644805	-9.58582317741426	-9.801319711192631	-10.109265591802801	-10.293084526114301	-5.172322337160071	-9.3773636236994	-3.7475396461522203	-3.17240174877761	-4.919772481728531	-3.85960011702644	-9.44739553124306	-3.99329249626609	-9.675866327709661	-9.65946102566267	-10.575808270908901	-9.79628050090034	-2.8188828882150503	-4.13958522343024	-3.1972446302123396	-8.765431096224201	-9.32074691954855	-9.20985035978089	-9.31841581981198	-3.57891689630347	-10.2280179281479	-10.0480135098195	-9.72944625727516	-9.43703363980227	-3.860043924998	-8.822224835013278	-9.101453179519721	-8.83700653603222	-3.9552203440099705	-8.9272385711701	0.0980142304894427	0.751918669994355	0.15025618842209001	0.0345647957141129	0.545450069163851	0.0887092385038205	0.0599770909216021	0.819943795094032	0.0816249322038334	0.0160268550893551	0.5803270597436619	0.0387881216006216
