Group	P Benjamini-Hochberg	P Benjamini-Hochberg	P Benjamini-Hochberg	P_values	P_values	P_values	log2FC	log2FC	log2FC	median_diff	median_diff	median_diff
	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH
Akkermansiaceae	0.07186000581285866	0.9349253116420776	0.024103443855151875	0.020862582332765417	0.8064959405073364	0.000777530446940383	1.324698900783288	-0.20346496318830945	4.724121009971512	0.06029485552035173	-0.011586343723468605	0.1345483830550535
Atopobiaceae	0.4684107497023869	0.6259950010940795	0.8983955073950991	0.3173105078629073	0.3029008069810062	0.8983955073950991	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria other	0.630268303189473	0.6259950010940795	0.3217465856202107	0.528612125255687	0.28422302438884084	0.20082512269514094	-0.5043452549809295	-0.7993969774278984	-1.5122926837203785	-2.253370857790052e-05	-2.6739008962875665e-05	-4.833607779159161e-05
Bacteroidaceae	0.8848997408649327	0.18488676533453244	0.022349815629364386	0.8336348830246775	0.017892267613019267	0.008651541533947503	-0.13605799900342674	0.5958081774107136	1.0087402201405773	-0.0021416170114256124	0.006310449763192803	0.016743137816634425
Bacteroidales other	0.4529064987843662	0.6356852946424699	0.18913342629290847	0.292197741151204	0.3648670914591149	0.1098194088152372	0.193568947534823	0.5613372134989979	1.3477472896911742	5.386413394421849e-06	1.23664260309815e-05	2.705161374998798e-05
Bacteroidia other	0.7768503063980825	0.570067684959595	0.7724207467743573	0.7016712444885906	0.15503035487665942	0.6727535536421823	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacteriaceae	0.025052623337994424	0.3878372896774653	0.022349815629364386	0.0011313264268228347	0.0500435212487052	0.008651541533947503	-1.7823452438581775	0.4791644836696314	2.0087626629151867	-0.0018327865765140547	0.00034273691238982445	0.0004980448404130085
Burkholderiaceae	0.06054654226547095	0.6033054542857785	0.630268303189473	0.011718685599768571	0.2529990614746813	0.528612125255687	-0.7308099201390785	0.12896396016115566	0.10910560018280167	-0.010961326713718649	0.0022169837056066274	0.0009839370845022702
Caldicoprobacteraceae	0.039202275714027686	0.9349253116420776	0.022349815629364386	0.006128862494315104	0.8782751784478063	0.007773956552267298	4.80046893210041	0.0	4.8890998636923255	0.00015496519984138716	0.0	0.00016514934932498302
Christensenellaceae	0.033850940656722145	0.675826396079911	0.022349815629364386	0.0032758974829085945	0.4142161782425261	0.008651541533947503	1.5494915812162178	-0.2842092595582297	1.2764283816479178	0.0015077487391145033	-0.00016253823358384462	0.001013753032353109
Clostridiaceae_1	0.025052623337994424	0.570067684959595	0.022349815629364386	0.001616298279870608	0.17771929702657813	0.006976855149083597	3.1529987636320964	2.8263573568924443	5.8147396053882865	0.010383391103319931	0.0009176492598322494	0.007670263227014144
Clostridiales other	0.630268303189473	0.9349253116420776	0.630268303189473	0.528612125255687	0.9349253116420776	0.528612125255687	0.4122726510040735	-0.6812407984684565	0.20767940733969506	0.00013722095789066606	-0.00011337315754120954	8.879049633659958e-05
Clostridiales_vadinBB60_group	0.15166080511394614	0.6356852946424699	0.7778042664718183	0.05870740843120496	0.3691075904375633	0.75271380626305	-0.6301644552921689	0.30855467761087674	0.06673256862961098	-0.0010683150917567613	0.00022260071459111923	0.00010266169747208224
Desulfovibrionaceae	0.4855196965952995	0.570067684959595	0.4644101445694169	0.3445623653256964	0.22067136191984324	0.3445623653256964	0.0824397937488115	-1.0112361233442178	-0.4235386638574353	0.0029219944104321998	-0.015217172198901018	-0.014404654113206015
