	Akkermansiaceae	Atopobiaceae	Bacteria other	Bacteroidaceae	Bacteroidales other	Bacteroidia other	Bifidobacteriaceae	Burkholderiaceae	Caldicoprobacteraceae	Christensenellaceae	Clostridiaceae_1	Clostridiales other	Clostridiales_vadinBB60_group	Desulfovibrionaceae	Eggerthellaceae	Erysipelotrichaceae	Family_XIII	Gastranaerophilales other	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Mollicutes_RF39 other	Muribaculaceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Prevotellaceae	Rhodospirillales other	Rikenellaceae	Ruminococcaceae	Tannerellaceae
C1	12990	0	0	2283	4	3	204	2284	13	78	1093	32	148	5094	17	2032	43	74	6972	566	1577	351	67532	0	251	129	4089	44	11825	7293	1641
C14	193	8	0	3685	3	0	11	1640	0	77	15	67	387	6112	14	484	62	881	20230	187	2068	600	60424	0	255	0	2874	68	15318	11722	388
C26	13	0	9	1708	18	0	18	1061	0	107	29	61	138	6452	7	168	29	178	19989	126	2393	219	43158	0	288	0	1172	19	14478	7870	121
C38	781	0	0	1661	0	0	15	2038	0	93	56	94	262	8473	8	881	81	747	25602	398	1819	1609	68192	0	314	55	1666	62	12981	17219	183
C50	2083	9	4	1968	3	0	41	1441	0	195	48	117	291	8267	18	870	96	794	21694	272	1886	565	57668	0	437	59	2307	47	10583	10030	1489
C62	1688	0	7	1666	0	9	21	1013	9	124	19	174	806	7024	8	1282	89	4345	21090	315	4160	1463	40048	0	278	30	6593	541	13421	21414	277
C74	673	0	14	2636	7	0	32	2871	0	51	0	28	224	3286	8	2785	78	783	9624	594	2036	742	84048	0	168	57	2310	165	9916	6228	190
C86	1627	0	9	2417	0	2	8	1861	0	73	0	57	299	2853	25	1500	39	630	6129	187	1437	879	67198	0	82	30	6721	201	8666	5800	238
C3	68	0	14	1433	0	6	19	1509	0	92	0	50	243	7456	24	1327	56	455	17232	576	2282	449	65861	0	282	64	2793	104	11772	9455	39
C15	10572	0	4	3407	14	0	135	2805	0	175	3108	213	116	5533	30	2983	167	1058	21384	1337	1832	597	41322	0	125	426	2370	223	11039	9558	442
C27	14269	0	0	4255	3	0	41	1443	15	362	1232	95	217	4275	7	1601	77	4582	8677	208	1549	841	23607	0	124	162	6857	2151	13508	6953	1813
C39	15207	4	0	2245	11	0	101	2100	17	224	121	57	217	4627	5	1266	180	651	7969	854	1612	430	45842	0	80	78	7062	337	12717	7169	1108
C51	18924	0	3	4872	3	2	30	1403	0	236	1418	65	163	4358	4	1623	114	6917	13976	670	1723	838	21458	0	127	224	7829	607	10825	9858	4703
C63	19634	4	0	3769	4	0	148	2777	21	322	122	57	371	2335	7	1319	143	831	6111	913	1385	465	48293	0	30	82	7020	816	11890	7472	1196
C75	5826	0	18	2529	6	3	13	1294	64	189	1885	191	322	10162	9	2174	195	1722	31526	486	3135	1386	35384	0	268	173	5395	339	15928	16070	1079
C87	10241	3	3	4302	14	2	149	1468	25	87	0	92	1071	8252	13	1192	55	898	18827	673	8474	1257	40155	0	106	19	7433	393	10546	8663	310
C4	21633	0	2	4316	0	0	46	1264	23	131	380	45	860	1016	0	1789	71	5583	4732	487	2817	2001	31495	0	53	99	12279	1815	13612	11811	2181
C16	13560	0	12	2590	3	3	177	2781	0	148	975	122	410	5541	10	1637	215	789	16892	259	2652	957	56571	0	262	176	9224	421	8679	9607	1614
C28	10104	0	2	2019	8	0	374	3807	0	99	754	17	351	2536	17	2975	40	543	4712	457	1934	1061	61492	8	88	155	8284	951	8098	5267	167
C40	1434	0	11	2304	4	0	205	2675	6	69	648	38	173	10758	16	2418	151	612	11468	696	2159	2212	44900	0	232	219	8360	410	13451	13317	366
C52	8421	0	16	2310	6	3	282	3071	0	102	365	63	550	11939	5	2110	42	862	11226	294	2633	594	73534	0	359	71	4447	1389	10083	9894	604
C64	1621	0	14	4026	0	0	161	1888	0	59	0	98	395	5510	13	1252	33	532	14607	403	1167	820	30455	6	219	68	11429	525	8806	7389	1086
