"rab.all"	"rab.win.OVA.H"	"rab.win.OVA.R"	"rab.sample.C17"	"rab.sample.C29"	"rab.sample.C41"	"rab.sample.C53"	"rab.sample.C65"	"rab.sample.C77"	"rab.sample.C89"	"rab.sample.C6"	"rab.sample.C16"	"rab.sample.C28"	"rab.sample.C40"	"rab.sample.C52"	"rab.sample.C64"	"rab.sample.C76"	"rab.sample.C88"	"rab.sample.C5"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"A2"	-3.99909648394316	-1.7717299427392	-5.90001956183933	-7.45888676877627	0.607091933413423	0.136527844208169	-8.04848170231125	-8.03351411862206	-2.2247688621391	0.706081895816086	-1.34006408919711	-8.28966078224917	-7.2033859099698	-8.44963447022623	-1.95697493621339	-7.5183227306379	0.854111240171735	-3.36634651069609	-7.19578429478048	2.68711577215454	6.44731960551704	0.403411684425025	0.349609427563166	0.358287529700843	0.591327443243339	0.378739316239316	0.643232783810923	"Not significant"
"ASF356"	-0.0275651459167294	-0.566299723034863	0.322564921071964	-7.6670723074589	1.95518903119081	0.287346982896788	-0.733696713917877	-1.72644185369007	-0.360465769604953	-1.20603528912912	0.721966745798708	0.154827895108329	1.02252448742169	-0.40783375265759	-0.252615901761818	1.69338293079456	0.604134312832914	-1.76388987649405	0.661640381771691	-0.710716944994807	2.13228150455545	-0.251522416761011	0.350877244812951	0.276462733738369	0.55058256144285	0.337198912198912	0.634169728754087	"Not significant"
"Acetatifactor"	1.62919719608023	1.5702274731779	1.74702939637976	0.89192260481332	-0.800560946099615	1.8826125440316	-0.379607751271904	1.69929458199784	1.62249426503958	1.81132921853991	1.63361055657795	1.41688047421623	-0.382201574627516	2.16933167528031	1.86079658613481	3.24820883409356	2.14157483696462	1.59955867890666	0.460603088254545	-0.370061627148524	1.70906197362974	-0.236899302267076	0.34375005504604	0.373585381953242	0.624096674877066	0.385586635586636	0.661316956733056	"Not significant"
"Agathobacter"	-7.23597168587957	-7.44573556519897	-6.9801345669568	-7.43791128453587	-2.53592276082864	-8.46327281054896	-8.00531135804192	-8.55062856030976	-7.49345076255018	-8.22411654728255	-7.18729572951825	-2.00901412954418	-6.83822351113839	-8.0074374302662	-7.38257194965407	-7.84159081483684	-7.06433710768903	-8.1199936119381	-6.86922129908865	-0.564738613632777	5.10568008966944	-0.105796813953253	0.453125015033269	0.550075177573614	0.730531851818139	0.571159916472416	0.760960333368963	"Not significant"
"Akkermansia"	7.69984053261162	8.16316203647386	6.94717575505848	7.90485217636559	7.87549667214497	6.70232424355663	8.65248288702086	8.74835857364005	9.20617567356248	7.28561925563229	8.39208950586896	8.04544615773789	8.2197747097475	4.62836393099587	7.29223222140728	5.2727325372126	5.34343361929171	7.47032231790516	6.42678175108218	1.39078364513384	1.7575139120368	0.894048349227178	0.171875183209158	0.0230705191441884	0.144156125281395	0.0323632964257964	0.156595465702905	"Not significant"
"Alistipes"	7.91940839875868	7.9469087589303	7.8875395689005	8.67065479347985	7.78421119257334	6.94501944510351	7.89868120892616	7.86335630566335	8.08186394351234	7.9678213216943	8.6793902779742	7.37504297040864	7.90543179643328	7.83913017868786	7.51561070584576	7.70687468220488	8.00928695498112	8.19606884549577	8.40304872041651	0.122744332242815	0.712153553068006	0.164042767080394	0.421875025456736	0.649669715024423	0.810280478106556	0.628353243978244	0.810806927613908	"Not significant"
"Alloprevotella"	6.80487032237271	6.60577556619379	6.94553584528773	6.28756854335109	6.28538794379334	4.5914412563436	5.94370585639559	6.82717650354737	7.01253134606518	6.85788771662476	7.35985668443751	6.9041550626701	7.70915736748336	6.95366375214577	5.31967212783827	7.88195926313507	7.56914920063604	0.919232914969003	6.68088079579452	-0.473651587266703	1.49432564333556	-0.183954201020686	0.360623829528529	0.866844971670236	0.93329516801068	0.405895493395493	0.687556759903366	"Not significant"
"Anaerostipes"	2.19859447091535	4.52157280747342	-5.95193441271812	4.72449139921692	5.58815576175416	4.66805059693968	5.91667368800028	3.63413153280413	4.3234275905551	2.42938370510469	3.72971454694195	-7.70549815392918	1.92258208552966	-7.53517960972141	-8.17013302301701	-7.36277370238015	0.3663765365854	-7.80880752178242	1.61382333604073	10.0061064990609	6.47068290492982	1.50675829065211	0.00197273405648325	0.00233970694645338	0.0407299851017739	0.000157828282828283	0.0100008903133903	"Significant"
"Anaerotruncus"	1.42922574779729	0.229360250213388	1.56566902915269	-0.830818328728957	-0.946441776899118	2.22281374496792	-0.656434739028526	-0.57708358793754	2.16954210459935	2.1574937453032	0.97150726177441	2.15913624924463	1.70256952959397	1.45930559101165	1.69705743905201	-0.9777369854763	1.43743324636459	-0.0911705587105489	1.91787176984816	-0.445188778428352	2.24329984652292	-0.236721139316297	0.413255388944119	0.385304750229094	0.631175708851116	0.666904623154623	0.83638164935495	"Not significant"
"Anaerovorax"	-5.26333112113585	-5.03297073916065	-5.53901408234582	-8.29370634307008	-4.99930592885749	-2.31575794185904	-8.16035303248953	-1.48145667551013	-7.47978270514581	-1.91474126083474	-6.58068680058646	-0.586749372007294	-6.81223156686712	-1.72807118438352	-0.975048218018104	-7.79736494265879	-6.96519779639503	-7.80342467662963	-7.70854187154616	-0.394715957729482	6.0948062734727	-0.0569056492354038	0.471734901766446	0.661882131916539	0.809182103525385	0.737373737373737	0.869820579112115	"Not significant"
"Angelakisella"	-0.0761941551517564	-1.74393200733822	0.948791393610841	-0.237001914492485	-8.5682392126352	0.100957769561415	-8.291971204308	-0.913854698390495	1.0796937908467	-3.16576531273686	-6.30105318310535	-1.99287888258335	1.37819059702429	0.751082796620491	0.120026350092124	-0.399812618745741	1.23710633016288	1.22224189227251	1.96710677749074	-2.62847294530263	3.91006659881787	-0.692539218611459	0.157894940521447	0.0400240597769961	0.194592090047858	0.0216431138306138	0.120238099345322	"Not significant"
"Bacteria"	-2.74058301558304	-3.27309374612374	-2.34097620834154	-4.31780198327361	-3.83521625544631	-3.18909070654495	-2.99924535033154	-7.85340659521516	-3.42372397505727	-0.953525084143664	-1.12700674848136	-2.09610097161231	-3.85870674964405	-2.40571184745977	-1.77105312754898	-1.52403388223856	-2.74444358791408	-3.65191719662689	-2.11256499484351	-0.863567202341488	2.19849539436393	-0.303254602140216	0.357421924336001	0.340438213935888	0.58827206236609	0.424420891608392	0.682564656896663	"Not significant"
"Bacteroidales"	-3.4431978689573	-3.35380800052813	-3.5846896836292	-2.21408923877464	-2.41056216615475	-4.48316819070469	-3.61745194240764	-3.43756077977078	-7.54773125532205	-3.22340788677893	-3.0071952634317	-3.99028106115105	-2.07895789549403	-3.92698556287149	-3.08240195252266	-7.9827526741002	-3.03624330286009	-8.02800882776057	-3.02687519006946	0.29227819217081	2.55609271557808	0.0957578228143637	0.44249514515882	0.562629390626552	0.743033227838113	0.64889155982906	0.818656375937116	"Not significant"
"Bacteroides"	6.10821654432704	6.05527789847429	6.25415764033892	6.32362710096098	5.43277957895723	4.98540316905003	5.36860925675283	5.91790613677256	6.25946398422739	6.53637470997681	6.52722639832058	5.65489157413522	5.90654482249838	5.29006391902379	5.4249624460061	6.58754111158785	6.6245292021952	7.50412183352342	6.95609699628393	-0.329148147649844	1.09081419504131	-0.303452016633653	0.364522463452428	0.375740277901165	0.628255579888728	0.42808614996115	0.699657612343889	"Not significant"
"Bacteroidia"	-6.40335174925602	-6.75903079065634	-6.10479781827707	-7.63127557956827	-9.07482451593697	-8.37707582768599	-4.26275892971552	-4.2846501927968	-7.27612337744249	-7.9910727655125	-6.63713839770069	-4.12622189601379	-7.80167818307983	-7.6205433578979	-4.03176085463428	-7.23553456599351	-4.10325612207231	-8.00917656934996	-7.73195956927358	-0.685112037697139	4.38912434121406	-0.137745394406345	0.42495129136866	0.562146476925642	0.731382741388251	0.593910256410256	0.776219827031818	"Not significant"
"Bifidobacterium"	1.78757608296986	0.968109104880493	2.99843944853996	1.3463922115205	0.968873542030901	1.10378633737199	-1.67596873758912	-1.8957656676534	1.08741384546528	-2.5652672931038	2.47301879941727	1.80756776380045	3.47067806003594	1.81296383759571	2.40842183128783	1.9575090101943	4.4114361899336	3.50821046728771	3.75683732657331	-2.50949782283879	2.23340560569519	-1.21341011168266	0.0545815799777585	0.00387222725929307	0.0543212843545445	0.00176160644910645	0.0276159610416239	"Significant"
"Bilophila"	-1.70884398053433	-1.93405462466368	-1.46548198583457	-0.503334901784091	-2.54984584878042	-2.07374125736363	-3.13027391849011	-2.10471158985432	-1.19712641391656	-2.11607986662345	-0.979420990895011	-1.77369138277231	-1.46548198583457	-1.10605956204356	-1.56421340693917	0.100288081575806	-7.49441255788834	-0.414869608944495	-8.016267849956	-0.248239211028386	2.09542460947376	-0.0710004762719563	0.44249514515882	0.521162660684422	0.723646339542073	0.708238636363636	0.853485401684327	"Not significant"
"Butyricicoccus"	1.14485911400623	1.26587931206225	0.85116211614177	0.568767030133681	0.142384783349711	1.36625836623625	1.65746437722735	1.88534918565641	1.0711085704034	1.92861909494497	0.190209329183126	-1.44552474776979	0.274867288559453	2.7330641365782	1.20994120666161	2.7416539316571	0.418943633135138	-0.0598203427165265	2.18326398565207	0.0926317120016469	1.66729780756451	0.0636669773030161	0.475633535999189	0.84802779649139	0.924170704744141	0.886899038461539	0.947729621605478	"Not significant"
"Butyrivibrio"	-1.07492971851926	-4.77649512317949	-0.385544099229181	-0.549080036681274	-8.84424596498952	-4.1854057614889	0.311730358584734	-1.99460652029682	-7.65017790298314	-7.73785954665413	-6.9676061919003	-1.397646960352	-0.0815502382260576	-0.446994829568458	-0.048078412686646	-0.792121109917924	-0.143354328072824	-1.94754542252021	0.139409861509233	-4.13053741938552	4.12145128901704	-0.82848815193246	0.18750016302049	0.022983275651819	0.145862425727209	0.0368128399378399	0.169384282841783	"Not significant"
"CAG.873"	-5.65954094215311	-5.54758925727127	-5.77910020816812	-7.78706181867449	-2.83102469186509	-8.49301770726887	-8.24516069175238	-4.92240679780417	-3.50642073681826	-4.99709529251108	-6.89401722548234	-7.33600474302146	-2.96915301739583	-7.72666053230882	-7.15641292521395	-7.40473193012917	-3.63711616664067	-4.19299102779723	-7.6095962440753	0.309755335814754	4.45389726045031	0.0571196896230827	0.468750009973051	0.624210976377684	0.785414719449876	0.728869221056721	0.863194472412482	"Not significant"
"Caldicoprobacter"	-3.03628469863706	-1.66592055100249	-6.45278290493607	-0.628350438437637	-2.55172681363524	-1.70264113303082	-2.8362489645741	-1.57506368202551	-0.669506250580415	-7.72242585524193	0.259000652800748	-7.59996836826722	-7.34277455903267	-3.20403210785761	-7.95144544955061	-7.92133719869346	-1.54713532489509	-7.82488167606408	-6.90237572680071	4.55514396926787	4.44095387573637	0.874913839808805	0.136452485954291	0.0369086383912763	0.15796539751298	0.0175335081585082	0.102370777057317	"Not significant"
"Candidatus_Stoquefichus"	-6.51710103487954	-6.2053017526659	-6.65453040598278	-7.17221111489695	-2.88922471233947	-8.71784076755588	-7.91738028012305	-8.24589348197795	-1.2669435150811	-8.34846562806624	-3.02643483175778	-7.96988315493227	-7.18840382408918	-8.21946406345737	-8.0011451041589	-7.53133389820123	-4.96466801845227	-7.56843303621338	-0.640508766536649	0.633988070550352	5.56293977204963	0.0965527902532909	0.45224173066165	0.602383672478902	0.771444792957534	0.646227904040404	0.816949907041502	"Not significant"
"Christensenellaceae"	0.535134255115158	1.77156668456994	0.0735127450358304	1.99449370118845	2.54836900492361	0.33941448246706	2.19119884298562	1.52161425082232	1.43700073172047	0.418397395378802	3.02655298211835	0.405542181944058	0.592025747123708	-1.36140874299309	-0.455167490425787	-0.802651115315541	-0.143866626292754	0.432630093001368	0.472927443601537	1.78603493947733	1.26607788301003	1.33757124805833	0.0820316911087102	0.00166941701202316	0.0345205712524436	0.00460130147630148	0.04425291076502	"Significant"
"Christensenellaceae_R.7_group"	0.484810776852701	0.931779556091012	0.25603390762333	1.44407028780369	1.07813432216767	1.12947517374982	0.842560315851999	0.217685915482356	0.194460023693365	-0.067616419934807	1.35124984342902	0.66018819172805	0.475667147250496	-0.321321121442997	0.190159629680728	-0.257679907930031	0.363681285155004	-0.180817229028021	1.56979742676483	0.531316885729385	0.949735344642504	0.54472615442701	0.304093640536235	0.199080239904405	0.453681640613411	0.215975864413364	0.494849905043683	"Not significant"
"Clostridiales"	0.330136077445542	0.497870232964728	0.108554180506408	-1.28886838611146	-0.188211518500463	0.680585092084622	0.412990821240842	-0.592186205000719	0.705269723231929	0.932218251406839	1.4423017452389	1.26688780582007	-0.976948906975295	-0.616520545598659	0.243235283146984	1.26103456692648	-1.04693880935972	-0.0288587101521944	0.771653184856706	0.207748803049784	1.39700283717403	0.136823239617912	0.441406268885782	0.721421741601308	0.85010269899074	0.758301767676768	0.882570040686849	"Not significant"
"Clostridiales_vadinBB60_group"	2.80358532356409	2.36494926141791	3.21024582733303	2.88642088971642	1.31415227577987	1.71345252746282	2.68879960261737	2.03533875535158	1.27758061432466	2.65838287965564	3.00775561082877	2.99332936920768	3.37810300040246	1.57671587083348	3.35399035532167	3.23887098191545	2.51561655073817	3.28417835183516	3.41453989686053	-0.730542915693093	1.01716413882775	-0.776857829108621	0.159844255094111	0.0454933078922659	0.207528203102113	0.0320391414141414	0.151785997524838	"Not significant"
"Clostridium_sensu_stricto_1"	4.23818257408133	4.78877280746016	1.10329445344008	5.00988509762231	4.592583886091	4.29942460069781	3.60449743462965	5.2294556579761	5.31008567883386	4.34147261789762	6.02188905195784	4.25177782764775	4.49380458636775	3.49032053973783	2.77623485263776	-7.34669389989532	-1.91556798643051	-7.70389905213084	-1.21725801067822	3.80617479513739	4.98139834546773	0.936758158311352	0.0779731742460062	0.0267050604855971	0.156311501465767	0.00349771756021756	0.0391018949323145	"Significant"
"DNF00809"	-6.91092195469499	-7.79826846013576	-5.57490347018119	-7.62544719526364	-8.23766317987311	-8.04857372124217	-8.22587474506463	-8.07511940146044	-7.37757717796541	-8.14366111837868	-6.85692841022379	-7.40521758695984	-6.98233478594973	-8.04979191887293	-3.43192058535932	-2.78750967581291	-6.76004572616493	-2.44681993120182	-7.75184632397157	-2.45303677337995	4.56758542671375	-0.482277047673785	0.292397740250104	0.28923528841701	0.472926339159005	0.283964646464646	0.486933032083521	"Not significant"
"Desulfovibrionaceae"	7.09024417241576	7.19283379971941	6.91013083222359	6.67644811107337	7.01293001747569	7.30607178861862	6.36649050987685	7.34885235225139	7.15756523145745	8.13977445459407	7.30469082787539	6.75756780998375	6.2239853613364	7.5122429800064	7.79295493595415	7.02255837767527	5.85002018095779	7.22496372139982	5.74204891541359	0.333073898794059	0.972384203554001	0.329297183037065	0.36132817275589	0.273525881462506	0.538947274808111	0.40805167055167	0.684206212352986	"Not significant"
"Dubosiella"	3.84905247863551	1.32236514111018	5.2359089020932	1.17073899414088	1.61907147497341	1.43245088812889	-0.095513027781065	-1.00174378939529	2.17875907377296	-1.85540610340459	4.22283157835319	3.50160799595067	5.52665070054397	4.15980196122231	4.82082520998113	4.50870743800477	6.2855498002926	5.61085759671366	5.79210854348155	-4.0757418343596	2.15003300829328	-1.88722744037456	0.0253426515974776	0.000329567198081414	0.0207703369640041	0.000514763014763015	0.0151605628168128	"Significant"
"Eggerthellaceae"	-6.46680601703931	-6.75534133335533	-6.05857973555512	-7.91915148377128	-3.54623676639504	-8.63443350897081	-8.04259478096566	-8.2211104325919	-6.99218640470731	-4.39692207489344	-6.94947715897064	-8.24107899829427	-0.978092720665278	-7.8212854757948	-8.47166072887785	-7.47189404900714	-1.19287006623035	-1.67460661705262	-7.13193218608639	-1.86238953527134	5.65019651269867	-0.267769957629762	0.394531285088826	0.443380705994135	0.635565958325143	0.488022047397047	0.69892699414307	"Not significant"
