Group	OVA-R	OVA-R	OVA-R	OVA-R	OVA-R	OVA-R	OVA-H	OVA-H	OVA-H	OVA-H	OVA-H	OVA-H	median_diff	P_values	P Benjamini-Hochberg	Description	log2FC
	N	mean	std	Q1	median	Q3	N	mean	std	Q1	median	Q3	OVA-R <-> OVA-H	OVA-R <-> OVA-H	OVA-R <-> OVA-H	Description	log2FC
A2	8.0	7.969552244481743e-05	0.00017796989653096025	0.0	0.0	4.8587477961967965e-05	8.0	0.0002857250472790264	0.0003563739987456784	0.0	7.207948793379619e-05	0.0006877583294617267	7.207948793379619e-05	0.19703453692194325	0.4751228512543579	A2	4.266069527967408
ASF356	8.0	0.0005050080818940372	0.00039879558994841046	0.0003540277628911253	0.00040311064315845784	0.00046273048141358007	8.0	0.0004854377805244737	0.0006276437114944201	0.00016953754164390783	0.00025546145766483757	0.0004640801557492419	-0.00014764918549362027	0.2479958148314818	0.5594324195035753	ASF356	-0.6499982465980008
Acetatifactor	8.0	0.001481837986416755	0.0013075534361308772	0.0008267311908508865	0.0012066502048158625	0.0015639571364014747	8.0	0.001005671796086566	0.0006923581973393831	0.0005596312144799117	0.0007965335231265285	0.0013570721951411274	-0.00041011668168933397	0.528612125255687	0.7121580020805784	Acetatifactor	-0.5967778915671005
Agathobacter	8.0	1.1006993109622314e-05	3.113247787315017e-05	0.0	0.0	0.0	8.0	1.0837468571341143e-05	3.065299007076563e-05	0.0	0.0	0.0	0.0	0.9272644735251716	0.9776592818689309	Agathobacter	0.0
Akkermansia	8.0	0.04711316740148903	0.035726130541083055	0.016137464155652127	0.04006392504339494	0.07372475478780278	8.0	0.11819126169657683	0.0528051732389539	0.07370911354058003	0.10036499412546007	0.1684581563475279	0.06030106908206513	0.020862582332765417	0.11903944036930855	Akkermansia	1.3247950032835725
Alistipes	8.0	0.08540745202006056	0.020276528862166902	0.06881697825798697	0.0810835406125596	0.09902275183213233	8.0	0.10227154587889178	0.021597266948840985	0.08873334008634204	0.10057645116333269	0.11162454658551348	0.019492910550773096	0.141482121482789	0.3812157162175148	Alistipes	0.31079793528312427
Alloprevotella	8.0	0.04613928509837627	0.03283595682590353	0.023641011992886162	0.04954174849675959	0.06074050948075819	8.0	0.03515690901373377	0.010959004290065896	0.029173918406473313	0.03690725599016806	0.040386756880617956	-0.01263449250659153	0.4008141693829329	0.6703271453473187	Alloprevotella	-0.42470091822899203
Anaerosporobacter	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0			Anaerosporobacter	0.0
Anaerostipes	8.0	0.0002838712382047209	0.0004398756288815018	0.0	0.0	0.00047252980679138307	8.0	0.011873920084823639	0.01027422324323668	0.004425113816413228	0.0074896538287419715	0.0182940958264946	0.0074896538287419715	0.0006467491225764746	0.01828977723363583	Anaerostipes	10.888995696845178
Anaerotruncus	8.0	0.0009374258774939886	0.0004837712894684281	0.0006636825083547308	0.0009661873107904911	0.0012324594777063725	8.0	0.0009614614548142168	0.001040110496629378	0.00025981155785605306	0.00036709386798720986	0.0014467555174620737	-0.0005990934428032812	0.5995101785599999	0.7858444232475674	Anaerotruncus	-1.3865952738216585
Anaerovorax	8.0	7.327720172759667e-05	0.00010460420006677307	0.0	0.0	0.00015961392205008355	8.0	4.901095090405379e-05	6.37581240820019e-05	0.0	7.649977815064337e-06	0.00012012658536085112	7.649977815064337e-06	0.816961321715386	0.9294549845217669	Anaerovorax	1.5538044930432022
Angelakisella	8.0	0.0006285572674976601	0.00032136918638441057	0.0003831592279028039	0.0007177991111274441	0.0008432315583934153	8.0	0.00022822404849575463	0.00027612641693867273	0.0	0.00012865255251107589	0.0003684268900654422	-0.0005891465586163683	0.01540907787010972	0.10161946186034888	Angelakisella	-2.4443743852383655
Bacteria	8.0	7.266738092660134e-05	4.571448168275514e-05	3.802635397693248e-05	7.061684765309946e-05	9.668137453568145e-05	8.0	6.724450252926399e-05	7.336387227161856e-05	2.294223868108586e-05	4.808289307514226e-05	7.557082622641099e-05	-2.2533954577957203e-05	0.528612125255687	0.7121580020805784	Bacteria	-0.5190967533221151
Bacteroidales	8.0	2.8639814695681985e-05	2.2370861291193857e-05	1.651048966443347e-05	3.1745960718068564e-05	3.5469760455574124e-05	8.0	4.233715662450991e-05	2.9532434003625892e-05	2.5601372535084328e-05	3.71338921743455e-05	5.274253614352791e-05	5.387931456276938e-06	0.292197741151204	0.6427413353190875	Bacteroidales	0.2028033840437189
Bacteroides	8.0	0.03081414649154197	0.018701095803376467	0.0185939382832289	0.023791036730826106	0.03511004213803112	8.0	0.02461092492025676	0.0070400201069708975	0.020500681085047937	0.02165073583415001	0.024923413915247113	-0.0021403008966760957	0.8336348830246775	0.9294549845217669	Bacteroides	-0.1359783982460554
Bacteroidia	8.0	7.402188146134134e-06	1.0328378440309072e-05	0.0	0.0	1.7577038606602762e-05	8.0	5.114126284918065e-06	9.543462663318715e-06	0.0	0.0	4.559575412337603e-06	0.0	0.7016712444885906	0.840272971794979	Bacteroidia	0.0
Bifidobacterium	8.0	0.0029873775276352374	0.0016415032067113842	0.0017339079799735522	0.002578447908298593	0.0037464859873133673	8.0	0.0006750281752193443	0.0005222336377740434	0.00013921113715321696	0.000745453267601431	0.0010352532758213834	-0.0018329946406971617	0.0011313264268228347	0.01828977723363583	Bifidobacterium	-1.7848949117409951
Bilophila	8.0	0.00016549718329911535	0.00015973210244881128	7.738274364816645e-05	0.00011698856918272298	0.00023684000030891705	8.0	0.00011747694553245142	5.4546624950543216e-05	8.879357202523561e-05	0.00010423939579599982	0.0001305045712907311	-1.274917338672316e-05	0.6741981971505042	0.8177391875852905	Bilophila	-0.16071302151314626
Butyricicoccus	8.0	0.0011860126633519933	0.0012384412563682715	0.0003653011881094063	0.000612100096712691	0.0016281836328328877	8.0	0.0010279226180816437	0.0005958177291424108	0.0005459161029792076	0.0010471533464694333	0.001543948493678061	0.00043505324975674233	0.5995101785599999	0.7858444232475674	Butyricicoccus	0.7707833632347612
Butyrivibrio	8.0	0.0002512493032210281	9.212196836676779e-05	0.00022119289473371457	0.0002658497845129424	0.0002985794014934423	8.0	0.0001190185073114396	0.00020657337140385037	0.0	1.657426513851942e-05	0.00013099974702359226	-0.000249275519374423	0.019931199293565318	0.11903944036930855	Butyrivibrio	-3.7163807359025753
CAG-873	8.0	1.0024135221330253e-05	1.4319096426044034e-05	0.0	0.0	2.193632514154088e-05	8.0	1.4769621891111963e-05	2.2792531784061046e-05	0.0	6.079433883116804e-06	1.7345394760203395e-05	6.079433883116804e-06	0.728454189010662	0.8617080040735878	CAG-873	1.3439544012173599
Caldicoprobacter	8.0	1.8700278266169866e-05	3.70223173055109e-05	0.0	0.0	1.2572079924902775e-05	8.0	0.00014320404035183002	8.780795657582871e-05	8.203084290054244e-05	0.00015497514217447636	0.0002050650548052287	0.00015497514217447636	0.006128862494315104	0.0613325926493659	Caldicoprobacter	5.32976977458355
Candidatus_Arthromitus	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0			Candidatus_Arthromitus	0.0
Candidatus_Stoquefichus	8.0	2.192577895583694e-05	5.874282663768363e-05	0.0	0.0	2.069039717286413e-06	8.0	2.5380699957608416e-05	4.262054615886424e-05	0.0	0.0	3.468597873826822e-05	0.0	0.6095233803508259	0.7883169052537348	Candidatus_Stoquefichus	0.0
Christensenellaceae	8.0	0.0003516409133193774	0.00012388728529572318	0.00026874994111973464	0.0003161999797559637	0.0004517880835621566	8.0	0.0014494722012124977	0.0008103905755701749	0.0007872412710994489	0.0012589061193025914	0.0019335246632031927	0.0009427061395466277	0.000777530446940383	0.01828977723363583	Christensenellaceae	1.9798649644403898
Christensenellaceae_R-7_group	8.0	0.0004568839502809157	0.00014888415503059324	0.0003664930589871366	0.00040331656855192074	0.00046868802575872684	8.0	0.0007566670757635625	0.00037943274434103073	0.000445859633855802	0.000711368684784269	0.000986281182145647	0.00030805211623234825	0.07420341132975534	0.24819761720642303	Christensenellaceae_R-7_group	0.8126102447151418
Clostridiales	8.0	0.000477163255288527	0.00033333135555173234	0.00027541136974034244	0.0004090834637061378	0.0005599682108232256	8.0	0.000552296542706365	0.00029111401699836087	0.0003889581129129607	0.0005463146390438574	0.0006895174519799727	0.00013723117533771963	0.528612125255687	0.7121580020805784	Clostridiales	0.41386552730525317
Clostridiales_vadinBB60_group	8.0	0.002973144040761559	0.0010182535216706607	0.0024929283232798527	0.0030132525594542955	0.0038007694215113456	8.0	0.001974801319502222	0.0008071912719047811	0.0015064424423498737	0.001944716215821939	0.0026130056966334626	-0.0010685363436323564	0.05870740843120496	0.23727577574278674	Clostridiales_vadinBB60_group	-0.6307241323116006
Clostridium_sensu_stricto_1	8.0	0.0027202552618443053	0.0031587747566397427	5.586407236673315e-05	0.0013094591574643964	0.005694092470966208	8.0	0.011438636128700582	0.0029503357958041636	0.010639018686326308	0.01169364427841147	0.013093810817578107	0.010384185120947074	0.001616298279870608	0.022397276163921283	Clostridium_sensu_stricto_1	3.1548219405764275
DNF00809	8.0	2.1142408164445034e-05	3.0929482602578344e-05	0.0	0.0	4.201725512774697e-05	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06449997814052895	0.24819761720642303	DNF00809	0.0
