"rab.all"	"rab.win.SH.H"	"rab.win.SH.R"	"rab.sample.C15"	"rab.sample.C27"	"rab.sample.C39"	"rab.sample.C51"	"rab.sample.C63"	"rab.sample.C75"	"rab.sample.C87"	"rab.sample.C4"	"rab.sample.C14"	"rab.sample.C26"	"rab.sample.C38"	"rab.sample.C50"	"rab.sample.C62"	"rab.sample.C74"	"rab.sample.C86"	"rab.sample.C3"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"A2"	-1.1079805657508	-2.75738164415178	-0.0184398329874362	3.3307137340857	-7.05824337869218	-6.6311658448209	-1.11385723496053	-6.86337984417313	-1.78542983952756	-0.274413625667975	-6.77872754077255	1.81046638155812	0.818993297985136	0.907349931402901	-0.86930250342027	-4.92340162514872	-1.52004600030656	-1.00934519939134	1.4562165388265	-2.87272355433814	5.01876928206388	-0.543186592082095	0.257812600589301	0.11293900426897	0.215965838338052	0.126549145299145	0.234187288791378	"Not significant"
"ASF356"	0.785228050682345	0.681455463764713	0.876133957546481	0.292352382058101	0.884476663778051	0.6471258125363	-1.50733466704642	-0.334389989543663	1.10824635096425	0.786165427555511	1.23906485890951	1.57175011972557	2.24634628099094	1.27424801625022	0.676398494989041	0.590728436004272	0.621800593213227	-0.20406664543165	0.943385263144997	-0.413267644328208	1.13979273848381	-0.319425657051826	0.343079977145353	0.221908694682491	0.35186089312857	0.358300553613054	0.497008867288424	"Not significant"
"Acetatifactor"	2.54907121311906	2.1522303748427	3.30183971213089	2.44124163943121	0.743239141179832	2.12562577502133	3.30064350892332	2.17508976764114	1.80942941405802	3.32115414128775	1.33818116888573	4.47165121689367	3.65701373332082	4.12047876516219	4.51660377884179	2.16283218322874	2.61291453763592	2.18546328249256	2.81308478817778	-1.16421573189568	1.45445972142278	-0.773125832661629	0.195312654068659	0.0314342326411721	0.0928126808670979	0.0456233003108003	0.11234160744245	"Not significant"
"Agathobacter"	-5.42469323390437	-5.17453271773019	-5.61602956974085	-2.82918343656857	-7.19169483132359	-6.95526560892086	-7.2600154346157	-6.5965224044747	-3.17438669981539	-2.47789402140109	-7.07406436149064	-7.83721428750936	-7.47065685968663	-7.80564361588578	-7.18827035053178	-3.57699378656377	-1.75423064884605	-2.00769738389822	-7.34478718834141	0.00138723593156342	4.84913092799722	-0.000310512116597813	0.5	0.650578365770296	0.757541870687299	0.716139763014763	0.809955619258481	"Not significant"
"Akkermansia"	5.83564458176319	8.89776506195804	4.22594647119277	7.40983325305223	8.95634313598843	9.06047638494058	8.91125202851255	9.75856615719442	5.77910152462507	7.84265670580804	9.49198507498954	2.23105133069525	-1.35448462563739	3.99942260714868	5.64869553803244	4.81442098554368	4.39328790396349	5.84922234367601	0.784854401538434	4.68369509812968	2.70952425866782	1.78272797955613	0.0156275012535498	0.000473452640287294	0.009236262250912	0.000314442501942502	0.00726329226329226	"Significant"
"Alistipes"	8.23813020431748	8.44171890216102	8.22043236860434	7.46581545760708	8.86970463741463	8.79658449104053	8.09805219438022	9.03320065928072	7.233868284249	7.8729948474694	8.79969728220618	8.55012429492692	8.68845422553759	8.05406285232743	7.99598765124056	7.79584047784393	8.27250718694011	8.24698049937548	8.2119798733426	0.114242066967118	0.778253082383208	0.124890715805961	0.46198831620005	0.809816257976972	0.876425924812872	0.793652874902875	0.865091263398473	"Not significant"
"Alloprevotella"	5.82648118852202	7.18038773596008	4.74215775879805	4.52826996898603	7.29537010457215	7.56867540423765	6.34376018011284	7.74729466575856	5.38843753521916	7.04933125642873	7.89275030051836	5.54180510026414	2.28447566252482	3.60875137119642	4.00558065311656	6.03900180355082	3.02158464326919	7.2251628773723	5.30940536175742	2.03796118352922	2.20669192542923	0.945024269194628	0.130859632935921	0.0139032778652029	0.0559779650615715	0.0180944055944056	0.0598971850828033	"Significant"
"Anaerosporobacter"	-7.26824558006177	-6.91947962621882	-7.57796810062683	0.601285074805097	-7.09953819779676	-6.72370868178151	-7.84384054559368	-6.58526250417906	-8.49908646186728	-8.23382600508303	-6.74250384540916	-7.81619646645272	-7.2034376424093	-8.12778783280491	-7.879274261936	-8.48676944593871	-6.80536333179355	-6.70806155917833	-7.76734791287315	0.86423457404456	5.18034150757804	0.15231537310065	0.432748559699417	0.475190934143212	0.587584659694256	0.500098339160839	0.60437340339313	"Not significant"
"Anaerostipes"	-1.31201226108086	3.93693594507095	-5.5503281297257	-8.51204840575274	1.59015466229644	4.66941285108295	4.09074884798786	4.89024276842887	4.63451508778413	3.74496115952389	0.124113198654365	-7.46882147465139	-7.47864710627769	-4.47297187108132	-7.16633686554031	-3.05258085653248	-7.10226201011022	-7.3821576959731	1.39590868178056	8.47425447331965	5.1012240687208	1.31710563675344	0.105263489677621	0.0111298217325507	0.0411363640024908	0.00898649961149961	0.0378000906763049	"Significant"
"Anaerotruncus"	2.22617546839486	0.614162523298606	2.84801971765255	0.309610705174034	0.0649364225192404	-0.184194664649993	3.46069188064819	0.668148813551059	0.518992738342502	2.12500792405984	3.36442114785791	3.20483419790824	3.51195627857131	3.91563317540522	1.98698403981635	1.34530485088003	2.79902273780067	2.26436822204664	2.90295526152399	-1.72341014874628	1.62226198163297	-0.913404897366513	0.228070297712318	0.0377176629681571	0.105391430923281	0.0721955128205128	0.157279195864153	"Not significant"
"Anaerovorax"	-4.93027392977621	-5.30178786104408	-3.98686862739723	-1.13440470124472	-7.03458681656717	-6.81763079697041	-8.03249367743049	-6.51803457122989	-1.44729055892673	-7.42062850357441	-1.61916764800539	-0.731593310746202	-1.6123066050901	-0.743656770781045	-7.7542171015719	-7.77264415279136	-6.90188931628343	-2.73005692412408	-7.29399117869664	-0.481938782135647	5.79297804184888	-0.0747956728739036	0.44249514515882	0.623046361581408	0.729541848133891	0.677607808857809	0.773363280821411	"Not significant"
"Angelakisella"	0.613834285779387	-1.21976292821349	1.03901779679975	0.577495725411178	-6.53218984870765	-7.29176653044339	-7.62177965436905	-4.4717971304799	2.48405130092577	0.515896803068685	2.28219981261827	-3.67936169722549	-7.0077805302113	2.28814027201109	0.938668838641187	2.13858136037647	1.10737329904094	1.91137586586095	0.5032582156111	-1.39897235316199	6.43462386463434	-0.223457982667864	0.351562551747701	0.292761867229663	0.43613491624164	0.389953622766123	0.543066511668144	"Not significant"
"Bacteria"	-3.51783065904292	-4.16224073804839	-2.43661237933488	-3.82696616254601	-7.45005966259689	-6.79565155400584	-3.69090034370069	-6.78116942648868	-2.49862705218137	-3.74377300994474	-3.69413324317711	-8.14149503960122	-1.88948490088056	-7.395194232292	-3.25211073656483	-2.99627379520906	-1.16846584506647	-1.61981259849073	-1.48990194410182	-1.643407365373	3.88558594048671	-0.382159562214291	0.276803207172379	0.391720527208145	0.515636172885448	0.163158022533023	0.276478918838372	"Not significant"
"Bacteroidales"	-3.50961114422487	-2.76421927731145	-4.61207361718408	-2.15153278900444	-3.16431518268596	-1.32651740552319	-3.58811451593161	-2.41150923980791	-4.05674718793062	-1.65217513308824	-6.98225937315792	-3.63113220422709	-0.953517298380461	-8.00913911487901	-3.78601520941515	-8.6457437145354	-2.15223309743754	-6.61675661304154	-7.34346334802356	1.75180847888403	3.78458062925666	0.408544023897552	0.328125061958791	0.224474257580493	0.347004859494503	0.271457362082362	0.404774895330549	"Not significant"
"Bacteroides"	6.30329796971467	6.77598649828531	5.60366047690792	5.76525494069056	7.22071228727964	6.29470607190324	6.95103393884647	7.37966141366591	4.5791964975367	6.58856235818293	7.16262319459327	6.50304650660481	5.62343418134409	5.09749821767529	5.56174888362715	4.80038480528433	6.365695722565	6.43217538056033	5.17906613766116	0.885307868862663	1.1209919802534	0.747044898116398	0.222222349448559	0.0803736306816185	0.17036590669498	0.0710603632478632	0.15487090823743	"Not significant"
"Bacteroidia"	-5.75649116376297	-5.78667007603154	-5.69452601748215	-8.15890314913879	-7.2095113698038	-7.01823420641108	-4.07626946497648	-6.60549525769241	-5.09299166656345	-4.30300615259588	-6.8015145359469	-7.52651213180018	-6.90347881813686	-8.00353736067956	-8.26722730870723	-2.59471632090386	-7.01028384864639	-3.74338225272172	-2.6896618767544	-0.579282076062442	4.40097587243806	-0.117933198327501	0.446393779355188	0.579263255991885	0.685209395847028	0.617939005439005	0.715770511338775	"Not significant"
