Group	SH-R	SH-R	SH-R	SH-R	SH-R	SH-R	SH-H	SH-H	SH-H	SH-H	SH-H	SH-H	median_diff	P_values	P Benjamini-Hochberg	Description	log2FC
	N	mean	std	Q1	median	Q3	N	mean	std	Q1	median	Q3	SH-R <-> SH-H	SH-R <-> SH-H	SH-R <-> SH-H	Description	log2FC
A2	8.0	0.000453689128176213	0.00041293649477870496	0.00011071003192530206	0.000394765355092233	0.0006849485669429604	8.0	0.0007268573181730865	0.0017845921929738173	0.0	7.968833008677173e-05	0.0002429305944860378	-0.0003150770250054613	0.1690000478216548	0.2980546297945548	A2	-2.253100758373016
ASF356	8.0	0.0007290742142995319	0.00042864722338220037	0.0005041112536813446	0.0006511383854128901	0.0008304012592140386	8.0	0.0005819345947291465	0.00047035757088980464	0.0003321703464776722	0.0005582508847185981	0.0006201026021481407	-9.288750069429196e-05	0.3445623653256964	0.49884402144167983	ASF356	-0.22060325227216993
Acetatifactor	8.0	0.003985960482745199	0.002594304385627666	0.0019261531873808488	0.003314983582725686	0.006125494980985994	8.0	0.0019455460602687995	0.0013037791370217374	0.0008064076129363153	0.0018869310036650757	0.002942144777798683	-0.0014280525790606102	0.09289194088370446	0.18771913053581946	Acetatifactor	-0.8116606483404851
Agathobacter	8.0	2.1600605135069593e-05	3.1050433529793115e-05	0.0	0.0	4.537751186628075e-05	8.0	2.820630279016735e-05	3.9410957779188436e-05	0.0	0.0	6.670771909422172e-05	0.0	0.7628851558017754	0.8314591023906991	Agathobacter	0.0
Akkermansia	8.0	0.0072233286848660035	0.006800148164742484	0.0012704031201566529	0.005285220813484969	0.013630296023677527	8.0	0.1256928789889956	0.04944737095749471	0.08607662302099225	0.13983760594795872	0.1671734519871071	0.13455238513447373	0.000777530446940383	0.03356798115171631	Akkermansia	4.7246073357606555
Alistipes	8.0	0.0990147494286065	0.022897068202288713	0.08395282538533569	0.09213483347626242	0.10824599910160618	8.0	0.10586563234507387	0.016430340877654798	0.09448235111740766	0.10643655644306016	0.11352033106905578	0.014301722966797742	0.3445623653256964	0.49884402144167983	Alistipes	0.20816682134972053
Alloprevotella	8.0	0.013776996333111025	0.013960625948601186	0.0035628636681533693	0.00898048130648809	0.018896706226178478	8.0	0.039349516661839404	0.01467565142059408	0.031195298809176895	0.043694996994192714	0.047777382422825074	0.034714515687704624	0.008651541533947503	0.03356798115171631	Alloprevotella	2.282099215079316
Anaerosporobacter	8.0	0.0	0.0	0.0	0.0	0.0	8.0	9.507039342608897e-05	0.0002688996795266419	0.0	0.0	0.0	0.0	0.31731050786290727	0.4964374074629355	Anaerosporobacter	0.0
Anaerostipes	8.0	0.00011466455999041515	0.0002942819962226573	0.0	0.0	2.5959684332743813e-05	8.0	0.005400819301463061	0.006140186751455475	0.0007280653816966093	0.005276785725873803	0.00609004339016606	0.005276785725873803	0.0059643347707651366	0.03356798115171631	Anaerostipes	10.38407506473802
Anaerotruncus	8.0	0.0024829948032082283	0.0014229755551502903	0.0013257595452516348	0.00204978603558911	0.0031871552889237206	8.0	0.001316206091303256	0.0012840821964354746	0.000309387416410462	0.000874076704194421	0.0018176166321337453	-0.0011757093313946889	0.05870740843120496	0.14236546544567202	Anaerotruncus	-1.2259125069531347
Anaerovorax	8.0	6.593312130810979e-05	8.547188518612978e-05	0.0	1.8355359765051395e-05	0.0001296054784036364	8.0	7.469072950920422e-05	0.000117092156509741	0.0	0.0	0.00012008842891112232	-1.8355359765051395e-05	0.9078685009495187	0.9677279625505858	Anaerovorax	-2.4969754574318834
Angelakisella	8.0	0.0007936610566149468	0.0007340622805889588	0.0003394433427975475	0.0006106726832558883	0.0011288266737071201	8.0	0.0008487855196704479	0.0014634636381935556	0.0	0.00026483350847012567	0.0008752761737606145	-0.00034583917478576265	0.4274785219508318	0.5923630947032955	Angelakisella	-1.1932514603851132
Bacteria	8.0	6.015118323406833e-05	4.558999619480464e-05	2.433563710697946e-05	6.866169340510236e-05	9.463534508018484e-05	8.0	2.8866672288380525e-05	4.319057140510347e-05	0.0	2.032267999070292e-05	2.818907325439632e-05	-4.8339013414399446e-05	0.20082512269514097	0.34785780181122633	Bacteria	-1.580803917418958
Bacteroidales	8.0	3.52707050592094e-05	6.167280814612547e-05	0.0	1.1740212576115711e-05	3.176023432975601e-05	8.0	5.7552950076553766e-05	4.435776359149649e-05	2.9386347226869744e-05	3.879213150819443e-05	0.0001015335433257347	2.7051918932078715e-05	0.1098194088152372	0.21739760520567364	Bacteroidales	1.4456989877275674
Bacteroides	8.0	0.017561355936966	0.00601129677646394	0.01266531483202946	0.01653706017068856	0.020806365840189772	8.0	0.0318791249977703	0.009342273215486753	0.02612249147933522	0.03327960500004891	0.03760757282088538	0.01674254482936035	0.008651541533947503	0.03356798115171631	Bacteroides	1.0087621200873764
Bacteroidia	8.0	1.7154359528725834e-05	2.748351710356246e-05	0.0	0.0	2.58964556968609e-05	8.0	6.940049278601558e-06	9.707311576547829e-06	0.0	0.0	1.645387693567487e-05	0.0	0.6727535536421823	0.7696368824332146	Bacteroidia	0.0
Bifidobacterium	8.0	0.00016756150806407908	8.746419594223882e-05	9.895506726434759e-05	0.00015890932899733506	0.00019698983673152476	8.0	0.0007031779997072829	0.0004642247087124144	0.00035261661313708997	0.0006569705592261882	0.0011356970409320609	0.0004980612302288532	0.008651541533947503	0.03356798115171631	Bifidobacterium	2.020839616160403
Bilophila	8.0	0.0006079451194879708	0.0003494182537599157	0.0003439999539731269	0.000655186283227246	0.0007941952030199855	8.0	0.0005671745182362325	0.0007652547652556807	0.0001259914976990461	0.00022940056179519426	0.0005587301223789012	-0.0004257857214320517	0.2479958148314818	0.4009265673108956	Bilophila	-1.4980713296669457
Butyricicoccus	8.0	0.0029158071377217254	0.001912432748096431	0.001756742082850019	0.0026256469114332797	0.003923944360760577	8.0	0.0008918290610369586	0.0006946979062015124	0.00045408220112648447	0.0006085479527357814	0.001038015240105918	-0.0020170989586974983	0.011718685599768571	0.04059687511348398	Butyricicoccus	-2.102061791255613
Butyrivibrio	8.0	0.000917792666082984	0.0004959824303214426	0.0004698116680164679	0.0009797243203061383	0.0012119923118645598	8.0	0.00019206292662858227	0.00023623874604321283	7.077269262875186e-05	0.00013386123346490814	0.00018333676613076	-0.0008458630868412303	0.003253081040060979	0.03356798115171631	Butyrivibrio	-2.835472556894331
CAG-873	8.0	1.4056426088402678e-05	2.275369416041671e-05	0.0	0.0	2.090430871127001e-05	8.0	7.574326684862671e-06	1.4166275963879513e-05	0.0	0.0	6.640694173897645e-06	0.0	0.5231857390945571	0.6573766173051493	CAG-873	0.0
Caldicoprobacter	8.0	8.794971621558234e-06	2.4875936295788295e-05	0.0	0.0	0.0	8.0	0.0001671889179103387	0.00014472644379539678	0.00011354629571908202	0.00016515241506609782	0.0001932162835590975	0.00016515241506609782	0.007773956552267298	0.03356798115171631	Caldicoprobacter	5.419318767883945
Candidatus_Arthromitus	8.0	3.324242803232313e-05	6.211293401800937e-05	0.0	0.0	2.935053144028928e-05	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1441270348160098	0.2637796674934519	Candidatus_Arthromitus	0.0
Candidatus_Stoquefichus	8.0	0.00011509640262529958	0.00019187685344490145	0.0	1.6173247830763133e-05	0.0001412944967025897	8.0	4.173442136595998e-05	8.537886498035161e-05	0.0	4.133495366351695e-06	3.732944553032806e-05	-1.203975246441144e-05	0.7364683284321671	0.8296959000854074	Candidatus_Stoquefichus	-1.31563776009477
Christensenellaceae	8.0	0.00024000875813519636	0.00011782705617409369	0.00017349525779161135	0.00023868555011607976	0.00030657000799408607	8.0	0.0012008591714640063	0.0010146805061992173	0.0004793832690135621	0.0008105399191751873	0.001681919631804574	0.0005718543690591076	0.002322094515878006	0.03356798115171631	Christensenellaceae	1.7470990851362824
Christensenellaceae_R-7_group	8.0	0.0005941754138080156	0.0003443296131348658	0.00037891796686739896	0.0005005143874542912	0.000693725421627569	8.0	0.0006849516651136326	0.0003264935883751378	0.0004226709542904941	0.0007302699438197144	0.0009114280322651495	0.00022975555636542324	0.4622499461255404	0.6059222266780732	Christensenellaceae_R-7_group	0.5414584165622855
Clostridiales	8.0	0.0006544276594721831	0.0003537143567253182	0.0004934286139202432	0.0005677327665665592	0.0007225088854973653	8.0	0.0008483395821466937	0.0004921176097931061	0.0005019524688927608	0.0006565836704521311	0.0010668837387823628	8.885090388557188e-05	0.528612125255687	0.6573766173051493	Clostridiales	0.20841674943123323
Clostridiales_vadinBB60_group	8.0	0.002664326766877241	0.0015678066566922459	0.001784739686820118	0.0021628032054073643	0.002815338424815851	8.0	0.0034679733105837016	0.0028132430332183495	0.0018101961189998582	0.0022655027066975824	0.004150965134662083	0.00010269950129021804	0.75271380626305	0.8296959000854074	Clostridiales_vadinBB60_group	0.06680953608979046
Clostridium_sensu_stricto_1	8.0	0.00013316432598704168	0.00018620392027730393	0.0	0.0	0.0003142402983871372	8.0	0.00870237006655324	0.00898871015543525	0.0010676752132379756	0.007803481522762726	0.012810621705614277	0.007803481522762726	0.004269004938031706	0.03356798115171631	Clostridium_sensu_stricto_1	10.948183987565837
DNF00809	8.0	3.60925559345689e-05	3.369454191691202e-05	0.0	4.351548650960683e-05	5.1572920439440066e-05	8.0	1.4411526631012776e-05	2.759084211281986e-05	0.0	0.0	1.113198977638059e-05	-4.351548650960683e-05	0.16491482255329665	0.29623588495684766	DNF00809	-3.5864079598570555
Desulfovibrionaceae	8.0	0.049967568632279996	0.016148301085654012	0.041890962587499636	0.05589360913369968	0.06027319890334686	8.0	0.0415543536954327	0.021036069189554658	0.03381100104104004	0.04201071970913019	0.04981973358813242	-0.013882889424569493	0.3445623653256964	0.49884402144167983	Desulfovibrionaceae	-0.4118921299944942
Dubosiella	8.0	0.007798393587638598	0.005855871811601983	0.0032862771703866503	0.007187570993159439	0.010507397663002498	8.0	0.001651166469615359	0.0013493324639784173	0.000686743242243596	0.0010183785127294025	0.0031140080246994132	-0.0061691924804300365	0.006322947695810918	0.03356798115171631	Dubosiella	-2.814436091403362
Eggerthellaceae	8.0	1.2619309838472835e-05	3.569279824271303e-05	0.0	0.0	0.0	8.0	3.4940674522190755e-05	5.076500816264623e-05	0.0	0.0	7.072473866531659e-05	0.0	0.24090040173357105	0.3960565926806168	Eggerthellaceae	0.0
Eisenbergiella	8.0	8.394571896131164e-05	0.0002374343485164944	0.0	0.0	0.0	8.0	4.157194914087497e-05	8.97789154651808e-05	0.0	0.0	1.996152869016078e-05	0.0	0.6439543834518374	0.7617509170101003	Eisenbergiella	0.0
Enterorhabdus	8.0	6.277308278643982e-05	7.195793612303379e-05	5.162089613875697e-06	4.629730622801639e-05	8.346430596493202e-05	8.0	2.9127190833374013e-05	4.8152873109794536e-05	0.0	0.0	4.289493653299486e-05	-4.629730622801639e-05	0.22783492811639702	0.381034276332595	Enterorhabdus	-3.668572598287348
Erysipelatoclostridium	8.0	0.00105995850563079	0.0009073159584531412	0.00021431972155127186	0.0010083708096491205	0.0015852778299611562	8.0	0.0014845869653101057	0.0015387164072192291	0.0005067952576826656	0.0010723766921036265	0.0014878427850249518	6.400588245450596e-05	0.6744240722352912	0.7696368824332146	Erysipelatoclostridium	0.08844934018551243
Erysipelotrichaceae	8.0	0.00029603307420714067	0.000284166699642884	0.0	0.000278584396478582	0.0005561928930050831	8.0	0.0006546564856721656	0.0007430040440160858	0.00015554873445549648	0.0003999119837277084	0.0009024570692514161	0.0001213275872491264	0.39376863464299117	0.5616993758877963	Erysipelotrichaceae	0.5154333296542699
Faecalibacterium	8.0	2.153862586212031e-05	3.0831772510289695e-05	0.0	0.0	4.5763132824991066e-05	8.0	1.0528935649017345e-05	2.0071889935382268e-05	0.0	0.0	8.295932504293144e-06	0.0	0.4435984319578362	0.6059222266780732	Faecalibacterium	0.0
Faecalibaculum	8.0	1.9609189753942625e-05	3.709326129819879e-05	0.0	0.0	1.606093979441997e-05	8.0	0.00014941651750403326	0.00017439898313708282	1.6332159837404277e-05	9.582770242330954e-05	0.00021253676929496843	9.582770242330954e-05	0.043466113000666155	0.11711702669623937	Faecalibaculum	4.658220531720534
Family_XIII	8.0	0.00012636766206879725	0.00011033684174857527	1.3460909114074275e-05	0.00013579255376633487	0.0002255073068557175	8.0	0.0005351369552211003	0.0004032387768479808	0.00031027953290498436	0.00044601790720437173	0.0006481618041413663	0.0003102253534380369	0.0157143497722189	0.047634122747038536	Family_XIII	1.6870390818262795
Family_XIII_AD3011_group	8.0	0.00021384489957780673	0.00012018024831851658	0.00013264984800988257	0.00022025484197941652	0.0002917635276920314	8.0	0.0003676570075063705	0.00012237963317179905	0.00030459363243067286	0.00037315682234627536	0.0004572479341149817	0.00015290198036685884	0.045999366875037154	0.11741943649680538	Family_XIII_AD3011_group	0.7501515576987448
Family_XIII_UCG-001	8.0	0.000121438121997633	7.475134413687239e-05	7.800601516092834e-05	0.00011459914628541254	0.00015250050976316166	8.0	7.669908957740758e-05	6.480781879210563e-05	1.8665848134659578e-05	7.927656131950476e-05	0.00012748264984409994	-3.532258496590778e-05	0.2072440909861806	0.35267854080104416	Family_XIII_UCG-001	-0.5103609088011183
