	diff.btw	diff.btw	diff.btw	diff.win	diff.win	diff.win	effect	effect	effect	label	label	label	overlap	overlap	overlap	rab.all	rab.all	rab.all	rab.sample.C1	rab.sample.C14	rab.sample.C15	rab.sample.C16	rab.sample.C17	rab.sample.C18	rab.sample.C19	rab.sample.C20	rab.sample.C26	rab.sample.C27	rab.sample.C28	rab.sample.C29	rab.sample.C3	rab.sample.C30	rab.sample.C31	rab.sample.C32	rab.sample.C38	rab.sample.C39	rab.sample.C4	rab.sample.C40	rab.sample.C41	rab.sample.C42	rab.sample.C43	rab.sample.C5	rab.sample.C50	rab.sample.C51	rab.sample.C52	rab.sample.C53	rab.sample.C54	rab.sample.C55	rab.sample.C6	rab.sample.C62	rab.sample.C63	rab.sample.C64	rab.sample.C65	rab.sample.C66	rab.sample.C67	rab.sample.C7	rab.sample.C74	rab.sample.C75	rab.sample.C76	rab.sample.C77	rab.sample.C78	rab.sample.C79	rab.sample.C8	rab.sample.C86	rab.sample.C87	rab.sample.C88	rab.sample.C89	rab.sample.C90	rab.sample.C91	rab.win.OVA.H	rab.win.OVA.R	rab.win.OVA_t.H	rab.win.OVA_t.RT	rab.win.SH.H	rab.win.SH.R	we.eBH	we.eBH	we.eBH	we.ep	we.ep	we.ep	wi.eBH	wi.eBH	wi.eBH	wi.ep	wi.ep	wi.ep
	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA-t	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA-t	TempSH	TempSH	TempOVA	TempOVA	TempSH	TempOVA-t	TempOVA-t	TempOVA-t	TempSH	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA-t	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA-t	TempSH	TempSH	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempOVA	TempOVA	TempOVA-t	TempOVA-t	TempSH	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH
A2	2.68711577215454	-2.6918216255429	-2.87272355433814	6.44731960551704	3.9973825960013505	5.01876928206388	0.40341168442502506	-0.539132404245472	-0.543186592082095	Not significant	Not significant	Not significant	0.34960942756316604	0.244791753351724	0.257812600589301	-3.99909648394316	-1.6590860120853401	-1.1079805657508002	-6.24655438163166	1.8104663815581203	3.3307137340857	-8.28966078224917	-7.458886768776269	-1.50631575540223	-1.47211305892831	1.71007362179842	0.8189932979851359	-7.05824337869218	-7.2033859099698	0.607091933413423	1.4562165388264998	-1.26067655142	1.59608389877165	-5.86966714121512	0.9073499314029008	-6.6311658448209	-6.77872754077255	-8.449634470226231	0.136527844208169	-5.920078308148001	-0.0853367343871545	-7.195784294780481	-0.86930250342027	-1.11385723496053	-1.95697493621339	-8.04848170231125	-5.85808837415228	-2.34843899339752	-1.34006408919711	-4.92340162514872	-6.86337984417313	-7.518322730637901	-8.03351411862206	-1.33359560134318	-2.42692173290027	-6.8005016012133	-1.5200460003065601	-1.78542983952756	0.854111240171735	-2.2247688621391	-4.814642343807191	-1.47987864228224	-0.677318070932801	-1.00934519939134	-0.274413625667975	-3.36634651069609	0.7060818958160859	-0.926157843112163	-1.3498163940497898	-1.7717299427392	-5.90001956183933	-3.42933461180305	-1.2608071851019	-2.75738164415178	-0.0184398329874362	0.591327443243339	0.41948831369884604	0.215965838338052	0.35828752970084293	0.0856625471645137	0.11293900426897001	0.643232783810923	0.46062644357589605	0.23418728879137804	0.378739316239316	0.0898590573513174	0.126549145299145
ASF356	-0.710716944994807	0.308319970032358	-0.41326764432820795	2.13228150455545	2.53821945050938	1.13979273848381	-0.25152241676101106	0.0846611461865629	-0.31942565705182596	Not significant	Not significant	Not significant	0.350877244812951	0.411458356292595	0.34307997714535304	-0.0275651459167294	0.171793316524242	0.785228050682345	0.432994239626755	1.57175011972557	0.292352382058101	0.154827895108329	-7.6670723074589	0.649116492795536	-1.7315881196759901	0.440275115892113	2.2463462809909402	0.8844766637780508	1.0225244874216899	1.9551890311908102	0.943385263144997	0.080075586842252	-5.368785059465781	1.08648716338974	1.2742480162502199	0.6471258125363001	1.2390648589095101	-0.4078337526575901	0.287346982896788	-0.285815711119669	-5.6503576346717	0.661640381771691	0.6763984949890411	-1.50733466704642	-0.25261590176181803	-0.733696713917877	-5.56187925785691	0.995688545404812	0.721966745798708	0.5907284360042719	-0.33438998954366306	1.69338293079456	-1.7264418536900703	1.2793200655843	-0.244481242861395	0.28507292174930604	0.621800593213227	1.10824635096425	0.604134312832914	-0.3604657696049529	1.3995797567080301	0.760299014333467	-0.31645082732407503	-0.20406664543164998	0.786165427555511	-1.76388987649405	-1.2060352891291202	-0.262533122984273	0.13413288234706	-0.566299723034863	0.322564921071964	0.296625231029914	-0.0167052245012744	0.681455463764713	0.8761339575464809	0.55058256144285	0.8537037277273559	0.35186089312857	0.276462733738369	0.520895792500973	0.22190869468249103	0.6341697287540871	0.9033107966677758	0.497008867288424	0.33719891219891196	0.562462957901232	0.3583005536130539
Acetatifactor	-0.370061627148524	-0.766598042826907	-1.16421573189568	1.7090619736297399	2.79451648425215	1.4544597214227801	-0.23689930226707603	-0.21235924972289302	-0.773125832661629	Not significant	Not significant	Not significant	0.34375005504603995	0.415944562379157	0.195312654068659	1.6291971960802298	2.13985174110526	2.5490712131190603	-0.6334345779369109	4.47165121689367	2.44124163943121	1.41688047421623	0.8919226048133199	4.8826962950102	1.33952852694581	0.32032708379602304	3.6570137333208197	0.743239141179832	-0.38220157462751597	-0.8005609460996149	2.81308478817778	3.4183361491513504	1.9824862931377198	2.51198338614067	4.12047876516219	2.12562577502133	1.33818116888573	2.16933167528031	1.8826125440316002	4.8163180779431904	2.1234826086396	0.46060308825454493	4.51660377884179	3.3006435089233195	1.8607965861348101	-0.37960775127190394	0.8369639456340559	2.8387309557767404	1.6336105565779497	2.16283218322874	2.17508976764114	3.24820883409356	1.69929458199784	0.818421670353083	3.05676038425066	0.526803771747514	2.61291453763592	1.80942941405802	2.14157483696462	1.6224942650395802	-5.626618368250001	1.8248835508851498	2.39204609880154	2.18546328249256	3.32115414128775	1.5995586789066598	1.81132921853991	2.30987563775919	3.83088257476708	1.5702274731779	1.7470293963797598	1.11669512784805	2.2758327689832996	2.1522303748427	3.30183971213089	0.624096674877066	0.834071885330738	0.0928126808670979	0.373585381953242	0.43114176094303497	0.0314342326411721	0.661316956733056	0.918244189619076	0.11234160744245	0.385586635586636	0.543537828270801	0.0456233003108003
Agathobacter	-0.564738613632777	-0.775389813587206	0.0013872359315634198	5.10568008966944	4.9112398735440195	4.849130927997219	-0.10579681395325301	-0.13137143462598	-0.000310512116597813	Not significant	Not significant	Not significant	0.453125015033269	0.435008682058385	0.5	-7.23597168587957	-5.95495523378317	-5.42469323390437	-6.73154370787892	-7.837214287509361	-2.8291834365685697	-2.00901412954418	-7.43791128453587	-6.913159239646441	-6.126912379149309	-5.64244954693682	-7.470656859686629	-7.19169483132359	-6.8382235111383896	-2.5359227608286403	-7.34478718834141	-6.230401093406531	-5.22526638879466	-1.8108098252072	-7.80564361588578	-6.95526560892086	-7.074064361490639	-8.0074374302662	-8.46327281054896	-6.55752007072324	-0.49986018091487294	-6.869221299088651	-7.188270350531781	-7.2600154346157	-7.3825719496540705	-8.005311358041919	-5.40003697660739	-6.51261674567253	-7.18729572951825	-3.57699378656377	-6.596522404474701	-7.84159081483684	-8.55062856030976	-6.299027797925639	-6.6974793964757895	-6.210702215638371	-1.75423064884605	-3.1743866998153902	-7.06433710768903	-7.49345076255018	-4.509902595666481	-7.91182523304682	-6.722460057897611	-2.00769738389822	-2.47789402140109	-8.1199936119381	-8.22411654728255	-6.7382996555268395	-7.359050818130469	-7.44573556519897	-6.9801345669568	-6.162677815987379	-5.736092511338541	-5.17453271773019	-5.616029569740849	0.7305318518181391	0.8149654278064549	0.7575418706872991	0.550075177573614	0.491149448084127	0.650578365770296	0.760960333368963	0.8643456858261171	0.8099556192584809	0.571159916472416	0.560300139102384	0.716139763014763
Akkermansia	1.3907836451338402	0.30124874803376	4.68369509812968	1.7575139120368002	3.46826303202121	2.70952425866782	0.8940483492271779	0.0854678395197847	1.78272797955613	Not significant	Not significant	Significant	0.17187518320915804	0.461805565205286	0.0156275012535498	7.699840532611621	9.17961084084199	5.83564458176319	9.21908386275507	2.23105133069525	7.40983325305223	8.045446157737889	7.90485217636559	7.6446967610496905	9.2533222571363	9.41468575062741	-1.35448462563739	8.95634313598843	8.219774709747501	7.87549667214497	0.784854401538434	9.024497214678949	11.390935907141198	9.73323536271329	3.9994226071486803	9.06047638494058	9.49198507498954	4.62836393099587	6.702324243556629	10.879431365910802	10.0822550466435	6.42678175108218	5.64869553803244	8.91125202851255	7.29223222140728	8.652482887020861	11.562140991459101	9.358983884385001	8.39208950586896	4.81442098554368	9.75856615719442	5.272732537212599	8.748358573640049	9.073333269115881	6.20466259180933	7.96632689166776	4.39328790396349	5.77910152462507	5.3434336192917105	9.20617567356248	10.7348093002779	5.1863733141569694	8.78519392196183	5.84922234367601	7.84265670580804	7.47032231790516	7.28561925563229	5.32733728203337	-1.5589734226824201	8.16316203647386	6.94717575505848	9.1204507088158	9.24180639939031	8.897765061958038	4.22594647119277	0.144156125281395	0.812940428583267	0.009236262250911998	0.0230705191441884	0.369737630483633	0.000473452640287294	0.156595465702905	0.961143233904034	0.00726329226329226	0.0323632964257964	0.7878032377838879	0.000314442501942502
Alistipes	0.12274433224281502	0.130063778650364	0.11424206696711801	0.712153553068006	1.21969426486399	0.778253082383208	0.164042767080394	0.0981194177678403	0.124890715805961	Not significant	Not significant	Not significant	0.421875025456736	0.45407280188817895	0.46198831620005	7.919408398758679	8.980489720249631	8.23813020431748	9.06782401116832	8.55012429492692	7.465815457607079	7.37504297040864	8.67065479347985	6.7944741365091	9.106077220664641	9.70168586652025	8.68845422553759	8.86970463741463	7.90543179643328	7.78421119257334	8.2119798733426	9.52054576959786	9.58579651165624	9.36079124962513	8.05406285232743	8.796584491040528	8.79969728220618	7.83913017868786	6.945019445103509	9.13366291548548	8.81246685210503	8.40304872041651	7.99598765124056	8.09805219438022	7.51561070584576	7.898681208926161	9.357651802335631	8.078999292758251	8.6793902779742	7.79584047784393	9.033200659280721	7.706874682204879	7.863356305663349	9.35665265679416	8.67255007631672	8.03042476007308	8.27250718694011	7.2338682842490005	8.00928695498112	8.081863943512339	9.82585023627897	7.505026007786309	8.63729611774772	8.24698049937548	7.8729948474694	8.19606884549577	7.9678213216943	8.2016324024079	8.24204830185522	7.9469087589303	7.8875395689005	9.14176053329617	8.78143658647563	8.44171890216102	8.220432368604339	0.8102804781065559	0.9557772621706709	0.8764259248128721	0.6496697150244231	0.867031002445961	0.809816257976972	0.8108069276139079	0.949098719069009	0.865091263398473	0.628353243978244	0.740769582584598	0.793652874902875
Alloprevotella	-0.4736515872667029	1.10507816660855	2.03796118352922	1.49432564333556	2.01453349471918	2.20669192542923	-0.183954201020686	0.5490513896579471	0.945024269194628	Not significant	Not significant	Significant	0.36062382952852895	0.29340284035285197	0.13085963293592098	6.804870322372709	7.1361491357400295	5.82648118852202	7.03122599609166	5.541805100264139	4.52826996898603	6.9041550626701	6.28756854335109	6.86071043606542	5.2831109423650995	9.01376028353077	2.28447566252482	7.295370104572151	7.7091573674833604	6.2853879437933395	5.3094053617574195	7.3332672639434096	7.58945976531289	8.29009884565763	3.60875137119642	7.56867540423765	7.89275030051836	6.953663752145769	4.591441256343599	6.63318883312037	6.4088692783389405	6.680880795794519	4.00558065311656	6.34376018011284	5.3196721278382695	5.9437058563955905	7.759032858063049	6.133275861115941	7.35985668443751	6.03900180355082	7.7472946657585595	7.881959263135071	6.827176503547371	8.5875571201326	4.43417057657629	8.70031823174635	3.02158464326919	5.38843753521916	7.56914920063604	7.012531346065179	9.711764087321288	3.97127170683424	7.31181352196445	7.225162877372299	7.04933125642873	0.919232914969003	6.857887716624759	7.138168567976019	6.89330716692636	6.60577556619379	6.945535845287731	7.371884177924611	6.72769506974391	7.180387735960081	4.74215775879805	0.9332951680106801	0.43611187113292404	0.0559779650615715	0.866844971670236	0.0736343096228773	0.0139032778652029	0.687556759903366	0.545928195715323	0.0598971850828033	0.40589549339549297	0.12105476276819199	0.0180944055944056
Anaerosporobacter		1.00008333178866	0.86423457404456		5.19665845641733	5.1803415075780395		0.17538770317734198	0.15231537310065		Not significant	Not significant		0.42534724140052504	0.43274855969941706		-6.2424213029054405	-7.26824558006177	-6.777081649935041	-7.816196466452721	0.6012850748050971			-7.8363761447624505	-6.062647243253631	-5.743095602665429	-7.203437642409299	-7.099538197796759			-7.76734791287315	0.967063419084472	-4.748495573962249	-6.47730254760772	-8.12778783280491	-6.72370868178151	-6.74250384540916			-6.114283088820361	-6.11812377344732		-7.879274261936001	-7.84384054559368			-5.82176487843459	-6.582896785447001		-8.48676944593871	-6.58526250417906			-6.03155771848825	-7.144394072216719	-6.69967897480134	-6.805363331793551	-8.49908646186728			-4.62728299081859	-8.083564903393741	-6.7715396807187105	-6.70806155917833	-8.23382600508303			-6.5223906154313305	-7.46428345178519			-5.86468168820591	-6.5227813943137	-6.919479626218821	-7.57796810062683		0.7871002303142322	0.587584659694256		0.491981276119919	0.47519093414321206		0.8337223672339991	0.6043734033931301		0.5256975754508649	0.500098339160839
Anaerostipes	10.0061064990609	-2.05141920824491	8.47425447331965	6.47068290492982	8.345140657083599	5.1012240687208	1.50675829065211	-0.24028547756603402	1.31710563675344	Significant	Not significant	Significant	0.00197273405648325	0.362847259474296	0.105263489677621	2.19859447091535	-1.06011396705552	-1.31201226108086	1.7872296382213402	-7.4688214746513895	-8.51204840575274	-7.70549815392918	4.72449139921692	-7.5931260365561295	-6.29498722268502	1.5590990196061998	-7.47864710627769	1.59015466229644	1.92258208552966	5.58815576175416	1.39590868178056	-6.157780462471499	3.82660556390944	-5.99970815534463	-4.47297187108132	4.66941285108295	0.124113198654365	-7.5351796097214105	4.66805059693968	-5.8271539975336095	4.91798312809854	1.61382333604073	-7.16633686554031	4.09074884798786	-8.170133023017009	5.916673688000281	-1.45851316427807	2.57933848008385	3.7297145469419504	-3.05258085653248	4.89024276842887	-7.36277370238015	3.6341315328041297	3.10517318298092	3.7848912250496296	-7.03289413528853	-7.10226201011022	4.63451508778413	0.36637653658540004	4.3234275905551	-1.6881624994648898	-7.672601069616539	1.96340153587536	-7.3821576959731	3.74496115952389	-7.80880752178242	2.42938370510469	1.13127571508499	-7.72159381928508	4.52157280747342	-5.95193441271812	-2.05946310513206	1.81503988711299	3.9369359450709505	-5.550328129725701	0.0407299851017739	0.8426627683847541	0.0411363640024908	0.00233970694645338	0.495514741452452	0.0111298217325507	0.0100008903133903	0.8114641646006909	0.0378000906763049	0.000157828282828283	0.34788856654181705	0.00898649961149961
Anaerotruncus	-0.445188778428352	0.0704442508209224	-1.72341014874628	2.2432998465229197	3.1804091474513	1.62226198163297	-0.23672113931629699	0.0271119137110088	-0.913404897366513	Not significant	Not significant	Not significant	0.413255388944119	0.493055557300151	0.22807029771231802	1.42922574779729	2.36547107534109	2.22617546839486	0.602060162155746	3.20483419790824	0.309610705174034	2.1591362492446295	-0.830818328728957	3.08143678105405	4.66013735353431	-1.1621177984297502	3.51195627857131	0.0649364225192404	1.7025695295939698	-0.946441776899118	2.90295526152399	3.27345847155699	0.462657599272068	-5.95856063543254	3.9156331754052203	-0.18419466464999298	3.3644211478579105	1.45930559101165	2.2228137449679197	0.21378193784458202	-0.954700371872285	1.9178717698481598	1.98698403981635	3.4606918806481897	1.69705743905201	-0.656434739028526	2.44972086075948	3.52267557391315	0.97150726177441	1.34530485088003	0.668148813551059	-0.9777369854763002	-0.57708358793754	-0.31726299993286	1.63379528179023	3.2105746584170802	2.79902273780067	0.518992738342502	1.4374332463645902	2.16954210459935	2.86281747847491	3.0920428151288997	2.6424675007372	2.2643682220466403	2.1250079240598403	-0.0911705587105489	2.1574937453031997	1.91895420423688	3.80478670227809	0.22936025021338802	1.5656690291526898	2.41389197499528	2.16264730596717	0.614162523298606	2.8480197176525497	0.631175708851116	0.8621776314086009	0.105391430923281	0.38530475022909405	0.509841329865017	0.0377176629681571	0.8363816493549499	0.9780893250278381	0.157279195864153	0.666904623154623	0.8993566176470591	0.0721955128205128
Anaerovorax	-0.39471595772948204	-1.30655167868469	-0.481938782135647	6.0948062734727	4.81944978644752	5.79297804184888	-0.0569056492354038	-0.22192682461285895	-0.0747956728739036	Not significant	Not significant	Not significant	0.471734901766446	0.39583336068431496	0.44249514515882	-5.26333112113585	-5.78608500304762	-4.93027392977621	-6.59355975244738	-0.731593310746202	-1.1344047012447198	-0.5867493720072939	-8.293706343070081	-7.46965963497738	-6.279358818802919	-5.49494674266122	-1.6123066050901003	-7.034586816567169	-6.81223156686712	-4.99930592885749	-7.29399117869664	-6.36050157635095	-4.84335678943124	-5.787078138166669	-0.7436567707810451	-6.81763079697041	-1.6191676480053898	-1.72807118438352	-2.31575794185904	-5.29864847066005	-6.01725459051485	-7.70854187154616	-7.754217101571901	-8.032493677430491	-0.975048218018104	-8.16035303248953	-5.483007654297099	-6.760159227331611	-6.580686800586459	-7.772644152791361	-6.518034571229889	-7.79736494265879	-1.48145667551013	-6.15053340483557	-1.3232248734317	-6.374548100683151	-6.90188931628343	-1.4472905589267298	-6.96519779639503	-7.4797827051458095	-4.804348624986679	-7.75513300466635	-6.664605489234999	-2.7300569241240797	-7.42062850357441	-7.80342467662963	-1.91474126083474	-6.604061915862241	-1.75664236373298	-5.032970739160651	-5.539014082345821	-6.1619190944899	-5.46848972283077	-5.3017878610440805	-3.9868686273972305	0.809182103525385	0.770303062198334	0.7295418481338909	0.6618821319165389	0.4553312954785129	0.6230463615814079	0.8698205791121151	0.812433139929288	0.7733632808214108	0.7373737373737371	0.48740044301673596	0.677607808857809
