	A2	ASF356	Acetatifactor	Agathobacter	Akkermansia	Alistipes	Alloprevotella	Anaerosporobacter	Anaerostipes	Anaerotruncus	Anaerovorax	Angelakisella	Bacteria	Bacteroidales	Bacteroides	Bacteroidia	Bifidobacterium	Bilophila	Butyricicoccus	Butyrivibrio	CAG-873	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Stoquefichus	Christensenellaceae	Christensenellaceae_R-7_group	Clostridiales	Clostridiales_vadinBB60_group	Clostridium_sensu_stricto_1	DNF00809	Desulfovibrionaceae	Dubosiella	Eggerthellaceae	Eisenbergiella	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae	Faecalibacterium	Faecalibaculum	Family_XIII	Family_XIII_AD3011_group	Family_XIII_UCG-001	Flavonifractor	GCA-900066225	GCA-900066575	Gastranaerophilales	Haemophilus	Harryflintia	Herbinix	Hydrogenoanaerobacterium	Intestinimonas	Lachnoclostridium	Lachnospiraceae	Lachnospiraceae_FCS020_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillus	Marvinbryantia	Mollicutes_RF39	Muribaculaceae	Muribaculum	Odoribacter	Olsenella	Oscillibacter	Parabacteroides	Parasutterella	Peptococcaceae	Phocea	Prevotellaceae_UCG-001	Pseudoflavonifractor	Rhodospirillales	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Shuttleworthia	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3
C1	0	30	14	0	12990	11651	2851	0	76	33	0	208	0	4	2283	3	204	29	0	30	0	13	0	0	49	29	32	148	1093	6	5065	1032	3	0	8	73	0	0	0	12	19	12	0	31	166	74	0	103	0	0	295	674	1244	13	3971	0	14	92	0	566	0	351	66087	1445	1577	0	163	1641	2284	251	0	1238	6	44	174	129	638	131	133	261	1102	573	8	0	0	90	65	87	45	3791	65	0	927	10	0	103	0
C14	143	121	896	0	193	15293	1903	0	0	374	24	3	0	3	3685	0	11	83	268	209	0	0	15	30	39	38	67	387	0	6	6029	271	0	0	8	183	0	0	0	2	12	24	0	154	2696	881	0	177	21	74	870	1898	6523	170	3662	2462	6	385	22	187	40	600	58156	2268	2068	8	783	388	1640	255	0	971	0	68	25	0	888	897	429	135	2076	585	83	0	188	124	264	25	51	3282	95	24	0	24	33	785	0
C26	61	163	435	0	13	14320	170	0	0	396	11	0	9	18	1708	0	18	83	278	113	6	0	0	0	31	76	61	138	29	4	6369	147	0	0	3	13	0	7	0	0	4	14	8	94	1447	178	0	131	0	53	420	1666	5089	81	7649	2269	7	84	18	126	17	219	41434	1718	2393	0	935	121	1061	288	28	1002	3	19	158	0	733	1145	188	89	1369	573	52	9	231	147	322	0	1	933	28	39	8	18	46	430	50
C38	90	115	847	0	781	12958	593	0	2	737	28	236	0	0	1661	0	15	96	933	139	0	0	0	16	34	59	94	262	56	7	8377	746	0	0	1	113	0	0	0	1	40	12	35	92	2456	747	0	154	0	96	553	1460	6569	452	8333	2296	0	209	56	398	6	1609	65437	2755	1819	0	772	183	2038	314	61	1073	2	62	23	55	2510	1488	513	67	1854	814	30	18	630	104	252	17	13	6462	44	0	6	19	0	1242	43
C50	22	67	947	0	2083	10583	663	0	0	167	0	83	4	3	1968	0	41	49	467	179	0	0	0	67	30	165	117	291	48	0	8218	453	0	0	18	252	82	0	0	31	34	31	0	52	1973	794	0	212	0	90	397	1314	4113	263	9574	1742	20	109	11	272	14	565	55633	2035	1886	9	1220	1489	1441	437	0	1644	0	47	0	59	1249	796	356	90	1790	909	29	11	186	240	409	39	11	2090	0	0	16	44	0	386	47
C62	2	89	264	5	1688	13358	3953	0	8	154	0	265	7	0	1666	9	21	100	554	64	2	9	19	0	57	67	174	806	0	0	6924	1182	0	0	8	31	69	0	0	23	48	18	14	115	829	4345	0	95	0	262	1420	903	3342	89	10118	1429	33	144	10	315	17	1463	38710	1336	4160	0	1307	277	1013	278	0	2640	4	541	63	30	3641	2111	840	211	3239	1025	27	17	256	247	230	15	57	7297	884	0	0	9	73	768	21
C74	11	50	196	9	673	9866	260	0	0	221	0	71	14	7	2636	0	32	21	91	49	0	0	0	0	15	36	28	224	0	8	3265	2421	0	87	0	325	27	8	12	32	44	2	4	72	631	783	0	91	0	34	492	246	1800	67	4577	547	8	31	17	594	21	742	80302	3746	2036	0	325	190	2871	168	0	2048	0	165	50	57	1267	405	167	63	815	270	37	4	26	51	65	36	84	2545	7	0	0	10	0	240	0
C86	13	25	126	7	1627	8528	4213	0	0	135	4	105	9	0	2417	2	8	20	80	31	4	0	0	0	21	52	57	299	0	10	2833	1315	11	0	0	135	38	0	7	10	18	7	17	31	582	630	0	20	0	0	337	530	1685	19	2103	363	8	44	11	187	21	879	64296	2898	1437	0	296	238	1861	82	0	2504	0	201	138	30	553	271	89	29	664	309	46	0	38	87	84	9	9	2362	218	0	5	0	0	564	8
C3	109	75	281	0	68	11758	1556	0	104	296	0	55	14	0	1433	6	19	148	305	124	0	0	0	4	9	83	50	243	0	0	7308	1235	0	0	24	13	75	5	0	27	18	11	0	33	982	455	0	59	0	46	634	1144	3642	214	6372	1153	11	142	16	576	24	449	63277	2584	2282	0	1084	39	1509	282	18	1237	4	104	14	64	2794	959	617	180	1427	572	14	0	131	111	229	4	29	1558	16	0	0	11	22	1069	12
C15	621	76	336	9	10572	11001	1443	92	0	78	28	93	4	14	3407	0	135	154	197	37	0	0	0	1	58	117	213	116	3108	0	5379	395	14	0	16	33	92	0	38	62	62	15	0	55	540	1058	0	93	0	1	377	772	5607	60	8594	1464	56	41	8	1337	0	597	39974	1348	1832	0	337	442	2801	125	27	925	0	223	38	426	2968	553	571	565	1116	683	27	0	230	61	276	15	79	3455	296	0	2424	46	54	370	0
C27	0	53	49	0	14269	13399	4530	0	87	29	0	0	0	3	4255	0	41	8	49	13	0	15	0	4	320	42	95	217	1232	7	4267	99	0	25	0	224	43	0	0	36	41	0	0	51	412	4582	0	117	0	0	655	512	2168	52	4179	273	10	0	4	208	0	841	22227	1380	1549	0	249	1813	1443	124	0	2327	0	2151	105	162	768	147	109	342	1451	511	6	0	21	239	120	79	63	2610	35	0	1231	11	61	70	0
C39	0	44	123	0	15207	12683	5424	0	731	26	0	0	0	11	2245	0	101	36	50	16	0	17	0	0	128	96	57	217	121	5	4591	344	0	0	0	138	41	0	15	137	36	7	0	34	292	651	0	100	0	0	169	99	1243	13	4896	367	16	20	8	854	0	430	44834	1008	1612	4	237	1108	2100	80	0	1638	0	337	32	78	71	187	83	358	1375	256	0	0	98	99	29	62	72	3390	274	0	728	9	21	270	0
C51	18	13	388	0	18924	10804	3205	0	672	429	0	0	3	3	4872	2	30	8	95	82	3	0	0	0	215	21	65	163	1414	0	4350	117	0	0	4	125	150	0	0	45	50	19	0	57	647	6917	0	122	0	40	226	399	3926	53	5552	782	15	6	5	670	0	838	20483	972	1723	0	559	4703	1403	127	0	4621	0	607	19	224	1297	639	156	573	1028	819	7	0	104	305	115	33	19	4040	241	0	1231	23	74	251	0
C63	0	18	102	0	19634	11853	4889	0	675	37	0	1	0	4	3769	0	148	20	33	0	4	21	0	0	189	133	57	371	122	0	2315	399	7	0	0	122	0	6	21	124	19	0	0	32	94	831	0	81	0	34	147	49	777	5	4142	175	0	10	5	913	0	465	47132	1157	1385	4	308	1196	2777	30	0	2131	0	816	37	82	59	169	30	193	1152	243	5	0	64	87	31	80	22	3961	579	0	777	0	0	177	0
C75	31	225	369	12	5826	15875	4427	0	2623	152	39	592	18	6	2529	3	13	302	312	13	0	64	0	5	66	123	191	322	1885	0	9860	87	0	11	9	71	295	0	3	68	69	19	10	129	1124	1722	0	285	230	238	599	1109	5850	102	13423	2073	47	76	18	486	12	1386	34419	965	3135	0	1710	1079	1294	268	0	966	0	339	53	173	3944	1400	409	960	2060	1699	40	0	173	258	302	18	113	3576	361	30	1713	14	187	670	3
C87	37	77	448	8	10241	10453	5937	0	600	195	0	65	3	14	4302	2	149	36	57	17	0	25	0	0	35	52	92	1071	0	0	8216	14	13	0	0	60	0	0	61	11	32	12	8	54	198	898	0	107	0	72	481	217	2541	6	13816	392	7	38	0	673	0	1257	38185	1970	8474	3	605	310	1468	106	24	1496	0	393	93	19	386	280	77	923	1220	525	52	13	127	59	91	208	18	2868	240	0	1057	2	31	293	6
C4	0	70	75	0	21633	13504	7119	0	33	311	10	144	2	0	4316	0	46	17	87	0	0	23	0	30	58	73	45	860	380	0	999	85	0	0	0	599	25	4	7	18	40	3	0	64	100	5583	0	38	0	0	206	190	1946	13	1312	440	0	10	0	487	23	2001	30497	998	2817	0	234	2181	1264	53	0	5160	0	1815	108	99	481	146	70	104	1283	741	21	0	41	73	41	48	50	6661	1386	0	1043	0	39	58	0
C16	0	55	134	12	13560	8547	6112	0	0	230	34	13	12	3	2590	3	177	15	19	19	0	0	0	0	67	81	122	410	975	0	5526	581	0	22	10	340	0	0	13	85	78	18	6	97	1298	789	0	197	0	0	320	584	2882	185	9395	887	4	43	16	259	42	957	54770	1801	2652	0	1202	1614	2781	262	0	3112	8	421	132	176	1279	195	65	70	1445	421	6	0	51	122	177	61	76	4723	26	0	703	29	0	67	6
C28	0	68	25	0	10104	8043	7056	0	129	109	0	89	2	8	2019	0	374	12	40	32	4	0	0	0	51	48	17	351	754	0	2524	1572	17	0	0	17	72	0	39	11	29	0	0	9	363	543	0	49	0	31	183	258	749	34	2294	200	0	9	3	457	4	1061	59180	2308	1934	0	239	167	3807	88	0	1228	0	951	55	155	500	223	189	41	868	185	34	0	60	66	89	133	76	2197	136	0	1274	15	26	218	0
C40	0	44	261	0	1434	13388	7273	0	0	157	18	98	11	4	2304	0	205	26	386	43	0	6	0	0	22	47	38	173	648	0	10732	1031	0	0	16	41	72	0	49	55	77	1	16	54	1567	612	0	151	0	119	424	956	3111	115	3864	134	12	56	11	696	20	2212	42653	2247	2159	0	513	366	2675	232	0	1087	3	410	63	219	1225	670	291	97	1282	641	29	0	248	87	139	21	154	6711	719	0	1225	1	25	307	23
C52	13	45	197	0	8421	9850	2143	0	0	175	27	58	16	6	2310	3	282	18	123	51	0	0	0	0	40	62	63	550	365	5	11921	1517	0	0	0	45	35	5	19	1	0	14	4	88	686	862	0	248	0	93	483	394	2460	94	5858	322	24	38	0	294	8	594	70406	3128	2633	0	849	604	3071	359	0	2299	0	1389	233	71	993	756	206	45	1584	670	77	4	100	272	234	77	67	3079	30	0	494	26	12	567	5
