	Project	SampleID	Nreads	oldCode	Group	Cage
C1	Claire Exp J-feces	OVA_t-H6	320164	C1	OVA_t-H	10
C18	Claire Exp J-feces	OVA_t-H1	294374	C42	OVA_t-H	9
C30	Claire Exp J-feces	OVA_t-H2	283504	C43	OVA_t-H	9
C42	Claire Exp J-feces	OVA_t-H3	254672	C44	OVA_t-H	9
C54	Claire Exp J-feces	OVA_t-H4	283998	C45	OVA_t-H	9
C66	Claire Exp J-feces	OVA_t-H5	351898	C46	OVA_t-H	10
C78	Claire Exp J-feces	OVA_t-H7	322048	C47	OVA_t-H	10
C90	Claire Exp J-feces	OVA_t-H8	289132	C48	OVA_t-H	10
C7	Claire Exp J-feces	OVA_t-H9	338476	C49	OVA_t-H	14
C19	Claire Exp J-feces	OVA_t-RT1	265840	C50	OVA_t-RT	11
C31	Claire Exp J-feces	OVA_t-RT2	265378	C51	OVA_t-RT	11
C43	Claire Exp J-feces	OVA_t-RT3	295840	C52	OVA_t-RT	11
C55	Claire Exp J-feces	OVA_t-RT4	279380	C53	OVA_t-RT	11
C67	Claire Exp J-feces	OVA_t-RT5	245576	C54	OVA_t-RT	12
C79	Claire Exp J-feces	OVA_t-RT6	308830	C55	OVA_t-RT	12
C91	Claire Exp J-feces	OVA_t-RT7	314276	C56	OVA_t-RT	12
C8	Claire Exp J-feces	OVA_t-RT8	312268	C57	OVA_t-RT	12
C20	Claire Exp J-feces	OVA_t-RT9	304690	C58	OVA_t-RT	13
C32	Claire Exp J-feces	OVA_t-RT10	321124	C59	OVA_t-RT1	13
C17	Claire Exp H-feces	OVA-H1	284916	C34	OVA-H	7
C29	Claire Exp H-feces	OVA-H2	487036	C35	OVA-H	7
C41	Claire Exp H-feces	OVA-H3	293518	C36	OVA-H	7
C53	Claire Exp H-feces	OVA-H4	312504	C37	OVA-H	7
C65	Claire Exp H-feces	OVA-H5	396170	C38	OVA-H	8
C77	Claire Exp H-feces	OVA-H6	302820	C39	OVA-H	8
C89	Claire Exp H-feces	OVA-H7	330852	C40	OVA-H	8
C6	Claire Exp H-feces	OVA-H8	294176	C41	OVA-H	8
C16	Claire Exp H-feces	OVA-R1	323280	C26	OVA-R	5
C28	Claire Exp H-feces	OVA-R2	282936	C27	OVA-R	5
C40	Claire Exp H-feces	OVA-R3	290440	C28	OVA-R	5
C52	Claire Exp H-feces	OVA-R4	350368	C29	OVA-R	5
C64	Claire Exp H-feces	OVA-R5	227174	C30	OVA-R	6
C76	Claire Exp H-feces	OVA-R6	304580	C31	OVA-R	6
C88	Claire Exp H-feces	OVA-R7	343940	C32	OVA-R	6
C5	Claire Exp H-feces	OVA-R8	328820	C33	OVA-R	6
C15	Claire Exp H-feces	SH-H1	294858	C18	SH-H	3
C27	Claire Exp H-feces	SH-H2	227980	C19	SH-H	3
C39	Claire Exp H-feces	SH-H3	270414	C20	SH-H	3
C51	Claire Exp H-feces	SH-H4	267560	C21	SH-H	3
C63	Claire Exp H-feces	SH-H5	289744	C22	SH-H	4
C75	Claire Exp H-feces	SH-H6	332502	C23	SH-H	4
C87	Claire Exp H-feces	SH-H7	301616	C24	SH-H	4
C4	Claire Exp H-feces	SH-H8	284936	C25	SH-H	4
C14	Claire Exp H-feces	SH-R1	300048	C10	SH-R	1
C26	Claire Exp H-feces	SH-R2	276290	C11	SH-R	1
C38	Claire Exp H-feces	SH-R3	347214	C12	SH-R	1
C50	Claire Exp H-feces	SH-R4	293564	C13	SH-R	1
C62	Claire Exp H-feces	SH-R5	304766	C14	SH-R	2
C74	Claire Exp H-feces	SH-R6	322910	C15	SH-R	2
C86	Claire Exp H-feces	SH-R7	264640	C16	SH-R	2
C3	Claire Exp H-feces	SH-R8	299224	C17	SH-R	2
