	Aerococcaceae	Akkermansiaceae	Anaeroplasmataceae	Atopobiaceae	Bacillaceae	Bacilli other	Bacteria other	Bacteroidaceae	Bacteroidales other	Bacteroidetes other	Bacteroidia other	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Caldicoprobacteraceae	Carnobacteriaceae	Chloroplast other	Christensenellaceae	Clostridia other	Clostridiaceae_1	Clostridiaceae_2	Clostridiales other	Clostridiales_vadinBB60_group	Corynebacteriaceae	Cyanobacteria other	Deltaproteobacteria other	Desulfovibrionaceae	Eggerthellaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XIII	Firmicutes other	Gammaproteobacteria other	Gastranaerophilales other	Lachnospiraceae	Lactobacillaceae	Lactobacillales other	Marinifilaceae	Mitochondria	Mollicutes other	Mollicutes_RF39 other	Moraxellaceae	Muribaculaceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Proteobacteria other	Reyranellaceae	Rhodobacteraceae	Rhodocyclaceae	Rhodospirillales other	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Staphylococcaceae	Tannerellaceae	Veillonellaceae	Verrucomicrobiales other
C1	0	12990	0	0	0	0	0	2283	4	0	3	0	204	2284	13	0	0	78	0	1093	0	32	148	0	0	0	5094	17	2032	0	43	0	0	74	6972	566	0	1577	0	0	351	0	67532	0	251	129	0	0	4089	0	0	0	0	44	11825	7293	0	0	1641	0	0
C14	0	193	0	8	0	0	0	3685	3	3	0	0	11	1640	0	0	3	77	0	15	0	67	387	0	0	0	6112	14	484	6	62	0	0	881	20230	187	0	2068	0	0	600	0	60424	0	255	0	0	0	2874	0	0	0	0	68	15318	11722	2	3	388	0	0
C26	0	13	0	0	0	0	9	1708	18	0	0	2	18	1061	0	0	0	107	0	29	0	61	138	0	0	0	6452	7	168	0	29	0	0	178	19989	126	4	2393	0	0	219	0	43158	0	288	0	0	0	1172	0	0	0	0	19	14478	7870	0	0	121	0	0
C38	0	781	0	0	0	0	0	1661	0	0	0	0	15	2038	0	0	0	93	0	56	0	94	262	0	0	0	8473	8	881	0	81	4	0	747	25602	398	0	1819	0	0	1609	0	68192	0	314	55	0	0	1666	0	0	0	0	62	12981	17219	0	0	183	0	0
C50	0	2083	0	9	0	0	4	1968	3	0	0	2	41	1441	0	0	0	195	0	48	0	117	291	0	0	0	8267	18	870	0	96	0	0	794	21694	272	0	1886	0	0	565	0	57668	0	437	59	0	0	2307	0	0	0	0	47	10583	10030	0	0	1489	0	0
C62	0	1688	0	0	0	0	7	1666	0	0	9	0	21	1013	9	0	0	124	0	19	0	174	806	0	0	0	7024	8	1282	0	89	0	0	4345	21090	315	0	4160	0	0	1463	0	40048	0	278	30	0	0	6593	8	0	0	0	541	13421	21414	0	0	277	0	0
C74	0	673	0	0	0	0	14	2636	7	0	0	2	32	2871	0	0	0	51	0	0	0	28	224	0	0	0	3286	8	2785	0	78	0	0	783	9624	594	0	2036	0	0	742	0	84048	0	168	57	0	0	2310	0	0	0	0	165	9916	6228	3	0	190	0	0
C86	0	1627	0	0	0	0	9	2417	0	0	2	0	8	1861	0	0	0	73	0	0	0	57	299	0	0	0	2853	25	1500	0	39	0	0	630	6129	187	0	1437	0	0	879	0	67198	0	82	30	0	0	6721	0	0	0	0	201	8666	5800	0	5	238	0	0
C3	0	68	0	0	0	0	14	1433	0	0	6	0	19	1509	0	0	0	92	0	0	0	50	243	0	0	0	7456	24	1327	0	56	3	0	455	17232	576	0	2282	0	0	449	0	65861	0	282	64	0	0	2793	0	0	0	0	104	11772	9455	4	0	39	0	0
C15	0	10572	0	0	0	0	4	3407	14	0	0	0	135	2805	0	0	0	175	3	3108	0	213	116	0	0	0	5533	30	2983	0	167	0	0	1058	21384	1337	0	1832	0	0	597	0	41322	0	125	426	0	0	2370	0	0	0	0	223	11039	9558	4	0	442	0	0
