	28-4	A2	ASF356	Acetatifactor	Acetitomaculum	Acinetobacter	Actinobacillus	Aerococcus	Agathobacter	Akkermansia	Alistipes	Alloprevotella	Anaerofustis	Anaeroplasma	Anaerosporobacter	Anaerostipes	Anaerotruncus	Anaerovorax	Angelakisella	Atopostipes	Azospira	Bacillaceae	Bacilli	Bacteria	Bacteroidales	Bacteroides	Bacteroidetes	Bacteroidia	Barnesiella	Bifidobacterium	Bilophila	Blautia	Burkholderiaceae	Butyricicoccus	Butyrivibrio	CAG-873	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Saccharimonas	Candidatus_Soleaferrea	Candidatus_Stoquefichus	Chloroplast	Christensenellaceae	Christensenellaceae_R-7_group	Clostridia	Clostridiaceae_1	Clostridiaceae_2	Clostridiales	Clostridiales_vadinBB60_group	Clostridium_sensu_stricto_1	Cuneatibacter	Cyanobacteria	DNF00809	Deltaproteobacteria	Desulfovibrionaceae	Dubosiella	Eggerthellaceae	Eisenbergiella	Enhydrobacter	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae	Faecalibacterium	Faecalibaculum	Family_XIII	Family_XIII_AD3011_group	Family_XIII_UCG-001	Firmicutes	Flavonifractor	GCA-900066225	GCA-900066575	GCA-900066755	Gammaproteobacteria	Gastranaerophilales	Haemophilus	Harryflintia	Herbinix	Holdemanella	Hydrogenoanaerobacterium	Intestinimonas	Lachnoclostridium	Lachnospiraceae	Lachnospiraceae_FCS020_group	Lachnospiraceae_NK3A20_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_NK4B4_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillales	Lactobacillus	Lactonifactor	Lawsonella	Marvinbryantia	Mitochondria	Mollicutes	Mollicutes_RF39	Muribaculaceae	Muribaculum	Odoribacter	Olsenella	Oscillibacter	Oscillospira	Parabacteroides	Paracoccus	Parasutterella	Parvibacter	Pasteurellaceae	Peptococcaceae	Phocea	Porphyromonadaceae	Prevotella_9	Prevotellaceae	Prevotellaceae_UCG-001	Proteobacteria	Pseudoflavonifractor	Pseudogracilibacillus	Reyranella	Rhodospirillales	Rikenellaceae	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Shuttleworthia	Sporobacter	Sporosarcina	Staphylococcus	Subdoligranulum	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3	Veillonella	Verrucomicrobiales	XBB1006
C1	0	0	30	14	0	0	0	0	0	12990	11651	2851	0	0	0	76	33	0	208	0	0	0	0	0	4	2283	0	3	0	204	29	0	0	0	30	0	13	0	0	0	0	0	49	29	0	0	0	32	148	1093	0	0	6	0	5065	1032	3	0	0	8	73	0	0	0	12	19	12	0	0	31	166	0	0	74	0	103	0	0	0	295	674	1244	13	0	3971	0	0	14	92	0	0	566	0	0	0	0	0	351	66087	1445	1577	0	163	0	1641	0	2284	0	0	251	0	0	0	0	1238	0	6	0	0	44	0	174	129	638	131	133	261	1102	573	8	0	0	90	65	87	45	3791	65	0	0	0	0	0	927	10	0	103	0	0	0	0
C14	4	143	121	896	0	0	0	0	0	193	15293	1903	6	0	0	0	374	24	3	0	0	0	0	0	3	3685	3	0	0	11	83	3	0	268	209	0	0	15	2	0	30	3	39	38	0	0	0	67	387	0	0	0	6	0	6029	271	0	0	0	8	183	0	0	0	2	12	24	0	0	154	2696	0	0	881	0	177	21	0	74	870	1898	6523	170	0	3662	0	2462	6	385	22	0	187	0	0	40	0	0	600	58156	2268	2068	8	783	0	388	0	1640	0	0	255	0	0	0	0	971	0	0	0	0	68	0	25	0	888	897	429	135	2076	585	83	0	188	124	264	25	51	3282	95	24	0	0	3	0	0	24	33	785	0	0	0	0
C26	0	61	163	435	0	0	0	0	0	13	14320	170	0	0	0	0	396	11	0	0	0	0	0	9	18	1708	0	0	2	18	83	4	0	278	113	6	0	0	0	0	0	0	31	76	0	0	0	61	138	29	0	0	4	0	6369	147	0	0	0	3	13	0	7	0	0	4	14	0	8	94	1447	0	0	178	0	131	0	0	53	420	1666	5089	81	0	7649	0	2269	7	84	18	4	126	0	0	17	0	0	219	41434	1718	2393	0	935	0	121	0	1061	0	0	288	28	0	0	0	1002	0	3	0	0	19	0	158	0	733	1145	188	89	1369	573	52	9	231	147	322	0	1	933	28	39	0	0	0	0	8	18	46	430	50	0	0	0
C38	0	90	115	847	0	0	0	0	0	781	12958	593	0	0	0	2	737	28	236	0	0	0	0	0	0	1661	0	0	0	15	96	0	0	933	139	0	0	0	0	0	16	0	34	59	0	0	0	94	262	56	0	0	7	0	8377	746	0	0	0	1	113	0	0	0	1	40	12	4	35	92	2456	0	0	747	0	154	0	0	96	553	1460	6569	452	0	8333	0	2296	0	209	56	0	398	0	0	6	0	0	1609	65437	2755	1819	0	772	0	183	0	2038	0	0	314	61	0	0	0	1073	0	2	0	0	62	0	23	55	2510	1488	513	67	1854	814	30	18	630	104	252	17	13	6462	44	0	0	0	0	0	6	19	0	1242	43	0	0	0
C50	0	22	67	947	2	0	0	0	0	2083	10583	663	0	0	0	0	167	0	83	0	0	0	0	4	3	1968	0	0	2	41	49	0	0	467	179	0	0	0	0	0	67	0	30	165	0	0	0	117	291	48	0	0	0	0	8218	453	0	0	0	18	252	82	0	0	31	34	31	0	0	52	1973	0	0	794	0	212	0	0	90	397	1314	4113	263	0	9574	0	1742	20	109	11	0	272	0	0	14	0	0	565	55633	2035	1886	9	1220	0	1489	0	1441	0	0	437	0	0	0	0	1644	0	0	0	0	47	0	0	59	1249	796	356	90	1790	909	29	11	186	240	409	39	11	2090	0	0	0	0	0	0	16	44	0	386	47	0	0	4
C62	0	2	89	264	0	0	0	0	5	1688	13358	3953	0	0	0	8	154	0	265	0	0	0	0	7	0	1666	0	9	0	21	100	0	0	554	64	2	9	19	0	0	0	0	57	67	0	0	0	174	806	0	0	0	0	0	6924	1182	0	0	0	8	31	69	0	0	23	48	18	0	14	115	829	0	0	4345	0	95	0	0	262	1420	903	3342	89	0	10118	0	1429	33	144	10	0	315	0	0	17	0	0	1463	38710	1336	4160	0	1307	0	277	0	1013	0	0	278	0	0	0	0	2640	8	4	0	0	541	0	63	30	3641	2111	840	211	3239	1025	27	17	256	247	230	15	57	7297	884	0	0	0	0	0	0	9	73	768	21	0	0	0
C74	0	11	50	196	0	0	0	0	9	673	9866	260	0	0	0	0	221	0	71	0	0	0	0	14	7	2636	0	0	2	32	21	0	0	91	49	0	0	0	3	4	0	0	15	36	0	0	0	28	224	0	0	0	8	0	3265	2421	0	87	0	0	325	27	8	12	32	44	2	0	4	72	631	0	0	783	0	91	0	0	34	492	246	1800	67	0	4577	0	547	8	31	17	0	594	0	0	21	0	0	742	80302	3746	2036	0	325	0	190	0	2871	0	0	168	0	0	2	0	2048	0	0	0	0	165	0	50	57	1267	405	167	63	815	270	37	4	26	51	65	36	84	2545	7	0	0	0	0	0	0	10	0	240	0	0	0	0
C86	0	13	25	126	0	0	0	0	7	1627	8528	4213	0	0	0	0	135	4	105	0	0	0	0	9	0	2417	0	2	0	8	20	0	0	80	31	4	0	0	0	0	0	0	21	52	0	0	0	57	299	0	0	0	10	0	2833	1315	11	0	0	0	135	38	0	7	10	18	7	0	17	31	582	0	0	630	0	20	0	0	0	337	530	1685	19	0	2103	0	363	8	44	11	0	187	0	0	21	0	0	879	64296	2898	1437	0	296	0	238	0	1861	4	0	82	0	0	4	0	2504	0	0	0	0	201	0	138	30	553	271	89	29	664	309	46	0	38	87	84	9	9	2362	218	0	0	0	5	0	5	0	0	564	8	0	0	0
C3	0	109	75	281	0	0	0	0	0	68	11758	1556	0	0	0	104	296	0	55	0	0	0	0	14	0	1433	0	6	0	19	148	0	0	305	124	0	0	0	4	0	4	0	9	83	0	0	0	50	243	0	0	0	0	0	7308	1235	0	0	0	24	13	75	5	0	27	18	11	3	0	33	982	0	0	455	0	59	0	0	46	634	1144	3642	214	0	6372	0	1153	11	142	16	0	576	0	0	24	0	0	449	63277	2584	2282	0	1084	0	39	0	1509	0	0	282	18	0	0	0	1237	0	4	0	0	104	0	14	64	2794	959	617	180	1427	572	14	0	131	111	229	4	29	1558	16	0	0	0	0	0	0	11	22	1069	12	0	0	0
C15	0	621	76	336	0	0	0	0	9	10572	11001	1443	0	0	92	0	78	28	93	0	0	0	0	4	14	3407	0	0	0	135	154	3	4	197	37	0	0	0	4	0	1	0	58	117	3	0	0	213	116	3108	0	0	0	0	5379	395	14	0	0	16	33	92	0	38	62	62	15	0	0	55	540	0	0	1058	0	93	0	0	1	377	772	5607	60	0	8594	0	1464	56	41	8	0	1337	0	0	0	0	0	597	39974	1348	1832	0	337	0	442	0	2801	0	0	125	27	0	2	0	925	0	0	0	0	223	0	38	426	2968	553	571	565	1116	683	27	0	230	61	276	15	79	3455	296	0	3	0	0	0	2424	46	54	370	0	0	0	0
C27	0	0	53	49	0	2	0	0	0	14269	13399	4530	0	6	0	87	29	0	0	0	0	0	0	0	3	4255	0	0	3	41	8	0	0	49	13	0	15	0	0	0	4	0	320	42	0	0	0	95	217	1232	0	0	7	0	4267	99	0	25	0	0	224	43	0	0	36	41	0	0	0	51	412	0	0	4582	0	117	0	0	0	655	512	2168	52	0	4179	0	273	10	0	4	0	208	0	0	0	0	0	841	22227	1380	1549	0	249	0	1813	0	1443	0	0	124	0	0	0	0	2327	4	0	0	0	2151	4	105	162	768	147	109	342	1451	511	6	0	21	239	120	79	63	2610	35	0	0	0	0	0	1231	11	61	70	0	0	0	0
