	raw	filtered	denoised	merged	tabled	nonchim
C1	160082	150321	149230	143743	143743	128662
C14	150024	141710	140518	136301	136301	127798
C26	138145	129903	128407	120493	120493	99875
C38	173607	163875	162451	156730	156730	145314
C50	146782	137596	136647	131909	131909	123284
C62	152383	144725	143387	137780	137780	127922
C74	161455	149589	148475	142562	142562	129559
C86	132320	124178	123189	118626	118626	108973
C3	149612	140498	139374	133996	133996	123754
C15	147429	138357	136987	130991	130991	120982
C27	113990	108095	107368	104017	104017	98972
C39	135207	127232	126257	121912	121912	112291
C51	133780	127047	125855	120701	120701	112979
C63	144872	135604	134656	129365	129365	117543
C75	166251	157472	155995	149385	149385	137777
C87	150808	142919	141810	136179	136179	124737
C4	142468	135436	134468	129403	129403	120929
C16	161640	152172	150834	144668	144668	136296
C28	141468	132958	131673	126423	126423	116324
C40	145220	136941	135650	130007	130007	119355
C52	175184	163971	162703	156578	156578	145292
C64	113587	106859	105810	100268	100268	92588
C76	152290	141509	140455	134717	134717	120851
C88	171970	161864	160589	154845	154845	143052
C5	164410	154499	153186	147305	147305	133778
C17	142458	134038	132916	127323	127323	116709
C29	243518	228152	226293	216541	216541	196177
C41	146759	137820	136638	130207	130207	120736
C53	156252	148793	147405	141871	141871	132371
C65	198085	187954	186297	179731	179731	164517
C77	151410	142233	140944	134120	134120	120716
C89	165426	155865	154442	148424	148424	134777
C6	147088	137325	136207	130725	130725	116507
C18	147187	139261	138172	133225	133225	123498
C30	141752	132154	131155	125878	125878	112810
C42	127336	119530	118629	114004	114004	105876
C54	141999	134374	133455	128845	128845	118589
C66	175949	164352	163165	156201	156201	135890
C78	161024	151571	150561	145632	145632	129725
C90	144566	134442	133162	126702	126702	113415
C7	169238	156788	155415	148266	148266	133432
C19	132920	125510	124594	120507	120507	111898
C31	132689	124956	123975	120005	120005	110297
C43	147920	139481	138535	134217	134217	124164
C55	139690	129928	129076	124595	124595	114856
C67	122788	113701	112544	107230	107230	97277
C79	154415	144914	143596	137743	137743	126787
C91	157138	148010	146694	140900	140900	128947
C8	156134	146027	145122	139724	139724	129509
C20	152345	143327	142160	137391	137391	125943
C32	160562	150506	149345	144150	144150	132067
