	raw	filtered
C1	160082	150321
C14	150024	141710
C26	138145	129903
C38	173607	163875
C50	146782	137596
C62	152383	144725
C74	161455	149589
C86	132320	124178
C3	149612	140498
C15	147429	138357
C27	113990	108095
C39	135207	127232
C51	133780	127047
C63	144872	135604
C75	166251	157472
C87	150808	142919
C4	142468	135436
C16	161640	152172
C28	141468	132958
C40	145220	136941
C52	175184	163971
C64	113587	106859
C76	152290	141509
C88	171970	161864
C5	164410	154499
C17	142458	134038
C29	243518	228152
C41	146759	137820
C53	156252	148793
C65	198085	187954
C77	151410	142233
C89	165426	155865
C6	147088	137325
C18	147187	139261
C30	141752	132154
C42	127336	119530
C54	141999	134374
C66	175949	164352
C78	161024	151571
C90	144566	134442
C7	169238	156788
C19	132920	125510
C31	132689	124956
C43	147920	139481
C55	139690	129928
C67	122788	113701
C79	154415	144914
C91	157138	148010
C8	156134	146027
C20	152345	143327
C32	160562	150506
