user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
MAG088	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002362235	GCA_002362235.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002362235	98.55	0.95	GCA_002362235.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002362235	98.55	0.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002428825.1, s__Alistipes sp002428825, 95.0, 78.6, 0.28; GCA_002358415.1, s__Alistipes sp002358415, 95.0, 78.49, 0.34; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 78.49, 0.27; GCF_000311925.1, s__Alistipes obesi, 95.0, 78.45, 0.29; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 78.39, 0.33; GCF_900083545.1, s__Alistipes sp900083545, 95.0, 78.32, 0.29; GCF_000210575.1, s__Alistipes shahii, 95.0, 78.32, 0.31; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 78.22, 0.3; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 78.2, 0.27; GCF_900107675.1, s__Alistipes timonensis, 95.0, 78.16, 0.28; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 78.15, 0.3; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 78.05, 0.24; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 78.01, 0.29; GCF_002159375.1, s__Alistipes sp002159375, 95.0, 78.01, 0.29; GCF_000154465.1, s__Alistipes putredinis, 95.0, 77.78, 0.2; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 77.67, 0.27	96.17	11	N/A	N/A
MAG134	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	GCF_000403315.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	99.07	0.96	GCF_000403315.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	99.07	0.96	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_000403255.1, s__14-2 sp000403255, 95.0, 79.42, 0.41; GCF_000403845.2, s__14-2 sp000403845, 95.0, 78.85, 0.41; GCF_001940225.1, s__14-2 sp001940225, 95.0, 77.43, 0.1	89.27	11	N/A	N/A
MAG128	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus taiwanensis	GCF_001436695.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus taiwanensis	97.95	0.9	GCF_001436695.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus taiwanensis	97.95	0.9	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_000159355.1, s__Lactobacillus johnsonii, 95.0, 86.91, 0.79; GCF_002158885.1, s__Lactobacillus gasseri_A, 95.0, 86.17, 0.78; GCF_000014425.1, s__Lactobacillus gasseri, 95.0, 86.02, 0.79; GCF_000296835.1, s__Lactobacillus hominis, 95.0, 80.68, 0.44; GCF_001435325.1, s__Lactobacillus intestinalis, 95.0, 79.69, 0.27; GCF_002911475.1, s__Lactobacillus sp002911475, 95.0, 78.96, 0.22; GCF_001591845.1, s__Lactobacillus acidophilus, 95.0, 78.95, 0.27; GCF_000615445.1, s__Lactobacillus hamsteri, 95.0, 78.91, 0.26; GCF_002088015.1, s__Lactobacillus crispatus, 95.0, 78.88, 0.25; GCF_000614735.1, s__Lactobacillus gallinarum, 95.0, 78.82, 0.24; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 78.78, 0.23; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 78.76, 0.23; GCF_000178475.1, s__Lactobacillus amylolyticus, 95.0, 78.74, 0.19; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 78.68, 0.24; GCF_001434335.1, s__Lactobacillus kalixensis, 95.0, 78.62, 0.27; GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 78.53, 0.22; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 78.45, 0.23; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 78.41, 0.26; GCF_000159335.1, s__Lactobacillus jensenii_A, 95.0, 78.29, 0.21; GCF_002837055.1, s__Lactobacillus apis, 95.0, 78.22, 0.14; GCF_001436455.1, s__Lactobacillus jensenii, 95.0, 78.15, 0.2; GCF_000296855.1, s__Lactobacillus gigeriorum, 95.0, 78.03, 0.2; GCF_001436775.1, s__Lactobacillus acetotolerans, 95.0, 77.98, 0.17; GCF_000297025.1, s__Lactobacillus pasteurii, 95.0, 77.73, 0.2; GCF_000160875.1, s__Lactobacillus iners, 95.0, 77.49, 0.17; GCF_002916935.1, s__Lactobacillus sp002916935, 95.0, 77.47, 0.15; GCF_000970755.1, s__Lactobacillus kimbladii, 95.0, 77.32, 0.07; GCF_000970855.1, s__Lactobacillus helsingborgensis, 95.0, 77.09, 0.08; GCF_000967195.1, s__Lactobacillus kullabergensis, 95.0, 76.55, 0.08; GCF_900112665.1, s__Lactobacillus bombicola, 95.0, 76.31, 0.1	76.69	11	N/A	N/A
MAG074	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp000403495	GCF_000403495.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp000403495	98.91	0.86	GCF_000403495.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp000403495	98.91	0.86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002490775.1, s__CAG-95 sp002490775, 95.0, 86.02, 0.63; GCA_002492465.1, s__CAG-95 sp002492465, 95.0, 78.12, 0.24; GCA_900066375.1, s__CAG-95 sp900066375, 95.0, 77.47, 0.13; GCA_000436115.1, s__CAG-95 sp000436115, 95.0, 77.43, 0.2; GCA_000438155.1, s__CAG-95 sp000438155, 95.0, 77.09, 0.1	92.64	11	N/A	N/A
MAG147	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__UBA3263 sp001689615	GCA_001689615.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__UBA3263 sp001689615	99.37	0.93	GCA_001689615.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__UBA3263 sp001689615	99.37	0.93	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002490725.1, s__UBA3263 sp002490725, 95.0, 77.84, 0.18	94.35	11	N/A	N/A
MAG105	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	GCA_002491305.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	98.88	0.88	GCA_002491305.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	98.88	0.88	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001689685.1, s__UBA7173 sp001689685, 95.0, 78.3, 0.25; GCA_001701135.1, s__UBA7173 sp001701135, 95.0, 78.28, 0.24; GCA_001689485.1, s__UBA7173 sp001689485, 95.0, 77.63, 0.2	88.61	11	N/A	N/A
MAG121	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp002490635	GCA_002490635.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp002490635	99.26	0.96	GCA_002490635.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp002490635	99.26	0.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001689415.1, s__CAG-873 sp001689415, 95.0, 77.8, 0.18; GCA_002493945.1, s__CAG-873 sp002493945, 95.0, 77.6, 0.25; GCA_001689665.1, s__CAG-873 sp001689665, 95.0, 77.07, 0.17; GCA_002491245.1, s__CAG-873 sp002491245, 95.0, 76.94, 0.13; GCA_002633115.1, s__CAG-873 sp002633115, 95.0, 76.78, 0.1; GCA_001701165.1, s__CAG-873 sp001701165, 95.0, 76.72, 0.09; GCA_002478045.1, s__CAG-873 sp002478045, 95.0, 76.68, 0.08	96.57	11	N/A	N/A
MAG009	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002490665	GCA_002490665.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002490665	95.58	0.76	GCA_002490665.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002490665	95.58	0.76	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_000403215.1, s__COE1 sp000403215, 95.0, 79.88, 0.44; GCF_000403335.2, s__COE1 sp000403335, 95.0, 78.51, 0.21; GCA_002491195.1, s__COE1 sp002491195, 95.0, 78.48, 0.31; GCA_002358575.1, s__COE1 sp002358575, 95.0, 78.28, 0.26; GCA_003513705.1, s__COE1 sp003513705, 95.0, 77.94, 0.21; GCA_002492295.1, s__COE1 sp002492295, 95.0, 77.76, 0.21; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.5, 0.09	93.37	11	N/A	N/A
MAG003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002491635	GCA_002491635.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002491635	98.85	0.9	GCA_002491635.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002491635	98.85	0.9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_000154205.1, s__Bacteroides uniformis, 95.0, 92.16, 0.72; GCA_000614125.1, s__Bacteroides rodentium, 95.0, 90.89, 0.67; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 81.25, 0.5; GCF_000154525.1, s__Bacteroides stercoris, 95.0, 80.0, 0.4; GCF_900129655.1, s__Bacteroides clarus, 95.0, 79.8, 0.37; GCF_000155815.1, s__Bacteroides eggerthii, 95.0, 79.72, 0.38; GCA_003545565.1, s__Bacteroides sp003545565, 95.0, 79.65, 0.36; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 79.47, 0.36; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 79.41, 0.4; GCF_002998535.1, s__Bacteroides heparinolyticus, 95.0, 79.33, 0.39; GCF_000614165.1, s__Bacteroides stercorirosoris, 95.0, 79.23, 0.37; GCF_900241005.1, s__Bacteroides cutis, 95.0, 79.19, 0.33; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 79.18, 0.38; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 79.14, 0.35; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 78.92, 0.34; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 78.79, 0.37; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 78.78, 0.34; GCF_900108345.1, s__Bacteroides ndongoniae, 95.0, 78.66, 0.26; GCA_000437135.1, s__Bacteroides intestinalis_A, 95.0, 78.55, 0.26; GCF_900128475.1, s__Bacteroides massiliensis, 95.0, 78.24, 0.25; GCF_900130135.1, s__Bacteroides togonis, 95.0, 78.14, 0.23; GCA_000613385.1, s__Bacteroides acidifaciens, 95.0, 78.06, 0.2; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 78.04, 0.21; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 77.97, 0.23; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 77.87, 0.12; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 77.83, 0.22; GCF_002222615.2, s__Bacteroides caccae, 95.0, 77.82, 0.18; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 77.79, 0.13; GCF_000156195.1, s__Bacteroides finegoldii, 95.0, 77.79, 0.18; GCA_000210075.1, s__Bacteroides xylanisolvens, 95.0, 77.75, 0.18; GCA_900066265.1, s__Bacteroides sp900066265, 95.0, 77.73, 0.18; GCF_000613465.1, s__Bacteroides nordii, 95.0, 77.73, 0.17; GCF_900106755.1, s__Bacteroides faecis, 95.0, 77.69, 0.19; GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 77.68, 0.19; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 77.53, 0.18; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 77.46, 0.19; GCF_002849695.1, s__Bacteroides fragilis_A, 95.0, 77.45, 0.19; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 77.35, 0.15; GCF_000025985.1, s__Bacteroides fragilis, 95.0, 77.34, 0.19; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 77.2, 0.06; GCF_000511775.1, s__Bacteroides pyogenes_A, 95.0, 77.06, 0.15; GCF_000499785.1, s__Bacteroides neonati, 95.0, 77.05, 0.12; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 76.99, 0.12; GCF_002160055.1, s__Bacteroides sp002160055, 95.0, 76.95, 0.16; GCF_900104585.1, s__Bacteroides ihuae, 95.0, 76.65, 0.07; GCF_000428125.1, s__Bacteroides graminisolvens, 95.0, 76.54, 0.09; GCA_002307035.1, s__Bacteroides sp002307035, 95.0, 76.44, 0.08; GCF_900128905.1, s__Bacteroides luti, 95.0, 76.37, 0.05	86.94	11	N/A	N/A
MAG096	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia sp002933955	GCF_002933955.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia sp002933955	99.29	0.69	GCF_002933955.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia sp002933955	99.29	0.69	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_900106785.1, s__Prevotellamassilia timonensis, 95.0, 77.58, 0.1; GCA_000437675.1, s__Prevotellamassilia sp000437675, 95.0, 77.47, 0.1	77.92	11	N/A	N/A
