genome	completeness	contamination	strain heterogeneity	# unique markers (of 43)	# multi-copy	insertion branch uid	taxonomy (contained)	taxonomy (sister lineage)	gc	genome size (mbp)	gene count	coding density	sample
shRTF8_maxbin_005.fasta	99.52	0.0	0.0	43	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	55.2384994768	1.889901	1614	0.918258681275	shRTF8
shRTF8_maxbin_007.fasta	98.22	0.0	0.0	43	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	43.56097772760001	2.188445	2009	0.899976924254	shRTF8
shRTF8_maxbin_010.fasta	97.89	0.16	0.0	39	0	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	57.4605943495	2.092071	1757	0.878385102609	shRTF8
shRTF8_metabat_01.fasta	98.66	0.0	0.0	43	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	43.6985140511	2.422853	2025	0.92236095215	shRTF8
shRTF8_metabat_04.fasta	98.67	1.51	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.7710252155	2.707826	2192	0.8894677870730001	shRTF8
shRTF8_metabat_06.fasta	94.69	0.38	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	55.38503905939999	2.099048	1775	0.925892595119	shRTF8
shRTF8_metabat_07.fasta	96.6	0.0	0.0	42	0	UID1237	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Subdoligranulum;s__	58.6975662043	2.571235	2227	0.844672696195	shRTF8
shRTF8_metabat_08.fasta	96.77	0.13	100.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	54.1176706755	2.490975	2041	0.928369815032	shRTF8
shRTF8_metabat_09.fasta	96.1	0.38	0.0	42	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	46.821370073999994	3.176953	2778	0.912019787513	shRTF8
shRTF8_metabat_11_sub.fasta	99.52	0.96	0.0	43	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	60.7923321523	1.98259	1606	0.8507659173100001	shRTF8
shRTF8_metabat_12.fasta	92.04	0.0	0.0	42	0	UID2722	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	unresolved	47.5900834767	3.123419	2540	0.8828293610299999	shRTF8
shRTF8_metabat_13.fasta	98.45	0.38	0.0	41	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.3219064646	2.621313	2100	0.8995694142589999	shRTF8
shRTF8_metabat_15.fasta	96.27	2.2	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	46.6170951688	3.074279	2897	0.903211452181	shRTF8
shRTF8_metabat_16.fasta	98.3	1.13	33.33	42	1	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	48.685008225699995	2.8917490000000003	2365	0.8987529692239999	shRTF8
shRTF8_metabat_17.fasta	98.16	4.75	0.0	43	0	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	44.24486280439999	4.696034	4443	0.862698822027	shRTF8
