# bin	classification	number of ORFs in bin	number of ORFs classification is based on	lineage	lineage scores
MAG100	classified	2884	2785	1;131567;2;2323;49928	1.00;1.00;1.00;0.53;0.53
MAG140	classified	2883	2529	1;131567;2;1783272;1239;186801;186802;541000;1263	1.00;1.00;0.99;0.85;0.84;0.77;0.77;0.52;0.46
MAG041	classified	2059	1884	1;131567;2;1224;68525;28221;213115;194924	1.00;0.99;0.98;0.81;0.79;0.78;0.71;0.69
MAG054	classified	4222	3933	1;131567;2;1783272;1239;186801;186802;186806;1730;97253	1.00;1.00;1.00;0.87;0.86;0.83;0.83;0.62;0.62;0.62
MAG085	classified	2408	2065	1;131567;2;1783272;1239;186801;186802;31979;1485;97138	1.00;1.00;1.00;0.96;0.96;0.91;0.91;0.85;0.85;0.84
MAG001	classified	2076	1953	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.57;0.57;0.57;0.56;0.56
MAG079	classified	1945	1839	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.59;0.59;0.59;0.58;0.58
MAG112	classified	2471	2380	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2486468	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.97;0.97;0.90
MAG101	classified	3813	3640	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.78;0.77;0.70;0.70
MAG047	classified	4009	3823	1;131567;2;1783272;1239;186801;186802;186803	1.00;1.00;1.00;0.87;0.87;0.80;0.80;0.42
MAG068	classified	3121	2875	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.55;0.54;0.41;0.41
MAG139	classified	2030	1910	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.58;0.58;0.58;0.57;0.57
MAG048	classified	2358	2314	1;131567;2;1783272;1239;186801;186802;541000;244127	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.97;0.97
MAG009	classified	3111	2926	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.80;0.80;0.74;0.74;0.43;0.34
MAG029	classified	2029	1751	1;131567;2;1783272;1239;186801;186802;31979;1485;59619	1.00;1.00;1.00;0.97;0.96;0.92;0.92;0.88;0.88;0.38
MAG031	classified	2331	2305	1;131567;2;1783257;74201;203494;48461;1647988;239934*	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.98
MAG034	classified	1998	1848	1;131567;2;1783272	1.00;1.00;1.00;0.34
MAG049	classified	1850	1750	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.94;0.94;0.94;0.93;0.92;0.51;0.50
MAG116	classified	3262	3079	1;131567;2;1783272;1239	1.00;1.00;1.00;0.39;0.38
MAG127	classified	4664	4430	1;131567;2;1783272;1239;186801;186802;186803;186928;397291	1.00;1.00;1.00;0.84;0.84;0.79;0.79;0.68;0.53;0.39
MAG092	classified	1070	897	1;131567;2;1783272;1239;33974;84086;1879010	1.00;1.00;0.98;0.83;0.81;0.44;0.44;0.44
MAG115	classified	3421	3307	1;131567;2;1783272;1239;186801;186802;186803;841;2320088	1.00;1.00;1.00;0.96;0.95;0.94;0.94;0.91;0.89;0.88
MAG011	classified	2627	2324	1;131567;2;1783272;1239;186801;186802;186806;1730;84372	1.00;1.00;1.00;0.91;0.90;0.84;0.84;0.58;0.58;0.57
MAG131	classified	3344	3118	1;131567;2;1783272;1239	1.00;1.00;1.00;0.46;0.45
MAG014	classified	1753	1668	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.95;0.95;0.95;0.94;0.94;0.79;0.78
MAG083	classified	2639	2405	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;0.99;0.96;0.95;0.95;0.95;0.95;0.74;0.58
