	Assembled_Reads	N_Predicted_Genes	Percent_Assembled_Reads	contig_bp	L50	L90	N50	N90	max	gap_pct	gc_avg	gc_std	n_contigs	n_scaffolds
shRTF8	42920448	199297.0	98.970	185778683.0	13453.0	1104.0	2370.0	26923.0	672571.0	0.085	0.49254	0.08702	50279.0	45610.0
shRTF2	41998288	218230.0	98.654	198461008.0	11331.0	1054.0	2958.0	31229.0	443045.0	0.083	0.49363	0.08968	57094.0	52117.0
shHF7	22942418	139696.0	99.143	134703080.0	13920.0	1237.0	1582.0	17493.0	424699.0	0.08900000000000001	0.4885	0.08832999999999999	33263.0	29384.0
shRTC3	39265942	254324.0	98.797	227715665.0	9570.0	1056.0	4206.0	38543.0	413816.0	0.11	0.47676	0.09518	67942.0	61560.0
shHF5	55608798	173284.0	99.029	176861223.0	33406.0	1806.0	1185.0	11664.0	521000.0	0.057	0.47944	0.09745	29514.0	26653.0
shRTF7	23738166	96171.0	99.130	96413367.0	19488.0	1329.0	950.0	10475.0	331101.0	0.077	0.507	0.08322	21500.0	19140.0
shHF3	45576422	169513.0	99.122	170634789.0	28352.0	1561.0	1279.0	13402.0	486868.0	0.055	0.48467	0.09371	31872.0	28961.0
shHC7	15735546	138655.0	99.269	122860802.0	8384.0	981.0	1884.0	24142.0	486915.0	0.094	0.48233000000000004	0.10254	40067.0	35982.0
shHF1	38052448	232397.0	98.904	214210989.0	17069.0	1026.0	2304.0	31428.0	420829.0	0.057999999999999996	0.47588	0.09648	59363.0	55264.0
shRTC2	35299898	233203.0	98.860	204977707.0	9688.0	952.0	3184.0	39912.0	443060.0	0.092	0.48256000000000004	0.08626	67421.0	61783.0
shHF6	47937216	292386.0	98.612	271475194.0	16040.0	1177.0	2731.0	35504.0	615945.0	0.08199999999999999	0.47633000000000003	0.10865	68820.0	62186.0
shRTC7	24356786	168494.0	98.849	147885758.0	8033.0	948.0	2525.0	29934.0	424693.0	0.09300000000000001	0.49483	0.08602	49627.0	45409.0
shRTF6	43240940	146310.0	99.178	141070020.0	19547.0	1203.0	1279.0	17400.0	452464.0	0.081	0.48499	0.09992999999999999	34258.0	31009.0
shHC6	17560702	164215.0	99.173	148031654.0	9850.0	1013.0	2114.0	26553.0	513295.0	0.092	0.47911000000000004	0.0894	45591.0	41177.0
shRTC4	20229654	122499.0	99.081	108261865.0	6051.0	940.0	2614.0	24116.0	576118.0	0.107	0.48138000000000003	0.08442999999999999	38357.0	34366.0
shHC8	14870178	118132.0	99.212	101855974.0	5571.0	939.0	2697.0	23341.0	430312.0	0.11	0.48488000000000003	0.09923	36932.0	33136.0
shRTF5	46320298	263618.0	98.444	237925765.0	13418.0	1060.0	2914.0	36007.0	656998.0	0.075	0.48567	0.10021000000000001	66854.0	61575.0
shHF4	59114646	260027.0	99.042	249811375.0	22582.0	1383.0	2135.0	23929.0	860501.0	0.067	0.4717	0.10372	52828.0	47805.0
shHF8	49078468	175926.0	99.150	171811353.0	25813.0	1294.0	1270.0	16545.0	1007063.0	0.07400000000000001	0.46955	0.10457000000000001	36424.0	32599.0
shHC2	20280336	157990.0	99.259	148665226.0	14696.0	1234.0	1604.0	18914.0	1006732.0	0.10300000000000001	0.48256000000000004	0.09627000000000001	36438.0	32296.0
shRTF1	43820654	248821.0	98.968	221510466.0	9116.0	987.0	3790.0	40940.0	759446.0	0.08199999999999999	0.48186	0.08956	70528.0	64697.0
shHC5	15967068	122725.0	99.286	109476940.0	6300.0	952.0	2351.0	23870.0	482019.0	0.12	0.48646999999999996	0.08313	38162.0	34066.0
shHC3	17588718	139442.0	99.028	125753997.0	8525.0	985.0	2037.0	24074.0	486868.0	0.11199999999999999	0.48758	0.09197000000000001	40199.0	35962.0
shRTC6	11352502	105281.0	99.250	91622126.0	6529.0	930.0	2298.0	20080.0	424697.0	0.099	0.48645	0.09114	32413.0	29457.0
shRTC5	26456302	181808.0	98.882	165817457.0	12597.0	1098.0	2184.0	24962.0	396150.0	0.09	0.48899	0.09544	45736.0	41358.0
shRTC8	45653084	275839.0	98.679	243271643.0	9336.0	973.0	4028.0	45312.0	440782.0	0.091	0.48663	0.09427999999999999	77816.0	71411.0
shHC4	44706720	249622.0	98.872	237130731.0	22973.0	1326.0	2007.0	25013.0	1007170.0	0.08800000000000001	0.47796000000000005	0.10126	52726.0	47510.0
shHF2	41933748	201717.0	99.221	189577147.0	15830.0	1162.0	1901.0	25093.0	1007032.0	0.075	0.47512	0.1018	48071.0	43549.0
shRTF3	51618864	286143.0	98.747	255439476.0	10257.0	1026.0	3974.0	43461.0	576589.0	0.081	0.4804	0.09571	77156.0	70798.0
shRTF4	40103466	205547.0	98.809	186861808.0	13674.0	1026.0	2294.0	30860.0	356858.0	0.075	0.48181	0.08467999999999999	55110.0	50495.0
shHC1	23499394	217084.0	98.830	196181301.0	10143.0	1033.0	3249.0	33118.0	576129.0	0.09300000000000001	0.48412	0.09529	58574.0	53117.0
shRTC1	19753356	140114.0	98.771	123025838.0	8424.0	941.0	2173.0	25413.0	424692.0	0.099	0.48913999999999996	0.08319	41829.0	38319.0
