Bin Id	Completeness	Contamination	Strain heterogeneity	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Sample
shRTF8_maxbin_005	99.52	0.0	0.0	43	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	55.2384994768	1.8899009999999998	1614	0.918258681275	shRTF8
shRTF8_maxbin_007	98.22	0.0	0.0	43	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	43.560977727600005	2.188445	2009	0.899976924254	shRTF8
shRTF8_maxbin_010	97.89	0.16	0.0	39	0	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	57.4605943495	2.092071	1757	0.878385102609	shRTF8
shRTF8_metabat_01	98.66	0.0	0.0	43	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	43.6985140511	2.422853	2025	0.92236095215	shRTF8
shRTF8_metabat_04	98.67	1.51	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.7710252155	2.707826	2192	0.8894677870730001	shRTF8
shRTF8_metabat_06	94.69	0.38	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	55.38503905939999	2.099048	1775	0.9258925951189999	shRTF8
shRTF8_metabat_07	96.6	0.0	0.0	42	0	UID1237	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Subdoligranulum;s__	58.6975662043	2.5712349999999997	2227	0.844672696195	shRTF8
shRTF8_metabat_08	96.77	0.13	100.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	54.1176706755	2.490975	2041	0.928369815032	shRTF8
shRTF8_metabat_09	96.1	0.38	0.0	42	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	46.821370073999994	3.1769529999999997	2778	0.9120197875130001	shRTF8
shRTF8_metabat_11_sub	99.52	0.96	0.0	43	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	60.7923321523	1.98259	1606	0.8507659173100001	shRTF8
shRTF8_metabat_12	92.04	0.0	0.0	42	0	UID2722	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	unresolved	47.5900834767	3.1234189999999997	2540	0.8828293610299999	shRTF8
shRTF8_metabat_13	98.45	0.38	0.0	41	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.3219064646	2.6213130000000002	2100	0.8995694142589999	shRTF8
