Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
MAG001	o__Bacteroidales (UID2617)	213	406	265	5	401	0	0	0	0	98.81	0.00	0.00
MAG002	k__Bacteria (UID2569)	434	278	186	1	276	1	0	0	0	99.46	0.54	0.00
MAG003	o__Clostridiales (UID1212)	172	263	149	54	205	4	0	0	0	75.47	1.57	0.00
MAG004	f__Lachnospiraceae (UID1255)	90	354	174	47	298	9	0	0	0	87.15	3.30	33.33
MAG005	o__Bacteroidales (UID2617)	213	406	265	10	395	1	0	0	0	97.23	0.38	0.00
MAG006	o__Clostridiales (UID1120)	304	250	143	43	206	1	0	0	0	77.60	0.70	0.00
MAG007	k__Bacteria (UID2329)	174	149	89	9	139	1	0	0	0	91.57	1.12	0.00
MAG008	f__Lachnospiraceae (UID1255)	90	354	174	7	344	3	0	0	0	97.59	1.72	0.00
MAG009	f__Lachnospiraceae (UID1286)	57	420	207	6	411	3	0	0	0	97.58	0.57	33.33
MAG010	k__Bacteria (UID2329)	174	149	89	7	136	6	0	0	0	92.70	3.37	0.00
MAG011	o__Clostridiales (UID1212)	172	263	149	22	239	2	0	0	0	91.21	1.34	0.00
MAG012	o__Bacteroidales (UID2657)	160	492	269	9	483	0	0	0	0	97.58	0.00	0.00
MAG013	f__Lachnospiraceae (UID1286)	57	420	207	60	321	38	1	0	0	85.34	12.17	70.73
MAG014	p__Bacteroidetes (UID2605)	350	314	208	11	301	2	0	0	0	98.51	0.96	0.00
MAG015	f__Lachnospiraceae (UID1255)	90	354	174	51	301	2	0	0	0	78.16	1.15	0.00
MAG016	o__Clostridiales (UID1212)	172	263	149	27	236	0	0	0	0	89.06	0.00	0.00
MAG017	k__Bacteria (UID2495)	2993	147	91	35	112	0	0	0	0	80.38	0.00	0.00
MAG018	k__Bacteria (UID1453)	901	171	117	14	154	3	0	0	0	89.46	1.71	0.00
MAG019	g__Lactobacillus (UID380)	58	449	129	79	365	5	0	0	0	81.13	1.42	0.00
MAG020	o__Clostridiales (UID1212)	172	261	148	4	255	2	0	0	0	97.97	1.35	0.00
MAG021	o__Bacteroidales (UID2617)	213	406	265	9	397	0	0	0	0	97.36	0.00	0.00
MAG022	o__Bacteroidales (UID2657)	160	492	269	38	453	1	0	0	0	98.15	0.19	0.00
MAG023	f__Lachnospiraceae (UID1255)	90	354	174	17	334	3	0	0	0	96.97	1.44	0.00
MAG024	o__Clostridiales (UID1212)	172	263	149	44	213	5	0	1	0	76.56	4.27	0.00
MAG025	f__Lachnospiraceae (UID1255)	90	354	174	6	329	19	0	0	0	97.70	5.48	10.53
MAG026	f__Lachnospiraceae (UID1255)	90	354	174	26	323	5	0	0	0	95.68	2.59	0.00
MAG027	o__Bacteroidales (UID2617)	213	406	265	6	399	1	0	0	0	98.47	0.13	0.00
MAG028	o__Bacteroidales (UID2617)	213	406	265	22	381	3	0	0	0	96.81	0.75	0.00
MAG029	o__Clostridiales (UID1212)	172	263	149	46	210	7	0	0	0	77.46	1.47	28.57
MAG030	f__Lachnospiraceae (UID1255)	90	354	174	47	305	2	0	0	0	86.21	1.15	0.00
MAG031	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
MAG032	f__Lachnospiraceae (UID1255)	90	354	174	5	346	3	0	0	0	97.91	1.72	0.00
MAG033	o__Clostridiales (UID1212)	172	263	149	10	252	1	0	0	0	94.85	0.22	0.00
MAG034	k__Bacteria (UID1453)	901	171	117	14	155	2	0	0	0	88.89	0.85	0.00
MAG035	o__Clostridiales (UID1212)	172	263	149	1	261	1	0	0	0	99.33	0.34	0.00
MAG036	o__Bacteroidales (UID2617)	213	406	265	7	399	0	0	0	0	97.55	0.00	0.00
MAG037	o__Bacteroidales (UID2617)	213	406	265	3	403	0	0	0	0	99.06	0.00	0.00
MAG038	f__Lachnospiraceae (UID1255)	90	354	174	30	294	30	0	0	0	90.37	9.68	0.00
MAG039	o__Bacteroidales (UID2617)	213	406	265	7	396	3	0	0	0	98.67	0.69	0.00
MAG040	o__Bacteroidales (UID2621)	198	427	260	1	425	1	0	0	0	99.62	0.19	0.00
MAG041	c__Deltaproteobacteria (UID3218)	61	284	169	4	280	0	0	0	0	98.22	0.00	0.00
MAG042	o__Bacteroidales (UID2617)	213	406	265	40	364	2	0	0	0	95.08	0.38	0.00
MAG043	o__Clostridiales (UID1212)	172	263	149	14	249	0	0	0	0	95.13	0.00	0.00
MAG044	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.94	0.48	0.00
MAG045	o__Clostridiales (UID1212)	172	263	149	9	251	3	0	0	0	95.36	1.68	0.00
MAG046	o__Clostridiales (UID1212)	172	263	149	45	212	4	2	0	0	76.89	3.36	0.00
MAG047	f__Lachnospiraceae (UID1256)	33	333	171	21	312	0	0	0	0	93.83	0.00	0.00
MAG048	o__Clostridiales (UID1212)	172	263	149	7	255	1	0	0	0	96.48	0.34	0.00
